"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000060583",4.26862359924032,2.25776007541785,164.370083456361,1.25578534734888e-37,1.38387545277847e-34,15,13,18,178,426,321,"Olfr881","olfactory receptor 881"
"2","ENSMUSG00000061165",3.53030508908723,2.22559105675771,157.951467816353,3.17135939859337e-36,1.74741902862495e-33,13,34,30,191,318,354,"Olfr160","olfactory receptor 160"
"3","ENSMUSG00000044798",2.87015690793256,3.34572734126722,142.854488364817,6.3247948713687e-33,2.32330798274944e-30,38,108,97,244,1046,569,"Olfr923","olfactory receptor 923"
"4","ENSMUSG00000096409",4.92728796159866,0.82568328577697,123.414863747806,1.13138073608365e-28,3.11695392791046e-26,5,3,3,115,164,66,"Olfr890","olfactory receptor 890"
"5","ENSMUSG00000096356",3.04452803088773,1.67921603529457,103.894772074418,2.13351687896703e-24,4.70227120124333e-22,18,35,19,204,239,136,"Olfr889","olfactory receptor 889"
"8","ENSMUSG00000049015",3.26719974967967,1.2803036698283,89.8006491933229,2.63407832669997e-21,4.83792386003894e-19,3,25,21,80,161,193,"Olfr1467","olfactory receptor 1467"
"10","ENSMUSG00000070377",1.83611582121178,3.67636899222906,82.087621626184,1.30185392221843e-19,2.0494900318353e-17,172,167,220,446,739,834,"Olfr43","olfactory receptor 43"
"11","ENSMUSG00000042863",2.65177376243248,2.30296745489869,79.8645053761299,4.00985647912287e-19,5.52357729999175e-17,43,45,44,159,391,319,"Olfr1026","olfactory receptor 1026"
"14","ENSMUSG00000095527",4.56805850025802,0.294661091629829,73.6163596302091,9.48750813701533e-18,1.16169266299899e-15,1,9,1,76,99,56,"Olfr888","olfactory receptor 888"
"23","ENSMUSG00000066748",1.94556993862413,2.39398302678012,66.4967874295875,3.50464309910416e-16,3.86211669521278e-14,50,101,72,190,320,331,"Olfr145","olfactory receptor 145"
"56","ENSMUSG00000047048",3.28259832591285,2.03350753355487,53.9009403543905,2.10856762137187e-13,2.11240138068346e-11,2,39,58,153,271,296,"Olfr432","olfactory receptor 432"
"216","ENSMUSG00000044205",1.87125087590992,2.20439298939019,37.7442169613411,8.06554690793456e-10,7.4068605771199e-08,84,93,35,229,230,264,"Olfr983","olfactory receptor 983"
"393","ENSMUSG00000052058",1.71455128092406,2.29441177607429,32.0369909546399,1.51264650077311e-08,1.28225880296305e-06,131,98,30,241,339,174,"Olfr901","olfactory receptor 901"
"547","ENSMUSG00000056822",0.741828774007809,4.62407393923764,28.5197942824509,9.27454540576104e-08,7.3003921693919e-06,1008,777,202,1762,1048,387,"Olfr166","olfactory receptor 166"
"584","ENSMUSG00000096167",1.78099803982564,1.54266053825558,27.733722334066,1.39214655419538e-07,1.02276366848221e-05,55,37,38,117,233,112,"Olfr887","olfactory receptor 887"
"647","ENSMUSG00000073969",1.51103371768113,2.12127621783951,26.7398303287647,2.32773564991128e-07,1.60322792887639e-05,115,76,48,194,285,172,"Olfr556","olfactory receptor 556"
"662","ENSMUSG00000094285",0.637719715611802,5.40840278294388,26.5485507498183,2.56997437605162e-07,1.66594809553464e-05,2161,1266,260,2766,2112,442,"Olfr743","olfactory receptor 743"
"803","ENSMUSG00000064044",1.60622411354752,0.659950597059251,24.5556824864828,7.21931279704107e-07,4.41982372352181e-05,25,30,23,65,89,81,"Olfr319","olfactory receptor 319"
"1019","ENSMUSG00000075166",1.47450209528418,3.64811804110316,22.2101344670639,2.4438044559828e-06,0.000141740658447002,278,312,115,383,730,758,"Olfr1104","olfactory receptor 1104"
"1144","ENSMUSG00000071494",0.772162919535243,3.97070442444345,21.0859024063914,4.39147053333476e-06,0.000241970026386745,390,535,287,556,977,523,"Olfr455","olfactory receptor 455"
