"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000096365",2.54144643616437,4.19510031728232,86.1488173995378,1.6689169493445e-20,1.83914647817764e-17,93,137,152,674,896,635,"Olfr1463","olfactory receptor 1463"
"4","ENSMUSG00000063881",2.40951856525797,3.87686493840941,71.4562493358941,2.83474538833281e-17,1.56194470897138e-14,52,203,96,435,945,380,"Olfr376","olfactory receptor 376"
"9","ENSMUSG00000062782",1.75764073436516,4.40518452207969,48.197617140225,3.85356355082324e-12,1.12639962013397e-09,222,206,243,810,783,678,"Olfr527","olfactory receptor 527"
"10","ENSMUSG00000075066",2.25024789948143,3.1765527475139,48.0815457691072,4.08856486437014e-12,1.12639962013397e-09,47,84,90,262,533,274,"Olfr32","olfactory receptor 32"
"11","ENSMUSG00000094858",2.11469583740065,2.46055508442766,43.7245316327417,3.78003740142212e-11,8.33120243273435e-09,37,61,48,199,200,224,"Olfr1297","olfactory receptor 1297"
"17","ENSMUSG00000096695",1.96806833049332,1.23403554283724,27.6845136289665,1.42801346072623e-07,2.62278472286718e-05,26,19,19,90,66,97,"Olfr196","olfactory receptor 196"
"19","ENSMUSG00000075113",1.96606999368975,1.03166322310818,26.1486038589887,3.16125595829235e-07,4.97672009434024e-05,17,20,19,75,61,85,"Olfr1209","olfactory receptor 1209"
"25","ENSMUSG00000068806",1.82725723154204,1.8504190452464,23.9094876911249,1.00972900138456e-06,0.000139090169940723,44,36,26,136,86,163,"Olfr1259","olfactory receptor 1259"
"26","ENSMUSG00000049797",-1.50493658006691,3.5028726598151,23.1646929949704,1.48702631199458e-06,0.000182078110646447,212,706,263,81,347,58,"Olfr642","olfactory receptor 642"
"30","ENSMUSG00000094539",1.94853507966201,1.28602981865277,21.5885534396271,3.37862215822272e-06,0.000372324161836144,46,11,10,134,32,79,"Olfr191","olfactory receptor 191"
"41","ENSMUSG00000096477",-1.44302941462571,1.86544314809295,19.5894801242626,9.59963163184616e-06,0.000961708550754043,118,128,115,59,35,41,"Olfr92","olfactory receptor 92"
"45","ENSMUSG00000054054",1.05661076512667,4.60967578737296,19.0363902081977,1.28249186780199e-05,0.00117775503193149,339,323,458,767,756,779,"Olfr309","olfactory receptor 309"
"65","ENSMUSG00000101750",-1.07836444915393,4.28952451826146,15.5892907475733,7.86990643036759e-05,0.00667125914328083,396,967,604,255,280,343,"Olfr1392","olfactory receptor 1392"
"76","ENSMUSG00000045225",1.6885430649608,0.53433721513425,14.0309152556252,0.000179829603175071,0.013862143823198,13,17,16,36,58,56,"Olfr1152","olfactory receptor 1152"
"79","ENSMUSG00000053146",5.91952672752378,-2.08496535910633,13.9324792313233,0.000189495629653176,0.013862143823198,0,0,0,4,8,10,"Olfr352","olfactory receptor 352"
"81","ENSMUSG00000073893",-1.06762035076988,3.08921179938605,13.6885441396395,0.000215766672994319,0.013862143823198,268,269,251,145,96,140,"Olfr472","olfactory receptor 472"
"83","ENSMUSG00000073967",-1.15830640071127,2.66742056351007,13.6428145349084,0.000221085775177082,0.013862143823198,150,333,153,65,115,92,"Olfr557","olfactory receptor 557"
"84","ENSMUSG00000062434",-1.38880654678281,1.71558748868831,13.598026748684,0.00022642340183082,0.013862143823198,71,162,107,36,30,61,"Olfr516","olfactory receptor 516"
"89","ENSMUSG00000050028",-1.02334022549739,3.39999134117986,13.2036415976552,0.000279405684616623,0.0162055297077641,218,428,387,148,159,183,"Olfr745","olfactory receptor 745"
"93","ENSMUSG00000068819",3.34873359989287,-0.705912850912006,13.0637016303214,0.00030107383406902,0.016589168257203,1,0,7,35,12,19,"Olfr1131","olfactory receptor 1131"
"107","ENSMUSG00000068431",-0.829217251258478,5.04232027730406,12.4676147161708,0.000414068502080817,0.0217287375853838,877,1112,968,567,455,650,"Olfr742","olfactory receptor 742"
"110","ENSMUSG00000073959",-1.70567985668258,0.752492164193563,12.3003897709738,0.000452863711555772,0.0224247722263382,31,83,67,16,9,30,"Olfr584","olfactory receptor 584"
"111","ENSMUSG00000063137",1.94095998597093,0.36208640776931,12.238913939768,0.000468030636302885,0.0224247722263382,16,3,19,39,35,58,"Olfr177","olfactory receptor 177"
"120","ENSMUSG00000068818",2.20976843366944,-0.243521573682266,11.7967069724357,0.000593355822939284,0.0272449215366288,8,2,10,33,24,30,"Olfr1132","olfactory receptor 1132"
"128","ENSMUSG00000058981",-1.13181347834346,1.81450888314576,11.4941027281627,0.000698173543076832,0.0300684104754674,97,117,120,40,43,73,"Olfr1406","olfactory receptor 1406"
"135","ENSMUSG00000059069",-0.990673959005363,3.20009694165541,11.3706324527164,0.000746144670425445,0.0300684104754674,234,452,194,118,177,126,"Olfr749","olfactory receptor 749"
"136","ENSMUSG00000111259",-1.15246469606575,1.76651845948858,11.3195871794563,0.000766937619611436,0.0300684104754674,70,155,112,37,44,67,"Olfr1328","olfactory receptor 1328"
"137","ENSMUSG00000096465",2.00983865202533,3.98876663394542,11.2617368339617,0.000791211454535799,0.0300684104754674,67,34,36,1659,43,82,"Olfr488","olfactory receptor 488"
"138","ENSMUSG00000043698",-1.28986593672408,1.53615767493829,11.2615901956255,0.00079127395988072,0.0300684104754674,49,192,68,29,39,40,"Olfr62","olfactory receptor 62"
"150","ENSMUSG00000059397",-1.25904615605761,0.96845987162429,10.7965018029544,0.00101692079713921,0.0355935117153345,50,103,39,20,37,20,"Olfr54","olfactory receptor 54"
"151","ENSMUSG00000045708",-2.26456048969692,-0.536368241001766,10.7760202961763,0.00102823520883695,0.0355935117153345,18,30,24,8,3,4,"Olfr447","olfactory receptor 447"
"152","ENSMUSG00000055610",-3.29423353483052,-1.37305733243067,10.7661331984927,0.00103374252829092,0.0355935117153345,9,4,27,1,0,3,"Olfr307","olfactory receptor 307"
"154","ENSMUSG00000044120",-1.25362734586067,1.19989227728586,10.6599097044965,0.00109482737917211,0.0355935117153345,35,126,77,22,30,39,"Olfr683","olfactory receptor 683"
"155","ENSMUSG00000094285",-0.798359069630202,5.36639679913718,10.6542773530606,0.00109816642315914,0.0355935117153345,1767,767,842,938,332,697,"Olfr743","olfactory receptor 743"
"156","ENSMUSG00000044899",-1.93677790718538,-0.202986346093256,10.5163571241084,0.00118322503199545,0.0372546852931139,18,18,56,6,4,13,"Olfr649","olfactory receptor 649"
"159","ENSMUSG00000062649",-1.50981733935135,0.501692256780785,10.3063034535088,0.00132576577964598,0.0405831635880519,42,43,53,19,8,24,"Olfr44","olfactory receptor 44"
"164","ENSMUSG00000051172",-0.894073596278653,3.29182735631183,10.0623862997184,0.00151327093780727,0.0450709344179354,142,322,501,103,142,246,"Olfr672","olfactory receptor 672"
"170","ENSMUSG00000040328",0.973319676919669,2.83529502125792,9.8653605786308,0.00168419665698131,0.048841703052458,90,139,104,150,345,187,"Olfr56","olfactory receptor 56"
"197","ENSMUSG00000059910",1.32400680646621,1.05613965805408,9.24617214729599,0.00235988193807871,0.0666817921990446,11,31,46,69,74,56,"Olfr1265","olfactory receptor 1265"
"207","ENSMUSG00000101480",1.391519228594,0.66861999564642,9.06372652976625,0.00260730056732705,0.0718311306298602,15,36,8,73,57,20,"Olfr1220","olfactory receptor 1220"
"215","ENSMUSG00000050788",-1.02702589003847,2.02096724405587,8.8990124618898,0.00285324924646668,0.0766897724294215,80,128,186,48,83,56,"Olfr419","olfactory receptor 419"
"234","ENSMUSG00000073769",-2.43388193214409,-0.568400707038132,8.64661505158036,0.00327669548585587,0.0859742482241231,27,19,16,17,1,1,"Olfr1331","olfactory receptor 1331"
"254","ENSMUSG00000073953",-1.01704339006371,1.18287800018902,8.41441596454667,0.00372257359072156,0.0954017696970967,57,68,84,35,27,41,"Olfr596","olfactory receptor 596"
"260","ENSMUSG00000045584",-0.953913871919857,2.3987689121338,8.33283241123435,0.00389349054715687,0.0975142405219743,73,187,263,46,122,88,"Olfr610","olfactory receptor 610"
"272","ENSMUSG00000059623",-2.40684102291013,-1.29882779395071,8.16305722127384,0.00427522443123695,0.104695496071625,8,15,17,2,3,2,"Olfr39","olfactory receptor 39"
"283","ENSMUSG00000073977",-0.923134887939904,2.52671733725772,8.05271795984415,0.00454354380639217,0.108847505970525,152,152,227,65,109,107,"Olfr549","olfactory receptor 549"
"300","ENSMUSG00000044454",-2.91474820765351,-1.52795231851399,7.89309983069901,0.00496237432190631,0.113052568855983,9,11,13,1,0,4,"Olfr867","olfactory receptor 867"
"303","ENSMUSG00000045030",-0.921300338450157,3.5890945842245,7.87009128269617,0.005025911598344,0.113052568855983,546,200,311,173,139,207,"Olfr1443","olfactory receptor 1443"
"304","ENSMUSG00000073973",-0.938461614049709,2.38924923687916,7.86975787455174,0.00502683836110995,0.113052568855983,70,242,211,67,102,77,"Olfr552","olfactory receptor 552"
"325","ENSMUSG00000044029",-1.97021449849459,-0.887713498764116,7.63294981330136,0.00573114931489444,0.126314530900273,13,18,22,4,5,4,"Olfr178","olfactory receptor 178"
"329","ENSMUSG00000096289",-0.837701631969646,2.21116800979,7.52717604885791,0.00607750991134902,0.131321880829542,136,140,130,84,65,79,"Olfr1484","olfactory receptor 1484"
"336","ENSMUSG00000045792",-0.98583621176396,2.66829263881596,7.45231665730816,0.00633548544785812,0.134263556991147,101,424,131,84,104,84,"Olfr578","olfactory receptor 578"
