"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"14","ENSMUSG00000059411",2.49128334794179,1.00478408327643,45.5858412581434,1.46093808949768e-11,1.60995377462644e-08,20,19,8,127,139,57,"Olfr434","olfactory receptor 434"
"34","ENSMUSG00000050813",1.16982315484743,5.00433330089658,24.8771240605569,6.11032151507041e-07,0.00033667871548038,429,402,573,1001,1003,1765,"Olfr332","olfactory receptor 332"
"71","ENSMUSG00000049797",-0.796457783003942,3.6950161242672,18.6849549380697,1.54194345528466e-05,0.00566407229241232,481,688,195,462,420,105,"Olfr642","olfactory receptor 642"
"101","ENSMUSG00000059488",0.78306971935837,5.08138759173379,16.4047827951377,5.11559874413233e-05,0.0140934745400846,374,1326,550,1576,1844,761,"Olfr727","olfactory receptor 727"
"131","ENSMUSG00000052508",0.414082719815078,6.94117917532071,15.3270225635807,9.04138956773509e-05,0.0199272226072881,2439,4222,2015,6816,6654,1695,"Olfr536","olfactory receptor 536"
"153","ENSMUSG00000059887",0.595606949839593,4.15544630189396,14.5361745159531,0.000137493897570053,0.0252530458536997,218,658,335,681,1262,304,"Olfr1507","olfactory receptor 1507"
"190","ENSMUSG00000049011",1.08636175425275,1.61747776388482,13.2891533968576,0.00026694599600022,0.0399583629090943,30,91,44,147,187,70,"Olfr729","olfactory receptor 729"
"199","ENSMUSG00000060523",0.60902827074927,4.15438016524437,13.133393723624,0.000290078859594151,0.0399583629090943,264,678,274,836,1039,321,"Olfr726","olfactory receptor 726"
"240","ENSMUSG00000099486",0.646403062630292,4.13526506152982,12.4831032161434,0.000410649460358576,0.0432334012675802,202,594,390,734,885,444,"Olfr1228","olfactory receptor 1228"
"241","ENSMUSG00000059610",-0.461457934632254,5.53564501387483,12.4780968246222,0.000411751480209047,0.0432334012675802,1470,1075,1770,1844,1304,696,"Olfr222","olfactory receptor 222"
"248","ENSMUSG00000074966",1.89290298672617,-0.419981208966314,12.3903888416668,0.000431549377444085,0.0432334012675802,5,14,5,35,48,20,"Olfr1275","olfactory receptor 1275"
"313","ENSMUSG00000093877",0.543037121769769,3.96841402354841,11.6058350663919,0.000657452190825302,0.0603760261907902,270,411,360,735,855,306,"Olfr1348","olfactory receptor 1348"
"471","ENSMUSG00000111448",1.03984701490915,0.903139943450266,10.0632761701553,0.00151254020145018,0.128216869384469,32,45,16,102,126,25,"Olfr912","olfactory receptor 912"
"522","ENSMUSG00000061561",-0.93582524587665,1.77579556633477,9.72177723540923,0.00182097344221401,0.137187966978955,143,83,134,83,87,50,"Olfr373","olfactory receptor 373"
"536","ENSMUSG00000056822",0.406845330656028,4.54607491399312,9.67556356721355,0.00186734982276254,0.137187966978955,454,740,461,1071,1245,425,"Olfr166","olfactory receptor 166"
"610","ENSMUSG00000049168",0.450300902923907,4.44527569879069,9.28183831559348,0.00231437043837991,0.159402263943416,470,580,440,894,1269,421,"Olfr449","olfactory receptor 449"
"660","ENSMUSG00000052417",0.683166038480813,2.56396506361415,9.04244374148677,0.00263782800869531,0.170993321504837,97,170,100,231,400,115,"Olfr720","olfactory receptor 720"
"727","ENSMUSG00000062608",1.17433916492382,0.348999576800284,8.74032854324602,0.00311248435510321,0.190553208851319,12,35,15,50,87,28,"Olfr195","olfactory receptor 195"
"748","ENSMUSG00000068437",1.3855622041148,0.535861347738869,8.61850805112825,0.00332764292359126,0.193003289568293,9,59,8,70,93,25,"Olfr725","olfactory receptor 725"
"777","ENSMUSG00000101750",-0.51032756334266,4.54561507326093,8.48793173987585,0.00357509999567695,0.1969880097618,463,523,1326,684,567,451,"Olfr1392","olfactory receptor 1392"
"839","ENSMUSG00000054938",0.721779576607591,2.42824140126209,8.25144886893806,0.00407194868635126,0.213680354874242,63,191,83,234,394,76,"Olfr1346","olfactory receptor 1346"
"904","ENSMUSG00000057997",0.643987796637629,2.57064718742228,8.01435155361083,0.00464080880102482,0.227304668860656,114,174,87,256,380,107,"Olfr541","olfactory receptor 541"
"922","ENSMUSG00000047050",1.54746928497086,-0.0194657175522599,7.97449139209045,0.00474410833375235,0.227304668860656,4,21,16,51,32,42,"Olfr914","olfactory receptor 914"
"1032","ENSMUSG00000034583",0.666138424184776,2.77925506552141,7.59320448626244,0.00585887161195623,0.259210088844844,139,254,59,306,454,102,"Olfr1347","olfactory receptor 1347"
