"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"9","ENSMUSG00000070377",2.86907264830276,3.92782023314373,23.3424892610936,1.35571848327817e-06,0.00149400176857254,194,137,51,564,1100,372,"Olfr43","olfactory receptor 43"
"10","ENSMUSG00000075084",3.734989967733,2.35888021675827,21.6409521813365,3.28757099456856e-06,0.00181145161800728,80,23,4,243,372,106,"Olfr1243","olfactory receptor 1243"
"11","ENSMUSG00000075085",2.64243792475675,2.72041649251366,20.1727915820081,7.0752170359619e-06,0.00259896305787667,64,73,35,208,414,208,"Olfr1242","olfactory receptor 1242"
"15","ENSMUSG00000090059",-6.72880603103962,-1.75909480034647,17.4579445623191,2.93734157033449e-05,0.00809237602627152,14,19,9,0,0,0,"Olfr1062","olfactory receptor 1062"
"23","ENSMUSG00000073966",2.21329471476728,2.94605549117656,13.8613694910375,0.000196802435227764,0.0384957261932466,148,62,62,318,513,155,"Olfr561","olfactory receptor 561"
"24","ENSMUSG00000049372",2.58929877669785,1.78289638276882,13.7430435612632,0.000209595605407876,0.0384957261932466,49,24,20,90,235,103,"Olfr1183","olfactory receptor 1183"
"30","ENSMUSG00000045678",2.55112604287768,0.194667344291695,12.7257706722465,0.000360651206958508,0.0514377945893449,6,12,9,25,101,22,"Olfr1489","olfactory receptor 1489"
"31","ENSMUSG00000061361",1.97454653076602,3.60709194094885,12.6607413576422,0.000373414116801052,0.0514377945893449,223,179,83,406,828,260,"Olfr168","olfactory receptor 168"
"32","ENSMUSG00000095910",2.36739717865422,0.825708214776186,12.4405390473452,0.000420114513564377,0.0514406882164382,28,13,14,64,87,58,"Olfr469","olfactory receptor 469"
"34","ENSMUSG00000095484",3.31788007181357,-0.558652398315864,11.7096214173338,0.000621777683381475,0.0685199007086385,6,6,0,22,39,22,"Olfr1480","olfactory receptor 1480"
"37","ENSMUSG00000075380",-4.75734419197297,-1.72417651178472,11.1631223026361,0.000834393763653009,0.0835910843223287,27,12,3,0,1,0,"Olfr355","olfactory receptor 355"
"42","ENSMUSG00000059189",2.15718578864444,0.456249133675161,10.396972366633,0.00126222101962021,0.115913963635123,22,14,11,54,76,34,"Olfr913","olfactory receptor 913"
"70","ENSMUSG00000047050",1.96768321913271,0.24998591523077,8.27424598747558,0.00402113582417301,0.340868590633743,15,9,20,34,52,42,"Olfr914","olfactory receptor 914"
"103","ENSMUSG00000062245",1.81455482437041,2.77911431699166,7.08072388367739,0.00779175276943255,0.613322253708191,154,68,69,146,387,219,"Olfr170","olfactory receptor 170"
"130","ENSMUSG00000058188",-2.18737690732514,-1.01189900275553,6.40408824858026,0.011385788041608,0.836475894790134,21,25,20,3,7,2,"Olfr746","olfactory receptor 746"
"178","ENSMUSG00000044061",-3.14444973642636,-1.97555103492322,5.46578978011436,0.0193922879085263,1,11,17,2,0,4,0,"Olfr225","olfactory receptor 225"
"185","ENSMUSG00000075064",-3.52886612422239,-2.11818196718745,5.35355394928,0.0206800768938652,1,0,4,24,0,0,1,"Olfr1506","olfactory receptor 1506"
"191","ENSMUSG00000045341",1.56032557718836,3.4001621191255,5.29188451030558,0.0214250232163902,1,264,164,87,201,629,299,"Olfr167","olfactory receptor 167"
"248","ENSMUSG00000051392",-2.32338076557916,-1.21452921792612,4.78412952005614,0.0287231618685086,1,13,37,3,1,13,0,"Olfr1402","olfactory receptor 1402"
"263","ENSMUSG00000093980",-4.49263822601918,-3.07270292711323,4.74121644361583,0.0294482419389617,1,4,2,3,0,0,0,"Olfr493","olfactory receptor 493"
"315","ENSMUSG00000060480",1.53374473034189,2.36033053090993,4.53152210088517,0.0332760085933505,1,128,103,30,119,228,172,"Olfr171","olfactory receptor 171"
"317","ENSMUSG00000068819",-2.80078325114368,-2.34719009506571,4.52520581056192,0.0333990581447554,1,7,10,4,1,0,1,"Olfr1131","olfactory receptor 1131"
"365","ENSMUSG00000071629",1.68265292637712,0.577593003787577,4.25291398067192,0.0391830427581823,1,45,8,19,38,89,33,"Olfr1477","olfactory receptor 1477"
"414","ENSMUSG00000107822",-2.18343952086129,-0.500325555504084,4.05017639114654,0.0441667297232599,1,36,26,21,4,30,0,"Olfr1358","olfactory receptor 1358"
"416","ENSMUSG00000109542",2.75606559602813,-1.89826647113163,4.04666085758399,0.0442588076997177,1,1,0,5,16,11,2,"Olfr470","olfactory receptor 470"
"419","ENSMUSG00000063176",-1.56529853574091,-0.45302114235807,4.02869432249322,0.0447325481635279,1,38,25,30,15,12,2,"Olfr955","olfactory receptor 955"
"462","ENSMUSG00000096356",1.86182538882999,-1.07821871399472,3.85500142925162,0.0495978845603036,1,11,3,4,12,16,17,"Olfr889","olfactory receptor 889"
"463","ENSMUSG00000094745",-2.4168399066336,-1.9071361548366,3.85448135505201,0.0496132636735784,1,16,10,4,1,5,0,"Olfr954","olfactory receptor 954"
"488","ENSMUSG00000094747",1.56053483030719,-0.490571101686721,3.81797378582717,0.0507055210127106,1,11,18,4,17,38,17,"Olfr1307","olfactory receptor 1307"
"518","ENSMUSG00000066272",-1.8977115020539,-1.3320053376662,3.73348263973784,0.0533320859237388,1,14,15,18,1,9,2,"Olfr559","olfactory receptor 559"
"541","ENSMUSG00000040328",1.20117853699705,2.36692671167879,3.69730471786147,0.0545004391772464,1,121,42,112,104,120,234,"Olfr56","olfactory receptor 56"
"546","ENSMUSG00000111174",1.08940244458806,2.75351669592612,3.67608619338524,0.0551982769267676,1,202,189,53,217,363,112,"Olfr1240","olfactory receptor 1240"
"560","ENSMUSG00000051362",-3.56050215320177,-3.45707615985045,3.60055155375105,0.0577604047444553,1,2,2,0,0,0,0,"Olfr589","olfactory receptor 589"
"731","ENSMUSG00000070943",-4.22533220944366,-3.13959448014266,3.44034470705389,0.0636224173532428,1,7,1,0,0,0,0,"Olfr356","olfactory receptor 356"
"772","ENSMUSG00000108674",-1.59853461764395,0.769834984513693,3.35883278596639,0.0668454316338443,1,108,63,22,16,91,1,"Olfr1359","olfactory receptor 1359"
"830","ENSMUSG00000066748",-1.25728586235034,0.779709348801363,3.23242706270306,0.0721936207925898,1,139,66,14,33,53,2,"Olfr145","olfactory receptor 145"
"838","ENSMUSG00000061457",-3.02532622730448,-2.88746645265682,3.20735889649076,0.0733077266754496,1,2,6,3,0,1,0,"Olfr871","olfactory receptor 871"
"862","ENSMUSG00000062608",1.19575112312248,0.956034774934487,3.1670955172568,0.075135954368011,1,59,26,25,55,55,69,"Olfr195","olfactory receptor 195"
"864","ENSMUSG00000070852",-2.24657346078414,-2.14604736093932,3.16436416211836,0.0752617373474719,1,10,5,9,0,3,1,"Olfr1121","olfactory receptor 1121"
"926","ENSMUSG00000057503",-1.17901309569807,0.819869764568876,3.11181692134501,0.0777262088601335,1,65,64,86,19,62,11,"Olfr1459","olfactory receptor 1459"
"1013","ENSMUSG00000048153",-1.08927108665357,1.00298767177017,2.99508347059085,0.0835176086469355,1,131,85,30,43,65,5,"Olfr49","olfactory receptor 49"
"1081","ENSMUSG00000075073",1.03037580131125,1.14470408370516,2.96275239530311,0.0852027899712182,1,47,58,29,53,120,47,"Olfr1256","olfactory receptor 1256"
"1190","ENSMUSG00000096409",-1.86474642115052,-1.45510696948993,2.88792973029522,0.089245538852898,1,23,13,5,3,10,0,"Olfr890","olfactory receptor 890"
"1334","ENSMUSG00000095525",2.99699827705027,-3.59722101971141,2.80158988520622,0.0941708845945816,1,0,0,0,0,0,2,"Olfr834","olfactory receptor 834"
"1481","ENSMUSG00000062121",-1.39428422607322,-1.11808007086779,2.69631307808231,0.100580596805861,1,17,21,15,5,11,2,"Olfr149","olfactory receptor 149"
"1583","ENSMUSG00000058014",1.2909950708636,0.528494316843463,2.65369236742505,0.103309681319544,1,57,24,8,34,81,26,"Olfr502","olfactory receptor 502"
"1596","ENSMUSG00000058904",1.4392678757471,-0.207256134133185,2.62941964871012,0.104900049974564,1,34,17,1,25,54,8,"Olfr1413","olfactory receptor 1413"
"1668","ENSMUSG00000075136",-2.94367248442951,-2.88252239965053,2.58658716592109,0.107772330268104,1,7,3,1,0,1,0,"Olfr1164","olfactory receptor 1164"
"1671","ENSMUSG00000046486",-1.37820006252867,-0.476124173989914,2.58240878096095,0.108057113220978,1,49,33,7,7,21,2,"Olfr231","olfactory receptor 231"
"1792","ENSMUSG00000044814",1.51489376086696,-1.44179873994236,2.50398791828695,0.11355841749412,1,5,6,2,24,16,1,"Olfr543","olfactory receptor 543"
"1858","ENSMUSG00000073926",-1.08526247582769,0.848462081655201,2.42840629836447,0.119153983480859,1,88,66,58,16,70,13,"Olfr653","olfactory receptor 653"
"1865","ENSMUSG00000108534",-1.04857564049473,0.0929295481757394,2.42372174588275,0.119510692564497,1,55,49,23,27,26,4,"Olfr1360","olfactory receptor 1360"
"1885","ENSMUSG00000047667",2.73957226885751,-3.54947559040014,2.40646958649279,0.120834601617554,1,0,0,0,3,0,0,"Olfr26","olfactory receptor 26"
