"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"8","ENSMUSG00000096436",2.5533521118906,2.07554852332337,27.3644523593785,1.68500385135615e-07,0.000185687424419448,19,28,27,437,150,90,"Olfr1437","olfactory receptor 1437"
"22","ENSMUSG00000060049",1.75875307077099,3.06489704838675,16.542617838503,4.75688097656695e-05,0.0262104141808839,263,24,35,629,63,436,"Olfr235","olfactory receptor 235"
"37","ENSMUSG00000060523",1.14377330127263,4.43006958324315,14.2123618101863,0.000163294242871433,0.0599834185481064,198,410,312,285,2232,796,"Olfr726","olfactory receptor 726"
"48","ENSMUSG00000109449",1.39354886459103,1.52414044060396,12.2409661654494,0.000467516147000342,0.128800698498594,39,37,39,68,232,120,"Olfr1280","olfactory receptor 1280"
"56","ENSMUSG00000049041",1.07166023228352,2.18582573614057,11.4129410093848,0.000729342824365499,0.138749614262336,23,142,84,84,340,184,"Olfr398","olfactory receptor 398"
"57","ENSMUSG00000062757",1.46248323925176,1.66242433454408,11.3476314102788,0.000755442545892937,0.138749614262336,18,50,36,36,393,81,"Olfr1206","olfactory receptor 1206"
"74","ENSMUSG00000075121",1.95774023837562,0.897233372141517,10.7378701783407,0.00104965072125716,0.146328003199694,11,11,20,30,242,40,"Olfr1195","olfactory receptor 1195"
"80","ENSMUSG00000046650",1.44399560396039,2.90472720881967,10.5294118353116,0.00117489598063705,0.146328003199694,112,39,49,864,46,177,"Olfr1440","olfactory receptor 1440"
"89","ENSMUSG00000059887",0.993307489896141,4.28800494472585,10.0855190762413,0.00149439059758226,0.146328003199694,215,358,343,298,1871,705,"Olfr1507","olfactory receptor 1507"
"90","ENSMUSG00000050158",1.942508178783,0.99423706873871,10.0287719864107,0.00154113749434131,0.146328003199694,2,22,26,15,286,34,"Olfr165","olfactory receptor 165"
"92","ENSMUSG00000059910",1.71413054636748,1.21558358100747,9.9556404801157,0.00160357328842242,0.146328003199694,14,22,22,19,305,67,"Olfr1265","olfactory receptor 1265"
"95","ENSMUSG00000099486",0.755663541616722,3.45798553030718,9.87308405398924,0.00167714148992665,0.146328003199694,140,224,289,261,541,583,"Olfr1228","olfactory receptor 1228"
"98","ENSMUSG00000101480",1.79987789941218,0.64609833011014,9.78143686973488,0.00176282502441332,0.146328003199694,13,14,13,16,182,55,"Olfr1220","olfactory receptor 1220"
"101","ENSMUSG00000049372",1.31007480292385,1.21640771006668,9.68382089184567,0.00185897644718305,0.146328003199694,16,37,39,35,234,76,"Olfr1183","olfactory receptor 1183"
"109","ENSMUSG00000094133",1.65197149347615,1.30417338835546,9.34927481933661,0.00223073718278543,0.160377767042691,94,6,16,116,36,157,"Olfr1431","olfactory receptor 1431"
"111","ENSMUSG00000052417",1.07419433746989,2.68818211214892,9.27066312961633,0.0023285338227614,0.160377767042691,66,147,71,90,688,185,"Olfr720","olfactory receptor 720"
"126","ENSMUSG00000064084",1.65924073740485,-0.023658570738592,8.65145597701456,0.00326800106707729,0.211843363289363,1,16,20,10,84,44,"Olfr1202","olfactory receptor 1202"
"134","ENSMUSG00000075097",0.764744400364004,3.41159447388557,8.37049833343859,0.00381361032453289,0.233477698757514,159,200,264,283,622,443,"Olfr1226","olfactory receptor 1226"
"148","ENSMUSG00000073898",1.28739853807937,0.329283972729909,8.01169265286002,0.00464762760839957,0.269562401287175,21,17,15,44,82,41,"Olfr713","olfactory receptor 713"
"173","ENSMUSG00000095156",0.846864743752959,2.34129648568764,7.58954161373889,0.00587078749056962,0.323480390730386,58,126,92,92,375,207,"Olfr1281","olfactory receptor 1281"
"185","ENSMUSG00000050504",1.3622190120411,0.205273944663322,7.33148637483431,0.00677569989777214,0.333483426579154,8,10,31,17,65,73,"Olfr1323","olfactory receptor 1323"
"190","ENSMUSG00000049057",1.23974893541461,3.62660987358033,7.23831104798014,0.0071364079627873,0.333483426579154,78,155,170,116,1679,283,"Olfr1257","olfactory receptor 1257"
"192","ENSMUSG00000057654",1.57918240727776,3.73063914952067,7.20831166153572,0.00725667249662369,0.333483426579154,78,93,124,105,2053,264,"Olfr328","olfactory receptor 328"
"205","ENSMUSG00000068431",0.575222151932804,4.24733690900226,7.09238186546452,0.0077412295120632,0.333483426579154,324,375,503,481,760,1042,"Olfr742","olfactory receptor 742"
"208","ENSMUSG00000063660",4.79637876185723,-2.90934509421471,7.06548518914177,0.00785830292370248,0.333483426579154,0,0,0,5,7,0,"Olfr98","olfactory receptor 98"
"214","ENSMUSG00000060765",1.45011744678034,2.468734621838,7.00808187135789,0.00811425690105516,0.333483426579154,35,58,49,42,812,114,"Olfr325","olfactory receptor 325"
"219","ENSMUSG00000051611",1.32733010740746,0.140624021921388,6.93619635470903,0.0084468545661777,0.333483426579154,16,14,14,26,47,75,"Olfr112","olfactory receptor 112"
"220","ENSMUSG00000089892",1.55335829302765,0.768499135159752,6.930613232258,0.00847326310727434,0.333483426579154,19,11,24,26,178,58,"Olfr1199","olfactory receptor 1199"
"231","ENSMUSG00000075064",-2.63748493035523,-1.10107335306487,6.85502551701625,0.00883922941493115,0.335890717767384,35,16,0,16,0,0,"Olfr1506","olfactory receptor 1506"
