"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000058244",4.99394115182627,3.15301393549706,223.220987272725,1.79401794419238e-50,1.9770077745e-47,23,10,10,654,613,461,"Olfr506","olfactory receptor 506"
"2","ENSMUSG00000064121",3.19025428222494,4.15614287918754,166.941454993082,3.44522815615548e-38,1.89832071404167e-35,76,152,59,937,1612,757,"Olfr96","olfactory receptor 96"
"4","ENSMUSG00000062128",4.37502639835562,2.88783998820538,144.171389943126,3.25926108605762e-33,1.19723523894517e-30,13,38,7,562,718,199,"Olfr20","olfactory receptor 20"
"5","ENSMUSG00000056883",2.7708830646725,4.1198364171047,114.655703029117,9.36190192878986e-27,2.57920398138161e-24,89,142,117,1156,1143,775,"Olfr533","olfactory receptor 533"
"6","ENSMUSG00000043314",2.35378608796596,4.46687288995255,113.568131350633,1.62017560278105e-26,3.57086702852943e-24,206,248,124,1240,1705,865,"Olfr30","olfactory receptor 30"
"7","ENSMUSG00000036658",3.16636944573311,2.8903903676954,112.243542737576,3.16007330638984e-26,5.80400130606934e-24,40,56,21,384,725,272,"Olfr11","olfactory receptor 11"
"9","ENSMUSG00000109354",3.46857121944378,2.61355349642282,103.581600173566,2.49887175144545e-24,3.93393810013269e-22,14,41,26,334,488,299,"Olfr706","olfactory receptor 706"
"10","ENSMUSG00000060205",3.03539210681378,2.71376357382582,100.716683066897,1.06127907173667e-23,1.46191192131726e-21,46,43,23,406,532,256,"Olfr57","olfactory receptor 57"
"12","ENSMUSG00000059488",1.86810780267398,5.51001423043781,95.9434014282612,1.18215201270065e-22,1.44747946444013e-20,574,738,275,2970,3336,1228,"Olfr727","olfactory receptor 727"
"14","ENSMUSG00000056822",2.04061548239098,4.50779644675665,92.7607160501377,5.90150146572228e-22,6.50345461522595e-20,251,248,197,1310,1410,991,"Olfr166","olfactory receptor 166"
"17","ENSMUSG00000061984",2.99109954595075,2.64292045379097,88.3034974825195,5.61440962821211e-21,5.62461764571795e-19,34,44,27,435,548,177,"Olfr392","olfactory receptor 392"
