"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000063881",3.5610486886764,4.67678096202664,163.604080942089,1.8460907905042e-37,2.03439205113563e-34,89,123,109,1486,1043,1659,"Olfr376","olfactory receptor 376"
"4","ENSMUSG00000094858",3.47139727958519,3.22618039602603,121.738490649408,2.63361179745494e-28,1.45112010039767e-25,39,43,40,465,394,653,"Olfr1297","olfactory receptor 1297"
"5","ENSMUSG00000050763",2.16837757282649,5.09042462024789,96.4853143936358,8.9908253864542e-23,3.30262985862418e-20,329,246,439,1528,1369,2012,"Olfr1395","olfactory receptor 1395"
"6","ENSMUSG00000096695",2.98875094455894,2.77946629587639,86.8818789555462,1.15200073238906e-20,3.17376201773186e-18,40,33,47,268,310,488,"Olfr196","olfactory receptor 196"
"7","ENSMUSG00000062712",2.19492951139517,5.42047521304169,83.3267026377296,6.95537050690035e-20,1.53296365972084e-17,403,397,385,1381,1834,3029,"Olfr531","olfactory receptor 531"
"9","ENSMUSG00000043314",2.00822403019689,5.0344742738667,79.0645140357836,6.01144659188287e-19,1.10410235737582e-16,281,326,388,979,1262,2421,"Olfr30","olfactory receptor 30"
"10","ENSMUSG00000046493",2.85130838905064,3.38296970295166,77.9527869457999,1.0553309488594e-18,1.66139243663294e-16,89,40,76,410,436,762,"Olfr1352","olfactory receptor 1352"
"11","ENSMUSG00000047960",3.31911705153551,3.01815513594107,70.4770050629136,4.65662849814745e-17,6.41450575619811e-15,45,50,22,348,328,618,"Olfr186","olfactory receptor 186"
"12","ENSMUSG00000075174",3.04908727025431,2.1238902954998,63.1255324809352,1.93943734453879e-15,2.37473328186861e-13,28,18,29,268,231,180,"Olfr1087","olfactory receptor 1087"
"13","ENSMUSG00000090894",1.97490253466104,4.62177280458576,59.3006364674358,1.35332759638388e-14,1.49136701121504e-12,225,287,277,1101,808,1581,"Olfr110","olfactory receptor 110"
"14","ENSMUSG00000042774",2.76309588343366,2.36736635121952,57.1920805014401,3.95259589039041e-14,3.95978242837294e-12,29,41,34,260,190,338,"Olfr1353","olfactory receptor 1353"
"15","ENSMUSG00000093920",1.79185350996258,3.87911596729364,52.9027669850704,3.50475474310391e-13,3.21853310575042e-11,154,168,206,572,612,822,"Olfr463","olfactory receptor 463"
"16","ENSMUSG00000096840",1.91205764850709,3.95774711717882,52.1642319912369,5.10475337107243e-13,4.32726016532448e-11,196,196,138,752,580,845,"Olfr136","olfactory receptor 136"
"17","ENSMUSG00000050742",2.63494765769938,1.58286285556507,49.363434763982,2.1267298037701e-12,1.67404017411046e-10,23,23,19,150,119,178,"Olfr164","olfactory receptor 164"
"18","ENSMUSG00000096320",2.7870976721692,1.80153336436639,48.8193750191282,2.80653614612304e-12,2.06186855535173e-10,33,19,17,163,117,251,"Olfr1471","olfactory receptor 1471"
"19","ENSMUSG00000044560",2.77263380262787,1.31552871902604,46.9473787552117,7.291844981618e-12,5.0222582310894e-10,25,10,16,122,94,157,"Olfr1302","olfactory receptor 1302"
"20","ENSMUSG00000046913",3.27693115552214,0.880145575359997,45.3780989239137,1.62440701473888e-11,1.05299795896603e-09,5,12,9,86,66,131,"Olfr1451","olfactory receptor 1451"
"22","ENSMUSG00000063137",2.3481432241786,1.50555519835752,39.7229931689538,2.92659643910357e-10,1.79172737549563e-08,22,22,28,137,95,179,"Olfr177","olfactory receptor 177"
"23","ENSMUSG00000075196",2.71775760694106,1.65515596749114,39.223425572209,3.77977975691308e-10,2.19227225900959e-08,32,14,18,103,127,243,"Olfr1047","olfactory receptor 1047"
"24","ENSMUSG00000050158",2.22779368583523,1.46729951318325,37.0006396371835,1.18090500752135e-09,6.50678659144264e-08,28,18,30,118,99,176,"Olfr165","olfactory receptor 165"
"25","ENSMUSG00000071629",2.38388580459821,2.20265854598,36.5550014182437,1.48418663402009e-09,7.78844605090542e-08,60,29,29,181,161,334,"Olfr1477","olfactory receptor 1477"
"26","ENSMUSG00000049149",-1.45808199145201,4.03793610486559,34.0433934613061,5.38965924606687e-09,2.65061728564663e-07,455,574,882,222,191,341,"Olfr1258","olfactory receptor 1258"
"27","ENSMUSG00000075176",2.34995190409569,1.06326323115341,33.9926232528541,5.53214134027881e-09,2.65061728564663e-07,15,19,18,69,103,125,"Olfr1085","olfactory receptor 1085"
"28","ENSMUSG00000054054",1.3022309466411,5.14552906521465,33.2209580510499,8.22591548700322e-09,3.77706619444898e-07,616,488,517,1237,1168,2094,"Olfr309","olfactory receptor 309"
"29","ENSMUSG00000096485",2.06200871853978,1.59107673264678,32.8155755584206,1.01329678111096e-08,4.46661221113711e-07,41,25,27,140,115,166,"Olfr1466","olfactory receptor 1466"
"30","ENSMUSG00000049362",2.23070378504386,1.41147772340889,32.3543219627364,1.2847114957903e-08,5.44520026292658e-07,26,25,20,105,93,182,"Olfr173","olfactory receptor 173"
"34","ENSMUSG00000096365",1.68513520646206,4.16356116571836,28.684129395295,8.51991104088226e-08,3.47738591372306e-06,236,269,157,551,647,1238,"Olfr1463","olfactory receptor 1463"
"35","ENSMUSG00000044029",2.62478382559116,0.539769965123618,27.7507285987505,1.37996221329734e-07,5.43113699662025e-06,8,10,10,36,55,120,"Olfr178","olfactory receptor 178"
"37","ENSMUSG00000062128",1.85742885376725,2.22487946701991,27.4153803194112,1.64120740558493e-07,6.23658814122273e-06,56,48,49,145,170,330,"Olfr20","olfactory receptor 20"
"38","ENSMUSG00000094422",1.81694610613717,1.97879024549038,26.8990474158285,2.14364512074775e-07,7.87432307688007e-06,37,45,55,185,128,222,"Olfr205","olfactory receptor 205"
"39","ENSMUSG00000062782",1.56030731900093,4.76877831923593,26.3216000234543,2.89037938229828e-07,1.02748325138474e-05,364,373,290,702,924,2052,"Olfr527","olfactory receptor 527"
"45","ENSMUSG00000093839",1.68871319020934,2.31915041039668,21.332454082419,3.86138703099025e-06,0.000131046481403153,66,62,51,147,180,346,"Olfr462","olfactory receptor 462"
