"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000051680",2.28383680177529,3.79880766553694,101.607929866401,6.76738369565878e-24,7.45765683261597e-21,118,218,186,827,880,1032,"Olfr693","olfactory receptor 693"
"5","ENSMUSG00000063881",2.01026866974939,3.82390344718397,56.0922991354947,6.91474252718681e-14,3.81002313247993e-11,148,254,199,1038,1020,620,"Olfr376","olfactory receptor 376"
"6","ENSMUSG00000075210",2.01988355033906,1.92067160911297,46.5062330611743,9.132748302472e-12,3.35476287644138e-09,41,56,60,163,232,324,"Olfr1012","olfactory receptor 1012"
"7","ENSMUSG00000059087",1.96548757462734,2.44012078887455,39.5022906798028,3.27674824618712e-10,9.02744141824552e-08,54,75,114,331,302,379,"Olfr698","olfactory receptor 698"
"14","ENSMUSG00000053287",1.86495752384923,2.34777236765742,32.7020616045423,1.07423224787036e-08,2.36760787430627e-06,60,71,107,329,304,300,"Olfr1013","olfactory receptor 1013"
"17","ENSMUSG00000095917",-0.920233724800714,4.90847437771207,28.1769580746313,1.10714791206219e-07,2.03346166515422e-05,1437,1475,1331,988,750,750,"Olfr740","olfactory receptor 740"
"21","ENSMUSG00000094612",1.34195936431783,3.38548940158843,25.9892276773567,3.4332773712931e-07,5.40495951880714e-05,129,318,211,546,699,503,"Olfr491","olfactory receptor 491"
"26","ENSMUSG00000096714",2.10613505306526,0.455382244932037,24.3111143746217,8.19647568056248e-07,0.000112906452499748,8,34,16,81,84,84,"Olfr699","olfactory receptor 699"
"28","ENSMUSG00000058014",2.15124495083856,1.41789317086229,23.8713548647793,1.02992964725784e-06,0.000126109163475349,13,39,61,189,148,159,"Olfr502","olfactory receptor 502"
"41","ENSMUSG00000064223",1.68823529499955,2.26184123109601,19.7721532453677,8.72445528458918e-06,0.000961434972361728,43,101,105,357,225,274,"Olfr694","olfactory receptor 694"
"48","ENSMUSG00000094285",-0.777196798314474,5.3522270858871,17.4837598162192,2.89772421675049e-05,0.00290299280623549,1988,1651,1916,1351,1195,1033,"Olfr743","olfactory receptor 743"
"96","ENSMUSG00000062272",2.23964954361374,-1.11015994318171,12.9704271028621,0.000316449824016962,0.0290606421722243,3,4,8,14,28,38,"Olfr1129","olfactory receptor 1129"
"104","ENSMUSG00000059379",1.36267543168245,1.16945779911165,12.4523207669885,0.000417472779002914,0.0353888463431701,27,56,49,171,108,97,"Olfr1014","olfactory receptor 1014"
"165","ENSMUSG00000075220",5.30174272520817,-3.08369485481872,10.6882782964362,0.0010781650123387,0.0848669888283748,0,0,0,3,7,5,"Olfr993","olfactory receptor 993"
"187","ENSMUSG00000067513",5.19965451960455,-3.13887363427826,10.1115843913637,0.00147340242511263,0.108245964831608,0,0,0,4,5,5,"Olfr1436","olfactory receptor 1436"
"194","ENSMUSG00000094426",1.4683635481179,1.11508346848193,9.98593215251961,0.00157740682775577,0.108362366079307,14,58,57,145,123,90,"Olfr478","olfactory receptor 478"
"201","ENSMUSG00000051591",1.33869740399528,0.488304884419125,9.879116626608,0.00167165174532506,0.108362366079307,26,19,35,49,104,77,"Olfr697","olfactory receptor 697"
"277","ENSMUSG00000075066",0.938333726663122,2.01500644264258,8.57624126861258,0.00340577699077111,0.20850923576832,59,127,117,197,230,187,"Olfr32","olfactory receptor 32"
"365","ENSMUSG00000068431",-0.462872868689975,4.55215359870822,7.61347527618811,0.00579337230518699,0.329191504630298,880,1124,944,740,824,782,"Olfr742","olfactory receptor 742"
"369","ENSMUSG00000049362",1.08256458250379,0.670572634953537,7.55799648438808,0.00597443747060432,0.329191504630298,24,46,36,105,54,92,"Olfr173","olfactory receptor 173"
