,ensembl_gene_id,logFC,logCPM,LR,PValue,FDR,No1,No2,No3,ST1,ST2,ST3,symbol,name
1,ENSMUSG00000060583,4.268623599,2.257760075,164.3700835,1.26E-37,1.38E-34,15,13,18,178,426,321,Olfr881,olfactory receptor 881
2,ENSMUSG00000061165,3.530305089,2.225591057,157.9514678,3.17E-36,1.75E-33,13,34,30,191,318,354,Olfr160,olfactory receptor 160
3,ENSMUSG00000044798,2.870156908,3.345727341,142.8544884,6.32E-33,2.32E-30,38,108,97,244,1046,569,Olfr923,olfactory receptor 923
4,ENSMUSG00000096409,4.927287962,0.825683286,123.4148637,1.13E-28,3.12E-26,5,3,3,115,164,66,Olfr890,olfactory receptor 890
5,ENSMUSG00000096356,3.044528031,1.679216035,103.8947721,2.13E-24,4.70E-22,18,35,19,204,239,136,Olfr889,olfactory receptor 889
8,ENSMUSG00000049015,3.26719975,1.28030367,89.80064919,2.63E-21,4.84E-19,3,25,21,80,161,193,Olfr1467,olfactory receptor 1467
10,ENSMUSG00000070377,1.836115821,3.676368992,82.08762163,1.30E-19,2.05E-17,172,167,220,446,739,834,Olfr43,olfactory receptor 43
11,ENSMUSG00000042863,2.651773762,2.302967455,79.86450538,4.01E-19,5.52E-17,43,45,44,159,391,319,Olfr1026,olfactory receptor 1026
14,ENSMUSG00000095527,4.5680585,0.294661092,73.61635963,9.49E-18,1.16E-15,1,9,1,76,99,56,Olfr888,olfactory receptor 888
23,ENSMUSG00000066748,1.945569939,2.393983027,66.49678743,3.50E-16,3.86E-14,50,101,72,190,320,331,Olfr145,olfactory receptor 145
56,ENSMUSG00000047048,3.282598326,2.033507534,53.90094035,2.11E-13,2.11E-11,2,39,58,153,271,296,Olfr432,olfactory receptor 432
216,ENSMUSG00000044205,1.871250876,2.204392989,37.74421696,8.07E-10,7.41E-08,84,93,35,229,230,264,Olfr983,olfactory receptor 983
393,ENSMUSG00000052058,1.714551281,2.294411776,32.03699095,1.51E-08,1.28E-06,131,98,30,241,339,174,Olfr901,olfactory receptor 901
547,ENSMUSG00000056822,0.741828774,4.624073939,28.51979428,9.27E-08,7.30E-06,1008,777,202,1762,1048,387,Olfr166,olfactory receptor 166
584,ENSMUSG00000096167,1.78099804,1.542660538,27.73372233,1.39E-07,1.02E-05,55,37,38,117,233,112,Olfr887,olfactory receptor 887
647,ENSMUSG00000073969,1.511033718,2.121276218,26.73983033,2.33E-07,1.60E-05,115,76,48,194,285,172,Olfr556,olfactory receptor 556
662,ENSMUSG00000094285,0.637719716,5.408402783,26.54855075,2.57E-07,1.67E-05,2161,1266,260,2766,2112,442,Olfr743,olfactory receptor 743
803,ENSMUSG00000064044,1.606224114,0.659950597,24.55568249,7.22E-07,4.42E-05,25,30,23,65,89,81,Olfr319,olfactory receptor 319
1019,ENSMUSG00000075166,1.474502095,3.648118041,22.21013447,2.44E-06,0.000141741,278,312,115,383,730,758,Olfr1104,olfactory receptor 1104
1144,ENSMUSG00000071494,0.77216292,3.970704424,21.08590241,4.39E-06,0.00024197,390,535,287,556,977,523,Olfr455,olfactory receptor 455
1207,ENSMUSG00000062712,0.840832784,3.239649398,20.50926758,5.93E-06,0.000304984,193,327,193,363,499,372,Olfr531,olfactory receptor 531
1220,ENSMUSG00000062037,1.225464554,3.866242662,20.46014308,6.09E-06,0.000304984,470,466,100,659,849,512,Olfr285,olfactory receptor 285
1350,ENSMUSG00000073897,0.88782117,3.139639075,19.51411022,9.99E-06,0.00047499,204,209,220,361,424,372,Olfr17,olfactory receptor 17
1365,ENSMUSG00000050366,0.974799632,3.055662676,19.39918143,1.06E-05,0.00047499,159,194,219,296,470,353,Olfr524,olfactory receptor 524
1370,ENSMUSG00000054890,1.217006378,1.411726884,19.36874313,1.08E-05,0.00047499,72,66,27,146,176,58,Olfr1535,olfactory receptor 1535
1533,ENSMUSG00000099486,0.899800039,3.359863343,18.18068342,2.01E-05,0.000851533,218,376,153,509,682,219,Olfr1228,olfactory receptor 1228
1545,ENSMUSG00000056184,1.837531625,-0.026842598,18.09329343,2.10E-05,0.000855755,6,26,12,27,77,44,Olfr283,olfactory receptor 283
1572,ENSMUSG00000036658,1.447751856,1.333612835,17.94349869,2.28E-05,0.000855755,18,67,61,104,151,106,Olfr11,olfactory receptor 11
1575,ENSMUSG00000094488,1.180294045,1.343536518,17.93549275,2.29E-05,0.000855755,30,72,59,89,148,113,Olfr393,olfactory receptor 393
1586,ENSMUSG00000045341,1.034724288,2.253449801,17.89883014,2.33E-05,0.000855755,100,158,67,157,352,156,Olfr167,olfactory receptor 167
1609,ENSMUSG00000051180,0.741581497,3.613191592,17.80015131,2.45E-05,0.000870733,210,390,343,345,658,554,Olfr522,olfactory receptor 522
1620,ENSMUSG00000075064,-6.382006998,-2.23183969,17.74301223,2.53E-05,0.000870733,0,16,16,0,0,0,Olfr1506,olfactory receptor 1506
1722,ENSMUSG00000073768,0.913099442,2.55612599,17.20163098,3.36E-05,0.001122529,111,194,122,225,298,253,Olfr1330,olfactory receptor 1330
1733,ENSMUSG00000053391,0.702570555,3.996644804,17.11974721,3.51E-05,0.001137507,402,430,415,587,787,640,Olfr211,olfactory receptor 211
1753,ENSMUSG00000053815,1.277478038,1.309288854,16.97763483,3.78E-05,0.001169484,21,88,49,86,132,124,Olfr744,olfactory receptor 744
1760,ENSMUSG00000047511,1.202735817,1.661589087,16.95856484,3.82E-05,0.001169484,56,70,66,134,213,104,Olfr1396,olfactory receptor 1396
1777,ENSMUSG00000049028,1.30119268,1.101251836,16.88923605,3.96E-05,0.001180202,35,42,47,96,132,78,Olfr873,olfactory receptor 873
1947,ENSMUSG00000062105,1.316121218,0.739030505,16.01764252,6.28E-05,0.001819894,26,61,16,79,110,46,Olfr183,olfactory receptor 183
2000,ENSMUSG00000062782,0.977032945,2.882077095,15.73998621,7.27E-05,0.002053439,151,194,155,280,518,225,Olfr527,olfactory receptor 527
2041,ENSMUSG00000043314,0.707495009,3.444272065,15.53940327,8.08E-05,0.002226131,166,463,246,263,693,433,Olfr30,olfactory receptor 30
2091,ENSMUSG00000059366,1.278525337,1.719351947,15.28976203,9.22E-05,0.002478558,27,92,81,99,264,110,Olfr959,olfactory receptor 959
2112,ENSMUSG00000073898,1.290857179,0.667601718,15.19523679,9.69E-05,0.002543722,26,34,31,55,104,66,Olfr713,olfactory receptor 713
2138,ENSMUSG00000068431,0.626939549,4.434214118,15.11581839,0.000101112,0.002556737,1067,577,206,1337,1023,327,Olfr742,olfactory receptor 742
2143,ENSMUSG00000083361,1.119635859,1.991633824,15.09776846,0.000102084,0.002556737,47,183,57,160,251,128,Olfr360,olfactory receptor 360
2205,ENSMUSG00000048620,1.030096224,1.452765138,14.85253358,0.000116252,0.002846878,48,76,60,112,151,106,Olfr1336,olfactory receptor 1336
2231,ENSMUSG00000051051,0.768649006,3.508402784,14.72825739,0.000124171,0.002974711,205,386,287,431,461,547,Olfr523,olfactory receptor 523
2296,ENSMUSG00000067525,0.776764117,4.07890031,14.39521596,0.000148178,0.003474308,439,475,349,642,1133,478,Olfr1427,olfactory receptor 1427
2330,ENSMUSG00000095903,1.543511529,0.222687521,14.26695989,0.000158625,0.003579335,6,39,19,34,87,46,Olfr968,olfactory receptor 968
2333,ENSMUSG00000073937,1.017712209,1.47716645,14.26069639,0.000159154,0.003579335,48,108,40,86,175,113,Olfr633,olfactory receptor 633
2382,ENSMUSG00000066750,1.176546975,0.832890909,14.04886812,0.000178121,0.003925787,13,58,42,37,106,99,Olfr876,olfactory receptor 876
2399,ENSMUSG00000047286,0.873759044,2.745524836,13.97018914,0.000185732,0.003966565,182,201,102,302,454,156,Olfr370,olfactory receptor 370
2407,ENSMUSG00000049057,0.862880493,2.235832938,13.95569254,0.00018717,0.003966565,96,186,74,174,303,145,Olfr1257,olfactory receptor 1257
2526,ENSMUSG00000061952,1.122660954,0.967678656,13.51893552,0.000236168,0.004910519,29,52,41,53,136,82,Olfr1377,olfactory receptor 1377
2540,ENSMUSG00000050865,1.279476016,1.045661872,13.46100958,0.000243573,0.004970686,37,45,34,113,146,43,Olfr1494,olfactory receptor 1494
2576,ENSMUSG00000049648,1.062106169,1.268399602,13.32983607,0.000261216,0.005233826,47,36,75,109,90,118,Olfr273,olfactory receptor 273
2589,ENSMUSG00000050813,0.735978016,4.429010404,13.26974934,0.000269723,0.005307769,1056,703,149,1187,1020,427,Olfr332,olfactory receptor 332
2645,ENSMUSG00000111273,1.059029351,1.802304606,13.10238434,0.00029492,0.00570179,56,87,87,143,217,118,Olfr789,olfactory receptor 789
2692,ENSMUSG00000093920,0.958557727,1.465438972,12.99990315,0.000311507,0.005918635,47,86,60,105,160,102,Olfr463,olfactory receptor 463
2729,ENSMUSG00000048173,1.026145707,1.328162723,12.89063263,0.000330231,0.006168039,33,111,38,91,158,84,Olfr1324,olfactory receptor 1324
2763,ENSMUSG00000095893,1.311358853,1.30487109,12.77151581,0.000351938,0.006463919,11,63,86,65,152,116,Olfr884,olfactory receptor 884
2847,ENSMUSG00000060787,0.794147072,2.367390141,12.43915284,0.000420426,0.007579184,95,178,119,166,285,213,Olfr464,olfactory receptor 464
2851,ENSMUSG00000095765,0.596915742,4.23710652,12.41273869,0.000426415,0.007579184,1131,346,153,1459,607,223,Olfr741,olfactory receptor 741
2924,ENSMUSG00000048067,0.752838717,3.061994394,12.15273463,0.000490159,0.0085739,154,297,200,321,479,273,Olfr1349,olfactory receptor 1349
