"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000063827",2.59663625554345,3.86911687739564,76.8127157940265,1.87963464053372e-18,2.07135737386816e-15,104,155,183,1270,555,960,"Olfr1382","olfactory receptor 1382"
"3","ENSMUSG00000057443",2.63832365230334,2.05635894750872,59.0632297147456,1.52685930956416e-14,8.41299479569852e-12,37,45,39,223,236,304,"Olfr138","olfactory receptor 138"
"4","ENSMUSG00000043383",2.11127533806292,2.94761948172761,48.1956938016503,3.85734524683504e-12,1.4169314873374e-09,90,91,129,642,316,430,"Olfr1342","olfactory receptor 1342"
"5","ENSMUSG00000073966",1.65033782535609,4.13120430325425,44.5072736112414,2.53413970486662e-11,6.98155488690754e-09,218,247,483,1031,781,1024,"Olfr561","olfactory receptor 561"
"7","ENSMUSG00000095187",1.73617107143381,3.11541316239344,41.5108920007073,1.17216031270314e-10,2.58344132919772e-08,133,138,161,541,453,454,"Olfr1381","olfactory receptor 1381"
"11","ENSMUSG00000109058",1.6251310309952,2.95099461934452,29.1077218129273,6.84635638644114e-08,1.25744745630969e-05,168,113,103,858,274,244,"Olfr705","olfactory receptor 705"
"12","ENSMUSG00000070856",1.73732130253911,1.76040410297699,24.625930395189,6.96087528050581e-07,0.000109584065130249,33,73,66,195,178,180,"Olfr1115","olfactory receptor 1115"
"28","ENSMUSG00000107645",1.01735527040816,3.613734456905,18.9515584617045,1.34079712066402e-05,0.0017971494822181,234,238,385,563,401,799,"Olfr1380","olfactory receptor 1380"
"30","ENSMUSG00000059043",0.766011906728225,5.22073547322395,18.7790226136513,1.4677264373832e-05,0.0017971494822181,1204,817,972,2145,1241,1794,"Olfr15","olfactory receptor 15"
"36","ENSMUSG00000047702",1.28376139115603,2.50366536528468,17.4368128437115,2.97017618434845e-05,0.00327313415515199,121,113,117,261,280,321,"Olfr1388","olfactory receptor 1388"
"69","ENSMUSG00000094285",0.880479738896621,5.0724215334323,13.2392221130183,0.000274151657649065,0.0274650115208427,728,880,911,2553,1279,1138,"Olfr743","olfactory receptor 743"
"93","ENSMUSG00000075382",1.62476845754628,0.716018762736125,11.8389152056297,0.000580056080153951,0.0532684833608045,35,42,12,93,67,99,"Olfr353","olfactory receptor 353"
"124","ENSMUSG00000059887",0.718225260390683,4.0327982232525,10.4841632537896,0.00120402134789919,0.101092257336653,350,657,359,650,771,748,"Olfr1507","olfactory receptor 1507"
"128","ENSMUSG00000057770",-1.23800478059578,1.10580577391272,10.3649645558319,0.0012842936503749,0.101092257336653,119,114,86,49,30,60,"Olfr668","olfactory receptor 668"
"144","ENSMUSG00000063660",-5.29993517127941,-2.96284187907861,9.99457355901848,0.00157002182209855,0.112301569772479,1,9,6,0,0,0,"Olfr98","olfactory receptor 98"
"149","ENSMUSG00000095765",0.894581401282489,4.08202530921185,9.92497254116036,0.00163051280976376,0.112301569772479,358,484,402,1384,510,648,"Olfr741","olfactory receptor 741"
"154","ENSMUSG00000056858",-5.21460804569918,-3.06634009109431,9.71921978605019,0.00182350911636833,0.118206296837524,3,3,8,0,0,0,"Olfr1502","olfactory receptor 1502"
"163","ENSMUSG00000060523",0.69889469470781,4.14865706894041,9.48313687059449,0.00207369096884551,0.126955969314875,404,646,433,874,693,811,"Olfr726","olfactory receptor 726"
"183","ENSMUSG00000042894",0.893288366806275,2.67160613989484,9.03362880409078,0.00265057794631851,0.153733520886474,208,130,141,385,195,331,"Olfr1260","olfactory receptor 1260"
"240","ENSMUSG00000075075",-1.01757189142039,1.30672149748515,8.25117779595782,0.00407255680011461,0.220738315789307,181,90,89,71,53,48,"Olfr1253","olfactory receptor 1253"
"251","ENSMUSG00000111179",3.87276563974192,-2.7833216088107,8.0903132438617,0.00445024699088257,0.220738315789307,0,1,0,10,6,3,"Olfr996","olfactory receptor 996"
"257","ENSMUSG00000059488",0.613643031665703,5.13279406682764,8.02350088090223,0.00461742291073537,0.220738315789307,909,1167,895,1658,1090,1906,"Olfr727","olfactory receptor 727"
"260","ENSMUSG00000108827",1.91124380676712,-0.855627678155007,7.99498542067649,0.0046907077987691,0.220738315789307,6,8,7,27,15,45,"Olfr1310","olfactory receptor 1310"
"262","ENSMUSG00000046790",0.821284074604221,3.63690442513225,7.95051553197167,0.00480736803896857,0.220738315789307,407,201,385,637,579,489,"Olfr1341","olfactory receptor 1341"
"267","ENSMUSG00000043357",1.11765264607905,0.547608840127797,7.87661261304446,0.00500781945450673,0.220744681554657,28,34,34,66,71,72,"Olfr187","olfactory receptor 187"
"312","ENSMUSG00000094119",-1.04129695796728,0.822158016349802,7.50956539067817,0.00613721786371656,0.260123618685217,97,92,64,44,37,41,"Olfr612","olfactory receptor 612"
"339","ENSMUSG00000096757",-1.26381560937592,0.28100313440625,7.30714760037013,0.00686808619616381,0.273310267982615,68,42,68,22,27,24,"Olfr251","olfactory receptor 251"
"343","ENSMUSG00000043087",-1.22372683371892,0.607673169568097,7.28730362647896,0.00694436252587406,0.273310267982615,88,61,70,20,28,50,"Olfr855","olfactory receptor 855"
"352","ENSMUSG00000107573",-0.71378620920039,3.27722169306008,7.20285774383941,0.00727875820705818,0.276592811868211,380,363,555,281,249,252,"Olfr1389","olfactory receptor 1389"
"379","ENSMUSG00000068431",0.548359511761638,4.55120288953205,6.98517177644115,0.00821877646444494,0.29582512093555,685,712,656,1438,838,842,"Olfr742","olfactory receptor 742"
"386","ENSMUSG00000051706",-0.770531682316574,2.56333688677506,6.95149836626771,0.00837490591724797,0.29582512093555,245,228,319,158,118,195,"Olfr1325","olfactory receptor 1325"
"391","ENSMUSG00000073953",-0.878260078055705,1.56931496321879,6.90610266522049,0.00859020314876369,0.29582512093555,126,119,164,88,69,66,"Olfr596","olfactory receptor 596"
"420","ENSMUSG00000094266",-4.75464847646684,-3.31214617451223,6.72102102307533,0.00952830632898095,0.30311272223497,6,0,4,0,0,0,"Olfr340","olfactory receptor 340"
"442","ENSMUSG00000035626",0.928765904123549,2.92885070896894,6.61607483234061,0.010106232619137,0.30311272223497,80,222,304,371,314,342,"Olfr1509","olfactory receptor 1509"
"449","ENSMUSG00000049280",-0.729801264345586,2.786936275617,6.56535329630586,0.0103983092610982,0.30311272223497,353,242,333,206,159,194,"Olfr509","olfactory receptor 509"
"458","ENSMUSG00000099486",0.582266473164869,3.84187604402914,6.50835586436246,0.0107368736151077,0.30311272223497,444,438,360,679,522,674,"Olfr1228","olfactory receptor 1228"
"463","ENSMUSG00000075384",-0.818306776155667,1.63157043496023,6.48769121684017,0.0108623962964273,0.30311272223497,197,117,110,132,63,56,"Olfr3","olfactory receptor 3"
"468","ENSMUSG00000056564",-1.2642586140388,0.16807936303758,6.46953519565857,0.010973922982035,0.30311272223497,60,68,37,17,22,29,"Olfr324","olfactory receptor 324"
"475","ENSMUSG00000081836",1.97814357260219,-1.4393324315585,6.44071006179274,0.0111534055503339,0.30311272223497,1,12,3,11,29,12,"Olfr1180","olfactory receptor 1180"
"487","ENSMUSG00000045126",-3.30133684629829,-2.36122689029658,6.37785017303041,0.0115553317460659,0.30311272223497,13,15,0,3,0,0,"Olfr1445","olfactory receptor 1445"
"488","ENSMUSG00000075172",-2.2829903789645,-1.51719278747409,6.37097028554769,0.0116002151824242,0.30311272223497,29,8,17,1,4,5,"Olfr1090","olfactory receptor 1090"
"492","ENSMUSG00000075085",0.907471414095359,2.24829012320253,6.34439691551294,0.01177526361623,0.30311272223497,86,106,148,304,105,280,"Olfr1242","olfactory receptor 1242"
"504","ENSMUSG00000050028",-0.521987361104422,4.01314319739581,6.3049279805417,0.0120402805355693,0.30311272223497,799,799,485,590,540,333,"Olfr745","olfactory receptor 745"
"509","ENSMUSG00000056995",1.13930546982027,0.782004712866181,6.29579033718546,0.0121025043360605,0.30311272223497,16,48,46,68,42,137,"Olfr1178","olfactory receptor 1178"
"538","ENSMUSG00000050366",0.739033986304249,3.43737614131226,6.17376699348008,0.0129658240236037,0.315173350198125,228,241,399,740,304,464,"Olfr524","olfactory receptor 524"
"551","ENSMUSG00000094669",-0.868007490571864,1.28433492286156,6.1480031406623,0.0131560563603573,0.315173350198125,143,92,100,65,47,72,"Olfr441","olfactory receptor 441"
"569","ENSMUSG00000073951",-0.6805296086483,2.90119817254594,6.05195042920829,0.0138909445397108,0.325698316654496,375,296,320,220,177,225,"Olfr598","olfactory receptor 598"
"580","ENSMUSG00000075221",-0.873148115219436,1.27664017041059,6.00693763910444,0.0142497369035858,0.327150209744824,145,93,95,67,42,75,"Olfr992","olfactory receptor 992"
"600","ENSMUSG00000111259",-0.717200846622775,2.49417263216682,5.89933773969008,0.0151465789235634,0.333922888737531,279,179,292,191,104,168,"Olfr1328","olfactory receptor 1328"
"601","ENSMUSG00000062712",0.581067648167847,3.60656355793619,5.8988508907363,0.0151507662766575,0.333922888737531,307,336,401,620,378,599,"Olfr531","olfactory receptor 531"
"625","ENSMUSG00000109659",-1.19345239902072,-0.0354861421024473,5.82137699565683,0.0158325453150727,0.335988490749216,58,38,44,23,21,17,"Olfr605","olfactory receptor 605"
"628","ENSMUSG00000109212",0.902463235588667,0.780841700187298,5.81896557790815,0.0158542663511427,0.335988490749216,40,33,50,79,52,106,"Olfr126","olfactory receptor 126"
"641","ENSMUSG00000068535",0.583353926422409,3.46041876596399,5.76441911319353,0.0163538902803305,0.336952170365917,268,299,371,468,366,592,"Olfr169","olfactory receptor 169"
"650","ENSMUSG00000073769",-1.66876210400915,-1.30276386790679,5.74759266657148,0.0165112678763698,0.336952170365917,13,24,21,4,8,6,"Olfr1331","olfactory receptor 1331"
"685","ENSMUSG00000094520",0.772578324889728,1.53317382322651,5.62027934323508,0.0177538189347002,0.355721972109811,82,77,68,184,107,110,"Olfr635","olfactory receptor 635"
"747","ENSMUSG00000095774",-0.878084956690148,0.880923959418103,5.39236595740007,0.020225030153797,0.386808258680004,89,86,75,69,30,44,"Olfr970","olfactory receptor 970"
"754","ENSMUSG00000068808",-0.947601527643536,1.0457287973952,5.36829420427739,0.0205060217694054,0.386808258680004,116,69,87,111,16,48,"Olfr1189","olfactory receptor 1189"
"761","ENSMUSG00000049372",0.971033967002133,0.472435442116287,5.34092130055324,0.0208304613378762,0.386808258680004,20,33,42,52,42,97,"Olfr1183","olfactory receptor 1183"
