"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000043698",2.92179019267255,3.5186303118571,84.4921430682038,3.85744708851324e-20,4.25090669154159e-17,91,76,44,510,410,637,"Olfr62","olfactory receptor 62"
"3","ENSMUSG00000070820",2.67797979312457,3.79853155663769,71.7030076097052,2.50150969135105e-17,1.37833183993443e-14,147,108,55,645,499,721,"Olfr1339","olfactory receptor 1339"
"7","ENSMUSG00000046790",1.67121180929884,4.02559132739424,41.6007286852195,1.11951536812139e-10,4.11235311889924e-08,226,190,183,515,608,774,"Olfr1341","olfactory receptor 1341"
"19","ENSMUSG00000075064",6.8647643132874,-1.39961172398841,24.5525705759443,7.23098127316259e-07,0.000199213534075629,0,0,0,16,0,32,"Olfr1506","olfactory receptor 1506"
"24","ENSMUSG00000094612",1.18561466751484,3.31917999871226,20.0766680482171,7.43987984503872e-06,0.00163974951784653,159,151,151,393,222,464,"Olfr491","olfactory receptor 491"
"26","ENSMUSG00000049528",1.80679982070042,1.87070734194809,19.5571056829773,9.76369027415678e-06,0.00179326444702013,56,60,20,178,108,158,"Olfr429","olfactory receptor 429"
"51","ENSMUSG00000070821",1.50784272069165,4.35653018720134,13.0440429227856,0.000304250598755208,0.0478977371183199,286,287,155,774,283,1312,"Olfr1340","olfactory receptor 1340"
"68","ENSMUSG00000063764",1.60252485357152,0.775323849081649,11.9365642285585,0.000550428938610815,0.0758215862936398,23,21,16,91,25,86,"Olfr508","olfactory receptor 508"
"145","ENSMUSG00000047716",1.43112121946684,1.50770736805851,8.27336216182696,0.00402309372336772,0.492605475905692,58,42,18,75,78,159,"Olfr736","olfactory receptor 736"
"186","ENSMUSG00000075061",1.7069012373511,-0.63527205016422,7.7042312179296,0.00550915317565146,0.571529044959702,11,11,2,25,26,19,"Olfr1272","olfactory receptor 1272"
"188","ENSMUSG00000060759",4.51613064691188,-3.03687570854274,7.6412244318703,0.00570491787164857,0.571529044959702,0,0,0,2,4,2,"Olfr503","olfactory receptor 503"
"230","ENSMUSG00000075065",0.991453748054118,2.15218441874304,7.10195421669353,0.00769999543821187,0.707116247742457,102,55,65,122,99,228,"Olfr1270","olfactory receptor 1270"
"299","ENSMUSG00000029184",0.941304189119811,3.0089839897843,6.49914079262149,0.0107926636260986,0.899070488839387,269,115,81,288,176,347,"Olfr109","olfactory receptor 109"
"315","ENSMUSG00000095586",4.25662135924997,-3.10030571500552,6.39845872897708,0.0114219481340757,0.899070488839387,0,0,0,0,3,4,"Olfr1287","olfactory receptor 1287"
"463","ENSMUSG00000094755",-4.07088324980482,-3.19175938240856,5.45486921034907,0.0195138648588371,1,4,0,2,0,0,0,"Olfr1453","olfactory receptor 1453"
"513","ENSMUSG00000092292",-1.84944402928792,-1.59947756367918,5.27331509145815,0.0216547358437366,1,18,6,9,3,1,5,"Olfr113","olfactory receptor 113"
"514","ENSMUSG00000074946",1.52839584884084,-1.12682925430376,5.26599285615182,0.0217460151303679,1,4,6,6,19,18,10,"Olfr1313","olfactory receptor 1313"
"605","ENSMUSG00000109824",1.98242853557149,-1.98124324452212,4.91010622489408,0.0266999990692561,1,3,0,3,8,4,11,"Olfr643","olfactory receptor 643"
"626","ENSMUSG00000058188",1.09127236499245,0.0551734305578355,4.8407659082359,0.0277945477513291,1,17,25,10,48,27,32,"Olfr746","olfactory receptor 746"
"724","ENSMUSG00000075169",1.36000232530064,-1.09024923407553,4.5820096635656,0.0323093007709346,1,7,6,5,14,15,17,"Olfr1098","olfactory receptor 1098"
"736","ENSMUSG00000094119",0.961714536182397,0.226620760049862,4.53620126563744,0.0331851577692466,1,19,21,19,43,27,46,"Olfr612","olfactory receptor 612"
"827","ENSMUSG00000109497",-3.55556190618161,-3.35869596396333,4.37277693181718,0.0365174352081147,1,2,0,2,0,0,0,"Olfr492","olfactory receptor 492"
"844","ENSMUSG00000049098",0.791961491204188,0.980526532498587,4.31999328871403,0.0376670707875555,1,54,32,28,89,42,65,"Olfr147","olfactory receptor 147"
"851","ENSMUSG00000094197",3.55024322364252,-3.35811299825114,4.29912286476123,0.0381320349980011,1,0,0,0,0,3,1,"Olfr474","olfactory receptor 474"
"872","ENSMUSG00000058856",3.75081991505554,-3.27293934035145,4.27273471568394,0.0387285536696904,1,0,0,0,0,5,0,"Olfr952","olfactory receptor 952"
"899","ENSMUSG00000045204",-1.10338575779476,-0.230240316461793,4.20070894158554,0.0404070834043922,1,45,25,19,13,10,16,"Olfr835","olfactory receptor 835"
