,ensembl_gene_id,logFC,logCPM,LR,PValue,FDR,No1,No2,No3,ST1,ST2,ST3,symbol,name
14,ENSMUSG00000059411,2.491283348,1.004784083,45.58584126,1.46E-11,1.61E-08,20,19,8,127,139,57,Olfr434,olfactory receptor 434
34,ENSMUSG00000050813,1.169823155,5.004333301,24.87712406,6.11E-07,0.000336679,429,402,573,1001,1003,1765,Olfr332,olfactory receptor 332
71,ENSMUSG00000049797,-0.796457783,3.695016124,18.68495494,1.54E-05,0.005664072,481,688,195,462,420,105,Olfr642,olfactory receptor 642
101,ENSMUSG00000059488,0.783069719,5.081387592,16.4047828,5.12E-05,0.014093475,374,1326,550,1576,1844,761,Olfr727,olfactory receptor 727
131,ENSMUSG00000052508,0.41408272,6.941179175,15.32702256,9.04E-05,0.019927223,2439,4222,2015,6816,6654,1695,Olfr536,olfactory receptor 536
153,ENSMUSG00000059887,0.59560695,4.155446302,14.53617452,0.000137494,0.025253046,218,658,335,681,1262,304,Olfr1507,olfactory receptor 1507
190,ENSMUSG00000049011,1.086361754,1.617477764,13.2891534,0.000266946,0.039958363,30,91,44,147,187,70,Olfr729,olfactory receptor 729
199,ENSMUSG00000060523,0.609028271,4.154380165,13.13339372,0.000290079,0.039958363,264,678,274,836,1039,321,Olfr726,olfactory receptor 726
240,ENSMUSG00000099486,0.646403063,4.135265062,12.48310322,0.000410649,0.043233401,202,594,390,734,885,444,Olfr1228,olfactory receptor 1228
241,ENSMUSG00000059610,-0.461457935,5.535645014,12.47809682,0.000411751,0.043233401,1470,1075,1770,1844,1304,696,Olfr222,olfactory receptor 222
248,ENSMUSG00000074966,1.892902987,-0.419981209,12.39038884,0.000431549,0.043233401,5,14,5,35,48,20,Olfr1275,olfactory receptor 1275
313,ENSMUSG00000093877,0.543037122,3.968414024,11.60583507,0.000657452,0.060376026,270,411,360,735,855,306,Olfr1348,olfactory receptor 1348
471,ENSMUSG00000111448,1.039847015,0.903139943,10.06327617,0.00151254,0.128216869,32,45,16,102,126,25,Olfr912,olfactory receptor 912
522,ENSMUSG00000061561,-0.935825246,1.775795566,9.721777235,0.001820973,0.137187967,143,83,134,83,87,50,Olfr373,olfactory receptor 373
536,ENSMUSG00000056822,0.406845331,4.546074914,9.675563567,0.00186735,0.137187967,454,740,461,1071,1245,425,Olfr166,olfactory receptor 166
610,ENSMUSG00000049168,0.450300903,4.445275699,9.281838316,0.00231437,0.159402264,470,580,440,894,1269,421,Olfr449,olfactory receptor 449
660,ENSMUSG00000052417,0.683166038,2.563965064,9.042443741,0.002637828,0.170993322,97,170,100,231,400,115,Olfr720,olfactory receptor 720
727,ENSMUSG00000062608,1.174339165,0.348999577,8.740328543,0.003112484,0.190553209,12,35,15,50,87,28,Olfr195,olfactory receptor 195
748,ENSMUSG00000068437,1.385562204,0.535861348,8.618508051,0.003327643,0.19300329,9,59,8,70,93,25,Olfr725,olfactory receptor 725
