"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000062497",2.56166662004286,4.16597662016609,129.145474187355,6.30255976756818e-30,6.94542086386013e-27,130,208,115,857,877,673,"Olfr1411","olfactory receptor 1411"
"5","ENSMUSG00000062245",3.08532422352422,4.47122140998663,97.7235614875076,4.81064034376126e-23,2.63990837533874e-20,90,161,127,1395,1204,525,"Olfr170","olfactory receptor 170"
"6","ENSMUSG00000067186",2.15027604045662,4.24207926812084,96.928768849477,7.18668341743758e-23,2.63990837533874e-20,161,277,170,780,877,765,"Olfr132","olfactory receptor 132"
"7","ENSMUSG00000053251",2.28724291667675,4.49523692788198,90.9347268669744,1.48490587750609e-21,4.09091569252928e-19,143,309,221,1060,1084,787,"Olfr212","olfactory receptor 212"
"10","ENSMUSG00000044985",1.89075350084565,5.66094676384021,54.008630593572,1.99610891525083e-13,4.39942404921283e-11,458,817,392,2697,2838,751,"Olfr124","olfactory receptor 124"
"11","ENSMUSG00000045341",1.83287586278337,4.058704681593,48.334245182773,3.59420304945815e-12,6.60135293417147e-10,154,265,180,776,885,375,"Olfr167","olfactory receptor 167"
"18","ENSMUSG00000061342",2.43576385675011,1.37344355593345,39.924159467494,2.64017334279507e-10,4.15638717680024e-08,32,11,27,92,94,158,"Olfr1168","olfactory receptor 1168"
"19","ENSMUSG00000090129",1.65806566289387,2.99820638001194,35.1625733578282,3.03296826454412e-09,4.17791378440952e-07,85,189,53,395,411,128,"Olfr287","olfactory receptor 287"
"21","ENSMUSG00000056600",1.972442392946,2.41091834712723,30.6910045255858,3.02564486453532e-08,3.60507702080746e-06,43,104,31,351,239,78,"Olfr90","olfactory receptor 90"
"22","ENSMUSG00000052012",2.20652724106223,3.62103589387918,30.5394888613689,3.27139475572365e-08,3.60507702080746e-06,91,121,110,711,723,169,"Olfr796","olfactory receptor 796"
"23","ENSMUSG00000062105",2.25792590967399,2.80138792120683,29.5617421089291,5.41635298502406e-08,5.42620089954229e-06,48,58,95,397,348,161,"Olfr183","olfactory receptor 183"
"24","ENSMUSG00000061616",1.65144711598098,3.47728430100171,28.5428166247924,9.1649210468894e-08,8.41645249472677e-06,88,204,174,515,509,295,"Olfr12","olfactory receptor 12"
"26","ENSMUSG00000049926",1.66898971299822,2.05846505724138,27.4004967901244,1.65388744630207e-07,1.40198766601914e-05,49,67,45,215,199,84,"Olfr921","olfactory receptor 921"
"33","ENSMUSG00000059460",2.41492281677257,1.81320640555079,23.3083146546068,1.3800213836432e-06,0.000108627397483915,13,44,27,265,160,48,"Olfr286","olfactory receptor 286"
"37","ENSMUSG00000108674",1.47228638266345,2.33205132331219,20.849698396106,4.96770476110331e-06,0.00036496070978239,83,62,78,207,227,145,"Olfr1359","olfactory receptor 1359"
"39","ENSMUSG00000074996",2.62825676767749,1.08665013568845,19.004551864934,1.3040699176198e-05,0.000875574503633384,16,7,18,137,128,21,"Olfr199","olfactory receptor 199"
"40","ENSMUSG00000064006",1.39186643447479,1.21266443490248,18.9363393295048,1.35153552198027e-05,0.000875574503633384,25,45,39,90,91,78,"Olfr190","olfactory receptor 190"
"41","ENSMUSG00000061489",1.36554024095756,2.71918331933847,18.8284770732332,1.43015799141569e-05,0.000875574503633384,59,175,100,271,241,221,"Olfr525","olfactory receptor 525"
"43","ENSMUSG00000081649",1.74980684388697,3.3118750138015,17.8271545045917,2.41906193262628e-05,0.00140305592092324,71,102,258,390,480,290,"Olfr213","olfactory receptor 213"
"44","ENSMUSG00000060057",1.94551095866558,0.261458397834262,17.6626767403122,2.6375150057047e-05,0.00145327076814329,7,16,19,52,44,48,"Olfr193","olfactory receptor 193"
"74","ENSMUSG00000073915",1.25946995165845,0.849548618476337,12.6894248387599,0.000367729364175605,0.0187716517168537,17,31,44,59,58,78,"Olfr676","olfactory receptor 676"
"77","ENSMUSG00000090894",1.14559797675913,3.81896303261198,12.6540565103002,0.000374751667668585,0.0187716517168537,167,312,249,757,532,274,"Olfr110","olfactory receptor 110"
"81","ENSMUSG00000096703",2.50912429448514,-0.916367511081792,12.1026677952613,0.000503497329971013,0.0241240894620894,2,2,9,12,19,32,"Olfr1286","olfactory receptor 1286"
"101","ENSMUSG00000050763",0.835106677302746,3.28023826543162,11.1862212216151,0.000824069998993772,0.0378385474537974,131,249,227,257,283,454,"Olfr1395","olfactory receptor 1395"
"110","ENSMUSG00000095301",1.02996164095647,1.12679478056773,10.6023212513588,0.00112945772996604,0.049786496736903,26,52,45,64,73,89,"Olfr476","olfactory receptor 476"
"117","ENSMUSG00000093839",1.01977784034166,1.07464510504172,10.2474043804019,0.00136877060166177,0.0580148155012027,34,42,41,73,59,89,"Olfr462","olfactory receptor 462"
"128","ENSMUSG00000075085",0.974241606222241,2.78351646347135,9.99633171159572,0.00156852358533319,0.0640189996680435,118,140,120,289,302,132,"Olfr1242","olfactory receptor 1242"
"132","ENSMUSG00000060765",1.12187693608071,0.872500204128756,9.83816920662345,0.00170927534022553,0.0672721937474476,19,46,33,47,55,92,"Olfr325","olfactory receptor 325"
"149","ENSMUSG00000109528",1.92218364555028,-0.251115429116094,9.40671968372766,0.00216191655716754,0.0821528291723665,4,25,5,29,29,35,"Olfr1309","olfactory receptor 1309"
"196","ENSMUSG00000061361",0.79435426287775,3.52955577183583,8.5705113270371,0.00341651192769942,0.125499871477492,123,461,167,364,526,206,"Olfr168","olfactory receptor 168"
"240","ENSMUSG00000111869",1.00962059900305,0.812500053743771,7.83378905819265,0.00512784944130919,0.182286776913636,34,23,41,53,55,73,"Olfr342","olfactory receptor 342"
"270","ENSMUSG00000063106",1.00224811586187,0.697069688106635,7.48596981115849,0.00621815698846242,0.214137781290175,17,38,36,40,46,81,"Olfr1510","olfactory receptor 1510"
"297","ENSMUSG00000099486",0.618373625352285,3.69261994587327,7.2132653989674,0.00723667162218464,0.236083010221477,253,358,270,369,403,467,"Olfr1228","olfactory receptor 1228"
"301","ENSMUSG00000050776",1.2271338911893,0.343778225314679,7.20159836591626,0.00728386782897478,0.236083010221477,21,38,8,39,50,40,"Olfr1317","olfactory receptor 1317"
"346","ENSMUSG00000096695",0.966170471829919,0.961212857046405,6.81222088639475,0.00905360934675404,0.283612895554312,21,47,45,81,60,57,"Olfr196","olfactory receptor 196"
"353","ENSMUSG00000070855",-1.36830466745094,-0.327488875769217,6.7710114777697,0.00926503107073978,0.283612895554312,26,29,35,8,12,12,"Olfr1116","olfactory receptor 1116"
"368","ENSMUSG00000058194",1.71529597777132,-0.687213791531971,6.65328796108148,0.00989730202690942,0.292719404209753,10,10,3,20,19,29,"Olfr1126","olfactory receptor 1126"
"372","ENSMUSG00000073969",0.749426084453845,1.45686301237282,6.61827191928011,0.010093772558957,0.292719404209753,54,52,67,108,63,103,"Olfr556","olfactory receptor 556"
"385","ENSMUSG00000048226",0.804631860187992,1.33717282947785,6.55342044339037,0.0104682726527207,0.295795806751236,42,68,41,92,109,47,"Olfr1212","olfactory receptor 1212"
"403","ENSMUSG00000073897",0.638685215661554,3.51617409413233,6.44932576363423,0.011099445633794,0.305789727211025,162,395,239,372,374,330,"Olfr17","olfactory receptor 17"
"419","ENSMUSG00000059488",0.510351332750739,4.59702609602463,6.31644577056522,0.0119623166458104,0.321523730333733,505,695,503,736,883,615,"Olfr727","olfactory receptor 727"
"458","ENSMUSG00000046016",0.641772565886059,3.00139926438267,6.10377880502551,0.0134893130471756,0.346149791517565,127,298,127,201,303,238,"Olfr1364","olfactory receptor 1364"
"470","ENSMUSG00000067064",0.946788280757805,0.997702393248252,6.05791523143717,0.0138441020771201,0.346149791517565,27,46,35,33,57,122,"Olfr1416","olfactory receptor 1416"
"488","ENSMUSG00000048933",0.793878415655677,1.10165322802801,5.99500304632898,0.0143464563250988,0.346149791517565,22,53,62,55,65,88,"Olfr722","olfactory receptor 722"
"499","ENSMUSG00000044039",1.0065081832495,0.309636187115522,5.95627732073568,0.0146649737942979,0.346149791517565,18,22,28,37,43,45,"Olfr1288","olfactory receptor 1288"
"500","ENSMUSG00000075064",-4.76316888601521,-2.5817980574254,5.95439116996858,0.0146806719640932,0.346149791517565,0,16,0,0,0,0,"Olfr1506","olfactory receptor 1506"
"512","ENSMUSG00000051414",1.86049813464852,-1.46589021920004,5.91464706112072,0.0150155107614531,0.346149791517565,5,4,2,15,13,9,"Olfr829","olfactory receptor 829"
"517","ENSMUSG00000044994",0.727593615356574,2.14938573961143,5.8979190174712,0.0151587845775288,0.346149791517565,58,119,101,73,147,223,"Olfr1426","olfactory receptor 1426"
"531","ENSMUSG00000094464",0.966179572692485,0.887624916112571,5.83691524559849,0.0156933167766496,0.346149791517565,9,41,68,47,50,83,"Olfr339","olfactory receptor 339"
"535","ENSMUSG00000074945",2.35074481427534,-1.59873410768019,5.82499695379057,0.0157999958132561,0.346149791517565,5,0,3,8,9,18,"Olfr1314","olfactory receptor 1314"
"539","ENSMUSG00000052508",0.464366776512805,5.5926655704171,5.80071746498136,0.0160196364495425,0.346149791517565,898,1707,981,1556,1389,1436,"Olfr536","olfactory receptor 536"
"561","ENSMUSG00000094846",0.772506976967368,1.18331889249458,5.71841387842394,0.0167878893723734,0.355774117083759,21,37,91,53,45,125,"Olfr1487","olfactory receptor 1487"
"604","ENSMUSG00000075427",1.73221736776281,2.21618348825276,5.61136099453373,0.0178443981565652,0.364258494144439,108,173,1,187,165,110,"Olfr288","olfactory receptor 288"
