"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"67","ENSMUSG00000096705",-5.65740727979796,-2.43044700823781,14.5455441743505,0.000136811823159891,0.137138168216705,2,5,11,0,0,0,"Olfr1329","olfactory receptor 1329"
"82","ENSMUSG00000062892",2.11285835659622,-0.291087608838415,13.1248687262035,0.000291401775050326,0.137138168216705,3,8,10,35,35,37,"Olfr1450","olfactory receptor 1450"
"90","ENSMUSG00000075064",5.79178904395753,-2.29712984654347,12.6611405495224,0.000373334396234224,0.137138168216705,0,0,0,0,6,16,"Olfr1506","olfactory receptor 1506"
"126","ENSMUSG00000096254",2.24717675830121,-0.673904984521472,10.0158404102065,0.00155199581060257,0.406095429108134,0,5,11,17,16,46,"Olfr724","olfactory receptor 724"
"135","ENSMUSG00000073955",5.1024389958212,-2.63901144300828,9.70014148830748,0.00184253824459226,0.406095429108134,0,0,0,8,1,6,"Olfr593","olfactory receptor 593"
"225","ENSMUSG00000109322",1.42094720415127,0.843684155780933,7.80310915388337,0.00521564138499452,0.592977653551723,4,40,37,60,70,83,"Olfr1283","olfactory receptor 1283"
"247","ENSMUSG00000059488",1.01142304680365,4.68245784127655,7.57596727511985,0.00591516287606942,0.592977653551723,184,468,722,962,905,1132,"Olfr727","olfactory receptor 727"
"249","ENSMUSG00000060523",1.03270320633783,3.70871394332978,7.55260854435819,0.00599232679615178,0.592977653551723,83,229,379,394,443,688,"Olfr726","olfactory receptor 726"
"250","ENSMUSG00000075427",1.07569257874598,2.93403754216504,7.50835748571862,0.00614133507015486,0.592977653551723,110,87,155,483,202,271,"Olfr288","olfactory receptor 288"
"262","ENSMUSG00000046913",1.77732266458986,-0.764070894376958,7.38646801313415,0.00657164098436347,0.592977653551723,4,3,9,16,11,45,"Olfr1451","olfactory receptor 1451"
"282","ENSMUSG00000060254",1.70529118858297,-0.0105701467526835,7.07719302986898,0.00780712117802537,0.592977653551723,1,19,17,40,30,51,"Olfr980","olfactory receptor 980"
"322","ENSMUSG00000059864",1.07573129312876,1.17535702962143,6.72024080385688,0.00953247555299264,0.592977653551723,16,31,64,62,92,105,"Olfr1393","olfactory receptor 1393"
"346","ENSMUSG00000061361",1.01324098592717,2.89794942002044,6.49074759073621,0.0108437366123135,0.592977653551723,61,137,184,266,317,290,"Olfr168","olfactory receptor 168"
"351","ENSMUSG00000099486",1.08605390718328,3.21157002500893,6.4628725605637,0.0110151434903324,0.592977653551723,53,189,240,352,296,444,"Olfr1228","olfactory receptor 1228"
"353","ENSMUSG00000094810",3.36397751861317,-2.53404100838732,6.45691840332557,0.0110521151852202,0.592977653551723,0,0,1,7,1,8,"Olfr907","olfactory receptor 907"
"354","ENSMUSG00000067525",0.843192700516039,4.32326117490692,6.42090597815234,0.0112784609019048,0.592977653551723,147,338,628,439,693,1130,"Olfr1427","olfactory receptor 1427"
"358","ENSMUSG00000063844",1.33056846971091,-0.228176655234751,6.40230931946534,0.0113972019212138,0.592977653551723,10,12,10,32,37,31,"Olfr1276","olfactory receptor 1276"
"370","ENSMUSG00000096679",2.41355843794642,-2.02810608268255,6.35333547029749,0.0117160814291739,0.592977653551723,0,2,2,5,10,10,"Olfr498","olfactory receptor 498"
"371","ENSMUSG00000042894",1.04696127798757,2.18860419665332,6.34474223117872,0.0117729715905042,0.592977653551723,32,89,111,174,170,189,"Olfr1260","olfactory receptor 1260"
"390","ENSMUSG00000074965",1.42813939625205,-0.0910363218286486,6.25544246613948,0.0123812319397872,0.592977653551723,2,19,18,28,38,42,"Olfr1277","olfactory receptor 1277"
"413","ENSMUSG00000042219",-4.22841118320125,-3.17218469536517,6.10728954761448,0.0134625431071719,0.592977653551723,4,2,0,0,0,0,"Olfr631","olfactory receptor 631"
"431","ENSMUSG00000051190",1.78431253604671,-0.591009211634972,5.97286975324834,0.0145276197320729,0.592977653551723,0,11,12,23,19,36,"Olfr1356","olfactory receptor 1356"
"454","ENSMUSG00000075073",1.0345032043812,0.792840277686769,5.86157418938353,0.0154749476580585,0.592977653551723,12,26,46,41,73,82,"Olfr1256","olfactory receptor 1256"
"456","ENSMUSG00000074945",2.16913433258094,-1.75057203838869,5.84919574339415,0.0155841718311963,0.592977653551723,3,0,3,13,8,11,"Olfr1314","olfactory receptor 1314"
"460","ENSMUSG00000075379",0.97770077238842,1.13501324978479,5.83819752489423,0.0156818835740525,0.592977653551723,17,42,51,68,93,88,"Olfr358","olfactory receptor 358"
"527","ENSMUSG00000096427",1.29308742061565,-0.378703813567964,5.51582246208469,0.0188452102603425,0.592977653551723,8,11,10,28,24,37,"Olfr895","olfactory receptor 895"
"541","ENSMUSG00000044487",0.942671760771924,1.95938345390129,5.46299232897191,0.0194233566957787,0.592977653551723,27,81,98,124,133,185,"Olfr1112","olfactory receptor 1112"
"546","ENSMUSG00000073928",1.33889999112563,-0.33300277666721,5.44612322748269,0.0196118005423939,0.592977653551723,6,6,20,24,28,38,"Olfr651","olfactory receptor 651"
"552","ENSMUSG00000067513",4.2219302989205,-2.99257709213989,5.39908425043219,0.0201473200333189,0.592977653551723,0,0,0,7,2,0,"Olfr1436","olfactory receptor 1436"
"560","ENSMUSG00000095189",1.88681310674997,-1.39607059148199,5.35165984710534,0.0207025533065737,0.592977653551723,0,3,8,9,10,22,"Olfr1472","olfactory receptor 1472"
"572","ENSMUSG00000096228",1.07124246380818,0.869148895323786,5.33788862491058,0.020866731759512,0.592977653551723,7,34,53,46,84,72,"Olfr5","olfactory receptor 5"
"588","ENSMUSG00000082882",1.71440822206587,-1.30669384131662,5.29840183545994,0.0213450001561102,0.592977653551723,4,5,2,15,13,17,"Olfr1186","olfactory receptor 1186"
"596","ENSMUSG00000046300",0.877501939828996,2.56180091567915,5.27275715743168,0.0216616770875132,0.592977653551723,60,124,124,188,282,206,"Olfr1412","olfactory receptor 1412"
"598","ENSMUSG00000062245",0.926556756516507,2.01781491701146,5.26411608644795,0.0217694751076613,0.592977653551723,29,70,120,128,136,192,"Olfr170","olfactory receptor 170"
"613","ENSMUSG00000096069",0.893409962841946,1.70805490360601,5.22888909398045,0.022214716456968,0.592977653551723,30,59,83,112,122,135,"Olfr61","olfactory receptor 61"
"656","ENSMUSG00000035932",1.12938543854038,0.677724449004618,5.06456307364889,0.0244198605045403,0.592977653551723,6,20,54,56,33,92,"Olfr750","olfactory receptor 750"
"665","ENSMUSG00000075200",0.959826190889571,0.750351844173347,5.03601080246783,0.0248255954423895,0.592977653551723,11,30,44,45,59,83,"Olfr1044","olfactory receptor 1044"
"679","ENSMUSG00000075119",0.899205555900984,1.50329589000403,5.02403155265287,0.024997901499469,0.592977653551723,21,50,81,83,106,126,"Olfr1197","olfactory receptor 1197"
"682","ENSMUSG00000093866",1.90572390955095,-1.83751128486109,5.00882482454811,0.025218420793883,0.592977653551723,3,1,2,12,6,11,"Olfr802","olfactory receptor 802"
"690","ENSMUSG00000057564",0.904181544113767,1.4280277889618,4.99789056023311,0.0253782309446714,0.592977653551723,22,57,62,97,95,111,"Olfr1508","olfactory receptor 1508"
"703","ENSMUSG00000073971",0.968408643646065,0.673290160247027,4.9556395182591,0.026005704493879,0.592977653551723,29,20,26,60,57,64,"Olfr554","olfactory receptor 554"
"720","ENSMUSG00000063173",1.00438681220365,0.591714200626644,4.86986801157652,0.0273295906697528,0.592977653551723,8,29,36,36,43,91,"Olfr811","olfactory receptor 811"
"723","ENSMUSG00000109058",1.04399573499259,1.21933385126864,4.86181865109591,0.0274573781711743,0.592977653551723,8,41,79,69,73,113,"Olfr705","olfactory receptor 705"
"733","ENSMUSG00000047969",0.976511102712043,0.858590802127029,4.81624332293104,0.028192726187431,0.592977653551723,10,28,58,49,68,81,"Olfr1093","olfactory receptor 1093"
"765","ENSMUSG00000094192",0.93584154241455,1.54046546056176,4.73427909760406,0.0295672369999913,0.592977653551723,15,40,110,62,111,140,"Olfr452","olfactory receptor 452"
"767","ENSMUSG00000071522",0.870958352742328,2.64049882326959,4.73098391003575,0.0296239341284984,0.592977653551723,30,122,209,127,232,320,"Olfr263","olfactory receptor 263"
"809","ENSMUSG00000049028",0.902029843627304,0.743258131203571,4.64436357925513,0.0311556875295547,0.592977653551723,22,22,38,73,42,75,"Olfr873","olfactory receptor 873"
"817","ENSMUSG00000056281",0.861242079651712,1.11929179491059,4.63719218900901,0.0312861502056045,0.592977653551723,15,34,66,51,62,127,"Olfr1322","olfactory receptor 1322"
"820","ENSMUSG00000075127",1.95471538276604,-1.57220684825722,4.62616741410004,0.0314878265252787,0.592977653551723,0,3,5,14,5,18,"Olfr1179","olfactory receptor 1179"
"865","ENSMUSG00000073925",0.992748767824176,0.655354582855357,4.53127526241209,0.0332808084255975,0.592977653551723,24,16,33,41,64,74,"Olfr654","olfactory receptor 654"
"878","ENSMUSG00000050158",1.20713555169823,-0.179772811384147,4.51673249221385,0.0335648764056503,0.592977653551723,13,3,23,35,21,42,"Olfr165","olfactory receptor 165"
"879","ENSMUSG00000073914",0.95558900663007,0.492359717358295,4.51623616734471,0.033574615840111,0.592977653551723,20,13,35,47,41,69,"Olfr677","olfactory receptor 677"
"928","ENSMUSG00000048292",0.821806395022057,2.56026035357922,4.45131061758934,0.034874471932001,0.592977653551723,38,125,171,133,252,262,"Olfr1417","olfactory receptor 1417"
"947","ENSMUSG00000096773",1.6016234246529,-1.2393179673468,4.40013779795071,0.0359360268170544,0.592977653551723,3,2,8,12,19,15,"Olfr675","olfactory receptor 675"
"968","ENSMUSG00000074947",0.864868435096979,1.05879524351139,4.36546461713232,0.0366744808116362,0.592977653551723,11,29,74,44,53,129,"Olfr1312","olfactory receptor 1312"
"977","ENSMUSG00000051313",0.795485577266481,2.55528168265293,4.33172893607335,0.0374082298067888,0.592977653551723,66,90,170,205,186,266,"Olfr1262","olfactory receptor 1262"
"979","ENSMUSG00000056995",1.24811618460093,0.207562684658941,4.32306950267474,0.0375990409837312,0.592977653551723,3,20,31,52,37,42,"Olfr1178","olfactory receptor 1178"
"986","ENSMUSG00000058820",1.22103659655679,-0.187374387263323,4.30242249883602,0.0380581252434909,0.592977653551723,3,16,20,34,28,36,"Olfr146","olfactory receptor 146"
"1002","ENSMUSG00000094819",0.826430817395095,1.64604624204635,4.25992631636153,0.0390216139683489,0.592977653551723,41,31,97,87,94,165,"Olfr53","olfactory receptor 53"
"1003","ENSMUSG00000050776",1.34730233942183,0.00626229467958109,4.25257503251099,0.0391908633022275,0.592977653551723,0,23,24,20,25,66,"Olfr1317","olfactory receptor 1317"
"1008","ENSMUSG00000057997",0.784604425774839,2.34648527242699,4.2405636186364,0.03946906216116,0.592977653551723,64,86,127,190,173,208,"Olfr541","olfactory receptor 541"
"1021","ENSMUSG00000067526",0.908544289096497,0.720679241430374,4.20135180082323,0.040391768796107,0.592977653551723,13,20,53,37,61,81,"Olfr1425","olfactory receptor 1425"
"1024","ENSMUSG00000110970",0.785828557404047,1.68374552917414,4.19061913765471,0.0406482495422155,0.592977653551723,24,62,91,76,102,175,"Olfr156","olfactory receptor 156"
"1049","ENSMUSG00000096000",-3.75756674830516,-3.18537401094695,4.17373125649172,0.04105529081005,0.592977653551723,0,0,6,0,0,0,"Olfr773","olfactory receptor 773"
"1061","ENSMUSG00000090129",0.818350652602043,2.87935736539858,4.15143139711895,0.0415993441665716,0.592977653551723,45,136,247,194,210,403,"Olfr287","olfactory receptor 287"
"1068","ENSMUSG00000046210",1.28099346826084,-0.721989335292996,4.12209903308532,0.0423265309870443,0.592977653551723,3,5,17,15,18,32,"Olfr735","olfactory receptor 735"
"1084","ENSMUSG00000050603",-3.35986616933366,-3.44535257962496,4.08460837951098,0.0432754786374954,0.592977653551723,2,0,1,0,0,0,"Olfr1008","olfactory receptor 1008"
"1105","ENSMUSG00000050251",0.949002517332859,0.195477570879541,4.08129110788454,0.0433605146513649,0.592977653551723,13,13,29,38,34,54,"Olfr809","olfactory receptor 809"
"1129","ENSMUSG00000094701",1.13286498926723,-0.344138081240542,4.03884301518395,0.0444642956997848,0.592977653551723,11,8,13,21,29,38,"Olfr916","olfactory receptor 916"
"1131","ENSMUSG00000060205",0.84575486059369,0.795751726401483,4.02325369934925,0.0448770569664805,0.592977653551723,27,36,24,76,52,66,"Olfr57","olfactory receptor 57"
"1147","ENSMUSG00000056959",0.809647185939054,2.27129111757881,3.99739068224665,0.0455707611612572,0.592977653551723,39,97,137,162,170,200,"Olfr315","olfactory receptor 315"
"1151","ENSMUSG00000073964",0.818641943200811,0.863471690635687,3.99128065102075,0.0457362895669798,0.592977653551723,18,33,42,40,75,85,"Olfr570","olfactory receptor 570"
"1152","ENSMUSG00000057179",0.808589541661947,1.33961022280063,3.9902041508575,0.0457655188811519,0.592977653551723,33,25,80,75,74,127,"Olfr747","olfactory receptor 747"
"1180","ENSMUSG00000094755",3.47764679958183,-3.36615508218768,3.9596679955441,0.0466028940684163,0.592977653551723,0,0,0,0,2,2,"Olfr1453","olfactory receptor 1453"
"1188","ENSMUSG00000093920",0.765157102534145,2.5552333563078,3.95751628137773,0.0466625051416192,0.592977653551723,73,89,166,202,205,245,"Olfr463","olfactory receptor 463"
"1193","ENSMUSG00000059964",0.817935092904402,0.826100761247942,3.94205293700788,0.0470932734990732,0.592977653551723,17,32,44,56,56,82,"Olfr119","olfactory receptor 119"
"1194","ENSMUSG00000094285",0.66608827749707,5.48601607439695,3.94085691530626,0.0471267657851414,0.592977653551723,417,1122,1153,1467,1908,1469,"Olfr743","olfactory receptor 743"
"1208","ENSMUSG00000096708",-3.27872746368564,-3.44854303921368,3.9203378006444,0.047705293644342,0.592977653551723,1,0,2,0,0,0,"Olfr1475","olfactory receptor 1475"
"1229","ENSMUSG00000058628",0.93348410679657,0.27362497925204,3.90669678999718,0.0480940387540466,0.592977653551723,12,19,27,52,32,51,"Olfr875","olfactory receptor 875"
"1231","ENSMUSG00000095706",0.912693215749278,0.493731285190094,3.90239674658824,0.0482172743518412,0.592977653551723,22,18,25,41,36,83,"Olfr209","olfactory receptor 209"
"1232","ENSMUSG00000043385",0.992153480311502,0.148089364811122,3.89770496646177,0.0483521170609385,0.592977653551723,9,11,31,17,38,68,"Olfr267","olfactory receptor 267"
"1235","ENSMUSG00000061165",1.08129222274506,-0.0755381788766664,3.88427203488216,0.0487403879900897,0.592977653551723,9,11,21,25,50,31,"Olfr160","olfactory receptor 160"
"1299","ENSMUSG00000109354",0.810093011759366,1.04146680209089,3.83884252341424,0.0500780809256558,0.592977653551723,10,33,73,35,68,115,"Olfr706","olfactory receptor 706"
"1311","ENSMUSG00000093825",0.89177123776191,1.2851348376428,3.82601255716281,0.0504628488163093,0.592977653551723,10,62,66,68,77,117,"Olfr723","olfactory receptor 723"
"1318","ENSMUSG00000095156",0.785174878480083,1.46445293436071,3.81700184804843,0.0507349450837073,0.592977653551723,26,60,65,104,89,111,"Olfr1281","olfactory receptor 1281"
"1325","ENSMUSG00000048226",0.785763638409841,0.939849434767338,3.80274931083618,0.0511685003578959,0.592977653551723,19,40,43,59,65,85,"Olfr1212","olfactory receptor 1212"
"1329","ENSMUSG00000110912",0.998472755763354,-0.111296406637611,3.79887690142852,0.0512869727378974,0.592977653551723,9,14,18,26,25,52,"Olfr1080","olfactory receptor 1080"
