"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000063881",3.04541955618956,4.58205740306235,95.9605658136478,1.17194721973745e-22,8.88268808885417e-20,121,168,128,1286,884,1176,"Olfr376","olfactory receptor 376"
"3","ENSMUSG00000062128",3.18836827507309,3.36013922918128,95.3292888516561,1.61210310142544e-22,8.88268808885417e-20,69,48,46,622,483,350,"Olfr20","olfactory receptor 20"
"5","ENSMUSG00000069823",2.56725013527906,3.87727159678043,75.1178462543585,4.43439913635344e-18,1.62890261608716e-15,155,116,67,873,828,312,"Olfr1","olfactory receptor 1"
"6","ENSMUSG00000062712",2.19204291280605,5.19563991764649,70.4876986609689,4.63145485810224e-17,1.27596581340717e-14,429,281,313,2347,1178,1181,"Olfr531","olfactory receptor 531"
"8","ENSMUSG00000058244",2.78791089465714,3.33243739947609,65.5286314806918,5.72757877576308e-16,1.26235836217818e-13,78,61,51,733,426,228,"Olfr506","olfactory receptor 506"
"9","ENSMUSG00000063350",2.77653247654039,3.29275232153391,61.5832324250932,4.24417549124912e-15,7.79513565226088e-13,66,71,50,695,430,227,"Olfr874","olfactory receptor 874"
"11","ENSMUSG00000062782",1.9939059584341,4.82714604626827,51.3086272483824,7.89280078494932e-13,1.24255235214488e-10,347,298,241,1694,1279,656,"Olfr527","olfactory receptor 527"
"13","ENSMUSG00000071629",2.67772180314149,3.08978253844384,48.9757120595551,2.59151707214814e-12,3.56981476688406e-10,66,45,66,555,398,210,"Olfr1477","olfactory receptor 1477"
"15","ENSMUSG00000063137",2.49422973318386,1.75795041513609,40.744905141908,1.7345508425362e-10,2.12386114274988e-08,31,33,18,187,140,118,"Olfr177","olfactory receptor 177"
"16","ENSMUSG00000049362",2.6704119510474,1.39454517074974,39.2146168212524,3.79687101947854e-10,4.18415186346535e-08,28,22,8,170,103,74,"Olfr173","olfactory receptor 173"
"17","ENSMUSG00000047960",2.26821574837671,3.36832512475206,39.004560584531,4.22816652303348e-10,4.2358540985299e-08,82,108,78,669,482,217,"Olfr186","olfactory receptor 186"
"21","ENSMUSG00000075210",2.03493722732716,2.22590937169484,32.4524517054372,1.22144761203872e-08,1.12169605705556e-06,42,87,25,189,325,94,"Olfr1012","olfactory receptor 1012"
"22","ENSMUSG00000046881",2.01101607996207,2.07826888353635,31.6143802099812,1.88032031420549e-08,1.59393306634958e-06,60,30,45,210,131,178,"Olfr374","olfactory receptor 374"
"23","ENSMUSG00000058014",2.16844287154944,1.82433382755189,31.3450022973432,2.16014033469414e-08,1.70033903488067e-06,36,34,30,194,175,88,"Olfr502","olfactory receptor 502"
"24","ENSMUSG00000090894",1.51753914040034,4.35550565722517,30.5996742088237,3.1714699494331e-08,2.32997325618352e-06,342,291,200,1193,692,513,"Olfr110","olfactory receptor 110"
"27","ENSMUSG00000090629",1.94744506474317,2.56893317208664,27.4573770017867,1.60595113912117e-07,1.10609884706971e-05,61,90,38,355,301,100,"Olfr180","olfactory receptor 180"
"29","ENSMUSG00000075176",2.59806883884289,1.78959213782088,27.1400882896933,1.89232903327228e-07,1.22667446745062e-05,20,22,28,239,172,59,"Olfr1085","olfactory receptor 1085"
"31","ENSMUSG00000094612",1.50277635266514,3.34251168737947,24.4983952272223,7.4371754893334e-07,4.55320410513634e-05,173,172,86,528,406,248,"Olfr491","olfactory receptor 491"
"33","ENSMUSG00000111747",1.87273283440227,1.65371957047187,23.43319211014,1.29327725193907e-06,7.50100806124661e-05,46,30,31,153,151,83,"Olfr1134","olfactory receptor 1134"
"34","ENSMUSG00000047969",1.73959972457649,2.46714854644737,23.1147649619525,1.52614275892588e-06,8.4090466016816e-05,60,76,66,290,207,171,"Olfr1093","olfactory receptor 1093"
"35","ENSMUSG00000044213",1.92247877406155,1.82126423265863,21.7950009688475,3.03389586107244e-06,0.000159207297090563,28,59,28,173,220,59,"Olfr1094","olfactory receptor 1094"
"37","ENSMUSG00000075155",2.59381287530573,0.635203752370547,20.6175913587439,5.6078457898071e-06,0.000280902093653065,7,12,13,77,106,27,"Olfr1133","olfactory receptor 1133"
"39","ENSMUSG00000044560",2.59660090409496,1.27850522186463,20.0163297423843,7.67836437968557e-06,0.000367893806365804,25,7,19,126,168,38,"Olfr1302","olfactory receptor 1302"
"48","ENSMUSG00000096695",1.69802404384218,2.64423904407348,16.7463407991892,4.27245825353378e-05,0.00196177041474759,68,75,79,356,302,113,"Olfr196","olfactory receptor 196"
"65","ENSMUSG00000094539",1.33695728038839,1.90524363322554,14.2821032428347,0.000157353867932443,0.00693615849846209,76,64,31,192,147,79,"Olfr191","olfactory receptor 191"
"68","ENSMUSG00000067513",-5.85140510494689,-2.26388966032422,14.0031568365565,0.000182503964181617,0.00773536032800546,3,8,11,0,0,0,"Olfr1436","olfactory receptor 1436"
"72","ENSMUSG00000094588",1.86514370156639,0.685524642172163,13.7437714852995,0.000209514396084592,0.00855129127723039,18,14,20,84,77,34,"Olfr898","olfactory receptor 898"
"77","ENSMUSG00000069818",1.23519967493408,2.86868939155838,13.3488232680733,0.000258584831331759,0.0101321238856839,141,136,79,317,224,256,"Olfr390","olfactory receptor 390"
"80","ENSMUSG00000060787",1.19482242487881,3.70760643163527,13.2913400317638,0.000266634839096945,0.0101321238856839,271,138,213,721,450,265,"Olfr464","olfactory receptor 464"
"86","ENSMUSG00000042774",1.3406350883249,2.29364923615635,12.8517416823753,0.000337165278487697,0.0120236256065578,76,103,37,292,191,76,"Olfr1353","olfactory receptor 1353"
"87","ENSMUSG00000046913",2.17185906386917,0.0825191753490297,12.8458271631224,0.000338232662253441,0.0120236256065578,13,16,3,35,59,35,"Olfr1451","olfactory receptor 1451"
"104","ENSMUSG00000096757",1.29586410548206,1.37612963611157,11.6095032047189,0.000656156772589642,0.0225963988560558,45,33,41,99,80,104,"Olfr251","olfactory receptor 251"
"242","ENSMUSG00000063777",2.34473737574586,-1.19204206683973,8.41174297632438,0.00372805071583774,0.124494299662218,4,3,2,23,22,5,"Olfr1469","olfactory receptor 1469"
"259","ENSMUSG00000062868",-3.8579492309373,-2.33979646081585,8.19731022699497,0.00419525394415738,0.135975583719454,4,2,13,0,0,1,"Olfr830","olfactory receptor 830"
"355","ENSMUSG00000099687",1.54093926436865,0.478895270433124,7.31603913712496,0.00683418702909767,0.215179260173304,11,26,17,51,28,77,"Olfr623","olfactory receptor 623"
"372","ENSMUSG00000049843",0.979215331991606,1.91190771856264,7.20071182403451,0.00728746695691421,0.223077460736652,70,73,54,187,127,80,"Olfr1102","olfactory receptor 1102"
"395","ENSMUSG00000096273",1.27398042460789,0.457175910662414,7.06168536472636,0.00787498780157262,0.234546933981974,25,22,14,68,53,27,"Olfr1474","olfactory receptor 1474"
