"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"19","ENSMUSG00000070852",2.91385580368799,0.477032970269667,23.0754454541222,1.55767301007089e-06,0.00171655565709812,9,13,3,33,99,71,"Olfr1121","olfactory receptor 1121"
"82","ENSMUSG00000075072",1.53653482137403,3.07109121918986,9.47745746363143,0.00208012053824398,1,55,261,87,316,365,306,"Olfr48","olfactory receptor 48"
"150","ENSMUSG00000111159",4.8661310337321,-2.710219834592,7.47219910226713,0.00626589680253736,1,0,0,0,1,12,1,"Olfr1337","olfactory receptor 1337"
"156","ENSMUSG00000042894",1.00936777364005,3.38481808710519,7.35442610292013,0.0066897860172868,1,103,267,201,221,515,456,"Olfr1260","olfactory receptor 1260"
"257","ENSMUSG00000093866",-2.148616839557,-1.42820533285376,6.25001390627759,0.0124192331505805,1,12,16,11,1,8,2,"Olfr802","olfactory receptor 802"
"284","ENSMUSG00000049015",1.64719789023428,-0.00764318053401855,6.06912488582307,0.0137565101602901,1,12,29,2,29,56,27,"Olfr1467","olfactory receptor 1467"
"336","ENSMUSG00000095312",4.32344394959783,-3.08223408510797,5.66878413968691,0.0172694216331392,1,0,0,0,1,1,6,"Olfr382","olfactory receptor 382"
"409","ENSMUSG00000091601",1.26757592002878,3.38744385662416,5.22288988883238,0.0222914767151239,1,149,441,32,228,572,309,"Olfr93","olfactory receptor 93"
"453","ENSMUSG00000045479",-1.71392885471642,-1.03218405540599,4.97022993125827,0.0257872191772098,1,20,17,15,2,10,6,"Olfr459","olfactory receptor 459"
"476","ENSMUSG00000066240",-2.69363802659996,-2.52770618452527,4.82768787101765,0.0280061651063502,1,2,6,7,1,0,1,"Olfr517","olfactory receptor 517"
"526","ENSMUSG00000044441",0.978712514910007,1.84992322647682,4.61799705304481,0.0316381616808165,1,62,111,31,91,173,126,"Olfr1442","olfactory receptor 1442"
"575","ENSMUSG00000091983",2.06544921203995,-0.809619457797255,4.44107464048858,0.0350841570127975,1,5,15,0,16,20,28,"Olfr457","olfactory receptor 457"
"747","ENSMUSG00000075194",2.15288045113638,-2.31858444163497,4.06746123643954,0.0437169325860615,1,2,0,2,5,6,7,"Olfr1049","olfactory receptor 1049"
"793","ENSMUSG00000055610",-1.80179356557806,-1.89201812015589,3.96708561450238,0.0463980110385191,1,8,11,6,1,5,2,"Olfr307","olfactory receptor 307"
"885","ENSMUSG00000058014",1.24118291956532,0.0223213343294443,3.84350230532285,0.0499391036053256,1,22,23,3,23,69,20,"Olfr502","olfactory receptor 502"
