"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"74","ENSMUSG00000058200",2.70578551041111,-0.19812184760352,8.8593269703459,0.00291595067652508,1,11,7,0,85,13,23,"Olfr66","olfactory receptor 66"
"101","ENSMUSG00000073967",1.81961401158549,3.87677272951953,7.91815331880106,0.00489412021117475,1,221,189,111,944,365,724,"Olfr557","olfactory receptor 557"
"148","ENSMUSG00000075064",-5.1761678362038,-2.56854169183625,6.58190717177446,0.0103020454285038,1,0,0,17,0,0,0,"Olfr1506","olfactory receptor 1506"
"231","ENSMUSG00000056564",1.59025183708154,0.166815616813387,5.70428696079971,0.0169235286259887,1,16,17,10,43,38,59,"Olfr324","olfactory receptor 324"
"301","ENSMUSG00000043948",1.40902271780759,2.30559834708794,5.18097100163513,0.022835558997394,1,92,62,56,314,106,220,"Olfr691","olfactory receptor 691"
"343","ENSMUSG00000069816",1.62020120479001,-0.388680796836339,4.94773066196302,0.0261249392638432,1,10,8,9,26,21,48,"Olfr23","olfactory receptor 23"
"390","ENSMUSG00000043354",1.32085555873449,1.88999769142573,4.74295748230559,0.0294184565927864,1,74,72,29,204,124,120,"Olfr577","olfactory receptor 577"
"399","ENSMUSG00000063216",1.78929215673179,-0.947727959643405,4.72951572970711,0.0296492321609637,1,11,2,4,37,9,15,"Olfr1351","olfactory receptor 1351"
"450","ENSMUSG00000059303",2.63403230082187,-1.8849984065744,4.44712718061131,0.0349600112785886,1,0,4,1,10,5,15,"Olfr836","olfactory receptor 836"
"767","ENSMUSG00000091983",2.3401769787921,-0.623673348794555,3.68355614452815,0.0549515299149401,1,5,15,0,29,10,42,"Olfr457","olfactory receptor 457"
"770","ENSMUSG00000075085",1.1707503531633,2.37783771522568,3.67348430410987,0.0552844980092279,1,68,121,74,198,182,239,"Olfr1242","olfactory receptor 1242"
"805","ENSMUSG00000093866",-1.90487399314683,-1.35494824197523,3.63579278205882,0.0565496661218312,1,12,16,11,7,7,0,"Olfr802","olfactory receptor 802"
"873","ENSMUSG00000066257",-1.27157235133257,0.163095385624119,3.53245110544315,0.0601787628564153,1,30,38,48,8,13,42,"Olfr206","olfactory receptor 206"
"922","ENSMUSG00000110621",2.95296158993946,-2.14090678492052,3.45193813634033,0.0631776463680335,1,3,0,0,2,5,18,"Olfr837","olfactory receptor 837"
"926","ENSMUSG00000066122",1.1399951250311,0.961758104810063,3.44188538055004,0.0635631190231386,1,27,35,32,93,46,93,"Olfr45","olfactory receptor 45"
"1005","ENSMUSG00000045150",1.72087235610248,-1.79405619575446,3.29593758593356,0.0694514472746871,1,2,2,4,5,11,14,"Olfr1161","olfactory receptor 1161"
"1069","ENSMUSG00000059503",2.13072263898694,-2.37452937886611,3.27126983099182,0.0705030314260835,1,0,3,1,5,6,6,"Olfr248","olfactory receptor 248"
"1206","ENSMUSG00000096409",1.76122692068672,-1.08604942208005,3.18324569521696,0.0743968145768034,1,3,12,2,18,11,23,"Olfr890","olfactory receptor 890"
"1274","ENSMUSG00000094755",3.27214722035424,-3.41859513489353,3.09542108177027,0.0785128372213801,1,0,0,0,4,0,0,"Olfr1453","olfactory receptor 1453"
"1402","ENSMUSG00000070380",1.5014818746379,-1.0375841391936,2.99089432789764,0.0837339121455218,1,6,12,1,25,20,6,"Olfr401","olfactory receptor 401"
"1439","ENSMUSG00000111159",3.03409287941017,-3.50698502035934,2.96706246625149,0.0849760293610809,1,0,0,0,1,2,0,"Olfr1337","olfactory receptor 1337"
"1447","ENSMUSG00000075215",1.47904771067983,-1.24464717010378,2.95753617928978,0.0854781001555458,1,4,3,9,16,14,15,"Olfr1000","olfactory receptor 1000"
"1472","ENSMUSG00000095312",3.17713652337638,-3.43521933238613,2.9521259900756,0.0857646650858406,1,0,0,0,0,0,4,"Olfr382","olfactory receptor 382"
"1536","ENSMUSG00000066263",1.46814772723724,-0.0831221755588074,2.90878972458948,0.0880979632158066,1,21,15,3,44,15,55,"Olfr639","olfactory receptor 639"
"1557","ENSMUSG00000045126",1.98706550765122,-2.3840663521843,2.88494650520443,0.0894109759772542,1,2,2,0,6,4,7,"Olfr1445","olfactory receptor 1445"
"1562","ENSMUSG00000059366",1.03936772989014,1.51324793390814,2.87870925392676,0.0897579433806555,1,62,60,30,126,79,123,"Olfr959","olfactory receptor 959"
"1635","ENSMUSG00000063764",1.11889089970534,-0.0630456919922905,2.79090974317035,0.0948003940548404,1,18,9,18,52,17,41,"Olfr508","olfactory receptor 508"
"1686","ENSMUSG00000046650",0.963929530694894,1.10775356183372,2.77147142165093,0.0959579158896992,1,32,40,43,67,67,113,"Olfr1440","olfactory receptor 1440"
"1751","ENSMUSG00000062868",-2.3026433663254,-1.9731733767075,2.76337484977025,0.0964445872466701,1,11,10,3,0,1,6,"Olfr830","olfactory receptor 830"
"1761","ENSMUSG00000061000",1.79781145602337,-2.43493587928517,2.75291741700954,0.0970771501745695,1,1,1,2,6,3,7,"Olfr507","olfactory receptor 507"
"1789","ENSMUSG00000045708",1.51695294276357,-0.549926049771511,2.71688898987292,0.0992913674034925,1,16,12,1,37,12,28,"Olfr447","olfactory receptor 447"
"1791","ENSMUSG00000043310",1.05987758613053,2.57045711291413,2.7145232728771,0.09943867441877,1,157,127,38,381,143,157,"Olfr571","olfactory receptor 571"
"1861","ENSMUSG00000073909",-2.87420834401002,-3.51037494376825,2.62639100306289,0.105100364006274,1,3,0,0,0,0,0,"Olfr688","olfactory receptor 688"
"2005","ENSMUSG00000052508",1.20549688218691,5.84086961679976,2.6036830554942,0.106615690064114,1,1148,1642,314,2262,1371,3135,"Olfr536","olfactory receptor 536"
"2025","ENSMUSG00000066269",1.45203407562354,0.0223397983309679,2.57745768047039,0.108395631744251,1,27,22,1,42,25,46,"Olfr575","olfactory receptor 575"
"2028","ENSMUSG00000059504",1.14185845912321,0.708916840176865,2.57440936935938,0.108604631252901,1,36,28,13,49,36,113,"Olfr314","olfactory receptor 314"
"2029","ENSMUSG00000095608",1.23512009362782,0.0627019722262358,2.57428030755506,0.10861348980123,1,24,16,7,29,26,69,"Olfr247","olfactory receptor 247"
"2059","ENSMUSG00000057447",1.01444241136821,0.301802587314055,2.54153593114685,0.110886872214586,1,18,24,20,40,33,67,"Olfr1205","olfactory receptor 1205"
"2098","ENSMUSG00000063020",1.48847934272357,-1.2050509184494,2.49702652940356,0.114061470976304,1,10,6,1,19,9,18,"Olfr194","olfactory receptor 194"
"2308","ENSMUSG00000046150",1.3395443113982,-0.551185387364992,2.43102742406489,0.118954909802765,1,18,7,4,20,14,45,"Olfr918","olfactory receptor 918"
"2338","ENSMUSG00000061952",1.23824497830935,0.809541612899641,2.39468325445909,0.121748407400476,1,66,31,4,69,44,77,"Olfr1377","olfactory receptor 1377"
"2431","ENSMUSG00000066241",-2.63437287889301,-3.6103061298579,2.37583880070695,0.123225394194236,1,1,0,1,0,0,0,"Olfr514","olfactory receptor 514"
"2517","ENSMUSG00000071185",0.915868999813281,1.30510663927291,2.34140763949417,0.125975673044275,1,61,26,45,105,37,150,"Olfr1357","olfactory receptor 1357"
"2525","ENSMUSG00000067519",1.62649400395153,-1.98378297779391,2.33250444130796,0.126697890766587,1,4,2,1,5,6,14,"Olfr262","olfactory receptor 262"
"2562","ENSMUSG00000095804",1.15767147897675,-0.467866387162013,2.30802733874543,0.12870730010579,1,11,15,7,24,19,37,"Olfr824","olfactory receptor 824"
"2667","ENSMUSG00000089717",1.25503635772386,-1.12143947438454,2.22200155620762,0.136056569941865,1,7,11,2,14,19,13,"Olfr275","olfactory receptor 275"
"2677","ENSMUSG00000062042",2.59084323486712,-3.61473742180522,2.21777091807744,0.136429913461497,1,0,0,0,1,0,1,"Olfr294","olfactory receptor 294"
"2762","ENSMUSG00000057444",1.50800989919949,-2.21832443669626,2.21095596522969,0.137033731504624,1,1,3,2,4,6,9,"Olfr915","olfactory receptor 915"
"2769","ENSMUSG00000050603",2.57895313746643,-3.60812288772227,2.20637440015047,0.137441349803278,1,0,0,0,1,1,0,"Olfr1008","olfactory receptor 1008"
"2817","ENSMUSG00000075084",0.961047229528647,1.22651460095622,2.20558968625114,0.137511301381491,1,36,54,31,64,57,154,"Olfr1243","olfactory receptor 1243"
"2818","ENSMUSG00000048378",1.23896441732259,-0.292211736861444,2.20554338734073,0.137515429841348,1,13,19,5,39,14,39,"Olfr1394","olfactory receptor 1394"
"2833","ENSMUSG00000109813",1.454374636856,-1.55243322216338,2.19019145745964,0.138892050079161,1,0,9,4,2,17,14,"Olfr1279","olfactory receptor 1279"
