"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000063881",3.43292442293803,4.68579742932539,275.373996729121,7.65088964786455e-62,8.43128039194673e-59,196,83,81,1010,1283,802,"Olfr376","olfactory receptor 376"
"3","ENSMUSG00000062782",2.02859721625786,5.09276039049855,205.781589333312,1.14352857834138e-46,6.300842466661e-44,435,377,246,1237,1301,1028,"Olfr527","olfactory receptor 527"
"4","ENSMUSG00000075066",3.20201381225029,3.7500179998153,181.578451815843,2.19173667517266e-41,8.0509793868009e-39,73,86,44,545,806,280,"Olfr32","olfactory receptor 32"
"5","ENSMUSG00000054054",1.87383026596874,5.65053684477915,176.81176823217,2.40754483260502e-40,6.63278601382683e-38,840,576,334,1572,2375,1293,"Olfr309","olfactory receptor 309"
"7","ENSMUSG00000067525",2.22923746852366,6.36982196008841,78.5498028796665,7.80066185323775e-19,1.7192658724536e-16,869,536,592,4985,2230,1541,"Olfr1427","olfactory receptor 1427"
"9","ENSMUSG00000101391",1.868269611222,3.35947053375853,60.4078586815582,7.71045251453363e-15,1.41615311183601e-12,145,100,96,394,403,254,"Olfr1217","olfactory receptor 1217"
"10","ENSMUSG00000111448",2.48376999450756,2.04894587225297,59.4533498516104,1.25227744521052e-14,1.97144249231713e-12,55,24,22,157,210,95,"Olfr912","olfactory receptor 912"
"11","ENSMUSG00000049149",1.52472422188605,5.18645599624939,54.7751895880328,1.35136010434587e-13,1.86149854373644e-11,559,428,440,1296,1508,764,"Olfr1258","olfactory receptor 1258"
"12","ENSMUSG00000096840",1.64079846308868,4.09424667360597,53.2697430198271,2.90750554289563e-13,3.56007900918998e-11,327,160,170,575,756,376,"Olfr136","olfactory receptor 136"
"13","ENSMUSG00000096069",2.05922174617952,2.79657995605713,51.2431090010946,8.1606699561468e-13,8.99305829167377e-11,86,72,46,317,292,128,"Olfr61","olfactory receptor 61"
"15","ENSMUSG00000094858",2.12608285142019,2.35220639841218,42.2156200947725,8.17444943843211e-11,8.18931207377472e-09,52,83,22,222,200,113,"Olfr1297","olfactory receptor 1297"
"17","ENSMUSG00000075104",1.81003340867931,2.68633761057866,41.4233372501028,1.22585171580109e-10,1.125740492344e-08,115,56,57,221,273,160,"Olfr1219","olfactory receptor 1219"
"18","ENSMUSG00000068806",1.96490193245251,2.50905927691466,40.2405964186355,2.24533522708046e-10,1.90335340018667e-08,123,48,31,190,238,155,"Olfr1259","olfactory receptor 1259"
"21","ENSMUSG00000084336",2.74918091209414,0.666246328703,36.8082195823436,1.3033956787018e-09,1.02595859852099e-07,23,4,8,61,56,56,"Olfr1269","olfactory receptor 1269"
"23","ENSMUSG00000109219",2.22073161919511,2.68873541224445,36.1787656825459,1.80021457059524e-09,1.32255763786397e-07,61,43,67,285,265,140,"Olfr1299","olfactory receptor 1299"
"24","ENSMUSG00000082980",1.59349518250781,3.0127650162235,33.8627883349911,5.91390762608122e-09,4.07320387746344e-07,131,95,76,370,260,158,"Olfr1274","olfactory receptor 1274"
"27","ENSMUSG00000045225",2.98986794367591,0.479384570360667,32.5954249924609,1.13481561119818e-08,7.3562753149435e-07,11,10,2,24,98,42,"Olfr1152","olfactory receptor 1152"
