"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000094426",3.16150425315308,2.36939428021545,117.868629140749,1.85260926636481e-27,2.04157541153402e-24,27,32,34,304,213,343,"Olfr478","olfactory receptor 478"
"4","ENSMUSG00000061952",2.88543715950117,3.2836118901127,105.726017698393,8.46683762233583e-25,4.66522752990704e-22,58,74,73,597,304,727,"Olfr1377","olfactory receptor 1377"
"6","ENSMUSG00000049098",2.73772940838472,2.8664558751841,95.2347088579306,1.6909931245499e-22,6.21158141084663e-20,49,48,72,509,213,484,"Olfr147","olfactory receptor 147"
"10","ENSMUSG00000058014",2.29516880530556,2.01546683725393,61.0041484159099,5.69546686229935e-15,1.56910112056347e-12,35,35,52,257,126,245,"Olfr502","olfactory receptor 502"
"13","ENSMUSG00000095212",2.30246610117667,1.71867890478995,48.5420318338519,3.232851876034e-12,7.12520553477894e-10,49,17,35,191,91,226,"Olfr473","olfactory receptor 473"
"16","ENSMUSG00000094119",1.79405480986525,2.34310127170595,43.3473290271107,4.58361483287469e-11,8.41857257637985e-09,53,75,77,254,182,291,"Olfr612","olfactory receptor 612"
"17","ENSMUSG00000045584",1.82839954127873,3.35867583068118,42.7935127942097,6.08335618769487e-11,9.57694074119964e-09,145,120,125,519,256,764,"Olfr610","olfactory receptor 610"
"20","ENSMUSG00000073893",1.27816219927301,3.85760986500658,36.9111184189857,1.2363887067391e-09,1.70312544353311e-07,220,266,277,589,497,824,"Olfr472","olfactory receptor 472"
"22","ENSMUSG00000046150",2.04286890670742,1.63799472359806,33.9191846133139,5.74494156695241e-09,7.03436178531284e-07,21,44,41,124,90,251,"Olfr918","olfactory receptor 918"
"24","ENSMUSG00000060583",2.14549102890621,1.89469685524646,30.4696249001817,3.39135135576434e-08,3.7372691940523e-06,35,37,37,214,60,317,"Olfr881","olfactory receptor 881"
"36","ENSMUSG00000066242",1.70064315140049,0.974964723058056,21.9945990358498,2.73418788771636e-06,0.00027391591384213,28,28,24,127,59,90,"Olfr467","olfactory receptor 467"
"40","ENSMUSG00000078420",1.77326055199283,1.60905852740127,20.9189952547595,4.79119902387057e-06,0.000439991777025447,34,35,40,137,50,272,"Olfr141","olfactory receptor 141"
"44","ENSMUSG00000044923",1.27960298098785,1.96682843676063,20.0374965068905,7.59384216822213e-06,0.000643724159183138,57,68,79,218,123,172,"Olfr1030","olfactory receptor 1030"
"46","ENSMUSG00000096584",1.42802755001442,2.11385720276382,19.7327700246493,8.90610131724312e-06,0.000701037403685851,90,49,64,189,97,314,"Olfr611","olfactory receptor 611"
"47","ENSMUSG00000063120",2.62472570417081,-0.171881402138237,19.4740386079526,1.01976309419117e-05,0.000749185953199113,5,15,3,39,43,46,"Olfr480","olfactory receptor 480"
"49","ENSMUSG00000044560",1.90436579999491,0.393282872731649,19.1082380239768,1.23510614108852e-05,0.000850679354674718,19,17,12,69,51,63,"Olfr1302","olfactory receptor 1302"
"53","ENSMUSG00000044205",1.11370060930319,2.57356499371254,18.4951704152399,1.70335384430828e-05,0.00105012661525627,95,97,147,289,154,322,"Olfr983","olfactory receptor 983"
"54","ENSMUSG00000063764",1.49238562544622,1.06541881228727,18.481883592295,1.71527033344944e-05,0.00105012661525627,31,40,26,87,94,93,"Olfr508","olfactory receptor 508"
"69","ENSMUSG00000061361",0.71004025088616,5.32824782900915,15.584759171103,7.88879062226119e-05,0.00457549856091149,564,1442,831,1123,1459,1892,"Olfr168","olfactory receptor 168"
"75","ENSMUSG00000094612",1.08594337794549,2.76698874223373,14.7837084308743,0.000120572678438012,0.00664355458193446,144,108,130,270,169,441,"Olfr491","olfactory receptor 491"
"111","ENSMUSG00000075068",-0.501887248378336,6.21097483756856,12.2675057054786,0.000460913917978431,0.0241870065529634,2067,2275,3685,2005,1477,2157,"Olfr140","olfactory receptor 140"
"123","ENSMUSG00000045341",0.686155782641552,4.22311775597477,11.7769229279255,0.000599695318133529,0.0295747044850793,266,615,412,437,707,947,"Olfr167","olfactory receptor 167"
"127","ENSMUSG00000052508",-0.568635093388633,6.26745857824513,11.7077480201519,0.000622403976023715,0.0295747044850793,2181,2410,3833,1591,1980,2054,"Olfr536","olfactory receptor 536"
"128","ENSMUSG00000096365",-0.697649246015626,4.53102946997819,11.6440124308175,0.00064409519749719,0.0295747044850793,707,826,1009,367,435,894,"Olfr1463","olfactory receptor 1463"
"155","ENSMUSG00000094295",-1.99656094653527,-0.690504566482018,10.471944707009,0.0012120106642175,0.0534254300787074,29,33,18,7,11,3,"Olfr819","olfactory receptor 819"
"163","ENSMUSG00000057564",-0.848654372375191,2.18027052756314,10.235248640804,0.00137782038892644,0.0583983872537283,126,237,164,88,96,104,"Olfr1508","olfactory receptor 1508"
"189","ENSMUSG00000108827",-1.88573671487953,-0.71547264789241,9.5002548888987,0.0020544335657227,0.0838513255343117,11,26,43,5,6,9,"Olfr1310","olfactory receptor 1310"
"221","ENSMUSG00000060084",0.788837464324264,2.66891920268056,8.754582610189,0.00308825045526199,0.121544714346383,99,135,186,260,145,354,"Olfr748","olfactory receptor 748"
"244","ENSMUSG00000050504",-1.06044405479533,0.841467798312835,8.18896661239005,0.00421459241627835,0.160154511818577,53,73,88,35,36,31,"Olfr1323","olfactory receptor 1323"
"275","ENSMUSG00000068535",0.492610068139982,5.07672108932687,7.83562283655746,0.00512264995068398,0.188172008188458,339,969,1318,642,1392,1423,"Olfr169","olfactory receptor 169"
"288","ENSMUSG00000108167",0.553344180265357,4.38665509444214,7.69287795232687,0.00554391536683795,0.19707724949211,504,519,503,899,496,970,"Olfr1386","olfactory receptor 1386"
"308","ENSMUSG00000110008",1.0150188041971,1.01239971570983,7.39687647398283,0.00653372305231385,0.225005087614058,22,43,57,86,72,80,"Olfr560","olfactory receptor 560"
"385","ENSMUSG00000075151",-3.48006734912613,-2.76679339632817,6.79993813283255,0.00911610313263866,0.304422595520236,5,6,3,0,1,0,"Olfr1136","olfactory receptor 1136"
"510","ENSMUSG00000107645",-0.53032481219873,3.79462492290152,6.18355384863164,0.0128943040068736,0.417473047099211,261,461,787,206,332,482,"Olfr1380","olfactory receptor 1380"
"519","ENSMUSG00000058188",1.06845565745215,0.402132303531658,6.13420357057857,0.0132591258153107,0.417473047099211,25,21,25,56,27,81,"Olfr746","olfactory receptor 746"
"556","ENSMUSG00000095765",-0.521554210249203,4.18227366461674,5.94738565309507,0.0147391295210699,0.451181131450529,415,719,786,331,594,420,"Olfr741","olfactory receptor 741"
"622","ENSMUSG00000074952",-1.12345391850532,0.0964870142058865,5.62294969546654,0.0177267899302687,0.527970878463679,46,36,43,25,20,14,"Olfr1308","olfactory receptor 1308"
"655","ENSMUSG00000058904",-0.848171063433845,0.760904573547591,5.48728249291137,0.019155294278959,0.555503534089811,58,67,66,35,31,42,"Olfr1413","olfactory receptor 1413"
"683","ENSMUSG00000095156",-0.888186420960288,2.20615798088543,5.40683645974322,0.0200580342872366,0.566768045757301,133,136,257,62,150,83,"Olfr1281","olfactory receptor 1281"
"764","ENSMUSG00000060523",-0.623377355620201,4.1107945557964,5.17230456472174,0.0229497507277558,0.62557807608449,442,546,905,322,542,358,"Olfr726","olfactory receptor 726"
"774","ENSMUSG00000075145",1.08065330545816,0.426455489144562,5.1478866438142,0.0232746834114919,0.62557807608449,16,49,16,57,42,56,"Olfr1155","olfactory receptor 1155"
"823","ENSMUSG00000059488",-0.522893169147248,5.0132672129067,5.01424941851496,0.0251395255959801,0.643569244817502,755,1024,1688,613,1023,733,"Olfr727","olfactory receptor 727"
"825","ENSMUSG00000068431",-0.586507690354242,4.57621748455771,5.01168833500963,0.0251767419637929,0.643569244817502,547,796,1249,446,780,480,"Olfr742","olfactory receptor 742"
"838","ENSMUSG00000045824",-2.77923112959568,-2.30900975475265,4.97635622795907,0.0256960497023322,0.643569244817502,4,7,10,0,4,0,"Olfr574","olfactory receptor 574"
"919","ENSMUSG00000045812",-0.907018956706826,0.697395426166731,4.7896207743901,0.0286317296926511,0.701159247140034,70,46,67,51,32,20,"Olfr984","olfactory receptor 984"
