Run,TN,FN,TP,FP
1, 3, 0, 7, 0
2, 3, 0, 7, 0
3, 3, 1, 6, 0
4, 3, 0, 7, 0
5, 3, 2, 5, 0
6, 3, 1, 6, 0
7, 3, 0, 7, 0
8, 3, 0, 7, 0
9, 3, 1, 6, 0
10, 3, 0, 7, 0
11, 3, 0, 7, 0
12, 3, 1, 6, 0
13, 3, 1, 6, 0
14, 3, 0, 7, 0
15, 3, 1, 6, 0
16, 1, 0, 7, 2
17, 3, 0, 7, 0
18, 3, 1, 6, 0
19, 3, 0, 7, 0
20, 3, 0, 7, 0
21, 3, 0, 7, 0
22, 3, 2, 5, 0
23, 3, 0, 7, 0
24, 3, 0, 7, 0
25, 3, 1, 6, 0
26, 2, 0, 7, 1
27, 3, 0, 7, 0
28, 1, 0, 7, 2
29, 3, 0, 7, 0
30, 3, 1, 6, 0
31, 3, 0, 7, 0
32, 3, 0, 7, 0
33, 1, 0, 7, 2
34, 3, 0, 7, 0
35, 2, 0, 7, 1
36, 3, 1, 6, 0
37, 3, 0, 7, 0
38, 3, 0, 7, 0
39, 3, 1, 6, 0
40, 3, 0, 7, 0
41, 3, 2, 5, 0
42, 3, 1, 6, 0
43, 3, 0, 7, 0
44, 3, 0, 7, 0
45, 1, 0, 7, 2
46, 3, 0, 7, 0
47, 3, 0, 7, 0
48, 3, 1, 6, 0
49, 3, 1, 6, 0
50, 3, 1, 6, 0
