Run,TN,FN,TP,FP
1, 3, 1, 6, 0
2, 3, 0, 7, 0
3, 3, 1, 6, 0
4, 3, 1, 6, 0
5, 3, 2, 5, 0
6, 3, 2, 5, 0
7, 3, 1, 6, 0
8, 3, 1, 6, 0
9, 3, 1, 6, 0
10, 0, 0, 7, 3
11, 3, 0, 7, 0
12, 3, 0, 7, 0
13, 1, 0, 7, 2
14, 1, 0, 7, 2
15, 1, 0, 7, 2
16, 3, 0, 7, 0
17, 3, 0, 7, 0
18, 3, 1, 6, 0
19, 3, 1, 6, 0
20, 3, 1, 6, 0
21, 3, 2, 5, 0
22, 3, 2, 5, 0
23, 3, 1, 6, 0
24, 3, 2, 5, 0
25, 0, 0, 7, 3
26, 3, 2, 5, 0
27, 3, 0, 7, 0
28, 3, 4, 3, 0
29, 1, 0, 7, 2
30, 3, 0, 7, 0
31, 3, 0, 7, 0
32, 3, 0, 7, 0
33, 3, 0, 7, 0
34, 3, 0, 7, 0
35, 3, 0, 7, 0
36, 3, 0, 7, 0
37, 3, 0, 7, 0
38, 3, 1, 6, 0
39, 3, 1, 6, 0
40, 3, 1, 6, 0
41, 3, 2, 5, 0
42, 3, 1, 6, 0
43, 3, 1, 6, 0
44, 3, 0, 7, 0
45, 3, 1, 6, 0
46, 3, 1, 6, 0
47, 3, 2, 5, 0
48, 3, 1, 6, 0
49, 3, 0, 7, 0
50, 3, 1, 6, 0
