Run,TN,FN,TP,FP
1, 1, 0, 23, 4
2, 5, 4, 19, 0
3, 5, 1, 22, 0
4, 5, 2, 21, 0
5, 5, 1, 22, 0
6, 0, 0, 23, 5
7, 5, 0, 23, 0
8, 5, 4, 19, 0
9, 5, 2, 21, 0
10, 5, 2, 21, 0
11, 5, 3, 20, 0
12, 5, 6, 17, 0
13, 5, 4, 19, 0
14, 5, 1, 22, 0
15, 5, 1, 22, 0
16, 5, 2, 21, 0
17, 5, 0, 23, 0
18, 5, 2, 21, 0
19, 5, 1, 22, 0
20, 0, 0, 23, 5
21, 5, 0, 23, 0
22, 5, 3, 20, 0
23, 5, 0, 23, 0
24, 5, 2, 21, 0
25, 5, 2, 21, 0
26, 5, 4, 19, 0
27, 5, 3, 20, 0
28, 2, 0, 23, 3
29, 5, 0, 23, 0
30, 5, 1, 22, 0
31, 5, 5, 18, 0
32, 1, 0, 23, 4
33, 5, 4, 19, 0
34, 5, 3, 20, 0
35, 5, 1, 22, 0
36, 0, 0, 23, 5
37, 5, 3, 20, 0
38, 0, 0, 23, 5
39, 5, 2, 21, 0
40, 5, 1, 22, 0
41, 5, 2, 21, 0
42, 5, 1, 22, 0
43, 5, 2, 21, 0
44, 2, 0, 23, 3
45, 5, 3, 20, 0
46, 5, 2, 21, 0
47, 5, 2, 21, 0
48, 5, 4, 19, 0
49, 5, 2, 21, 0
50, 5, 2, 21, 0
