"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000101750",-2.74922485214178,3.94536096732232,175.132813156524,5.60020290103889e-40,6.17142359694486e-37,396,967,604,57,114,93,"Olfr1392","olfactory receptor 1392"
"11","ENSMUSG00000049797",-3.39528642438996,3.14683057128482,138.632668324139,5.2994124089792e-32,2.91997623734754e-29,212,706,263,23,66,16,"Olfr642","olfactory receptor 642"
"16","ENSMUSG00000075068",-1.72160687690463,6.37747122187588,129.237006825797,6.01851514172015e-30,2.2108012287252e-27,1324,5768,2465,388,1852,570,"Olfr140","olfactory receptor 140"
"76","ENSMUSG00000062037",-2.15061340377846,3.58486592886644,88.7368947705745,4.50975216801344e-21,1.14457868487644e-18,401,614,358,92,97,89,"Olfr285","olfactory receptor 285"
"79","ENSMUSG00000059069",-2.50307822615769,2.87787914651885,88.4577666686424,5.19318822539221e-21,1.14457868487644e-18,234,452,194,35,75,33,"Olfr749","olfactory receptor 749"
"86","ENSMUSG00000051172",-2.82319841125073,2.88434981284278,86.8488564482314,1.17139738991272e-20,2.15146653947303e-18,142,322,501,18,57,49,"Olfr672","olfactory receptor 672"
"94","ENSMUSG00000095917",-1.98654811174024,4.17658312503416,85.0652072265088,2.88685920355055e-20,4.54474120330387e-18,893,583,430,149,129,148,"Olfr740","olfactory receptor 740"
"145","ENSMUSG00000096151",-2.9438151042458,2.35063551699419,73.1017112247047,1.23137713264968e-17,1.69622200022493e-15,188,240,193,16,44,19,"Olfr477","olfactory receptor 477"
"159","ENSMUSG00000101874",-2.31538555325601,2.67405296964526,70.1267580705569,5.56134461179166e-17,6.80955751354934e-15,116,404,268,18,65,65,"Olfr1391","olfactory receptor 1391"
"163","ENSMUSG00000043892",-2.03426019387408,3.21101397076905,69.8197455334246,6.49791483792231e-17,7.16070215139039e-15,201,531,355,40,133,79,"Olfr1018","olfactory receptor 1018"
"200","ENSMUSG00000073897",-1.90343260073961,3.19461051286428,63.4673107537462,1.63050240714481e-15,1.63346695697598e-13,193,440,431,52,106,101,"Olfr17","olfactory receptor 17"
"204","ENSMUSG00000073967",-2.30840415152033,2.43076053836294,63.1135074601333,1.95131375289964e-15,1.7919564630795e-13,150,333,153,24,66,30,"Olfr557","olfactory receptor 557"
"217","ENSMUSG00000068431",-1.45029084309078,4.84427433482737,61.5780593041001,4.25534086748153e-15,3.6072197199728e-13,877,1112,968,206,452,383,"Olfr742","olfactory receptor 742"
