"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000036658",3.02847536276722,3.52705270820746,111.792215682415,3.96790729751575e-26,4.37263384186236e-23,59,120,98,671,697,880,"Olfr11","olfactory receptor 11"
"2","ENSMUSG00000074947",3.01729178264445,3.12494352010821,103.226198028867,2.98986184807743e-24,1.64741387829066e-21,56,77,74,550,632,524,"Olfr1312","olfactory receptor 1312"
"3","ENSMUSG00000036744",2.91912646782021,3.52428408794118,86.1034787660493,1.70762177085377e-20,6.27266397160285e-18,48,112,150,654,760,792,"Olfr701","olfactory receptor 701"
"4","ENSMUSG00000067186",1.82169104504985,4.1065620031754,61.4890574182455,4.45210587363793e-15,1.22655516818725e-12,222,325,276,874,992,1085,"Olfr132","olfactory receptor 132"
"5","ENSMUSG00000109354",2.35369042202025,2.82825689205308,50.4270638506479,1.23676828278012e-12,2.72583729524738e-10,63,99,83,452,583,279,"Olfr706","olfactory receptor 706"
"6","ENSMUSG00000109449",2.19276539191295,2.71906528797094,37.2762589963671,1.02525148396601e-09,1.8830452255509e-07,34,133,112,341,429,387,"Olfr1280","olfactory receptor 1280"
"9","ENSMUSG00000109058",2.00759284654633,2.75492934626524,29.4086504721545,5.8615416271293e-08,9.2277412472807e-06,57,123,112,462,476,253,"Olfr705","olfactory receptor 705"
"10","ENSMUSG00000059864",2.16716858259399,2.37869496855204,27.6691388110075,1.43940852039399e-07,1.98278523684272e-05,42,102,59,310,178,443,"Olfr1393","olfactory receptor 1393"
"11","ENSMUSG00000062497",1.68945565413204,3.60590145807554,26.9202927563276,2.12021032551525e-07,2.59607975413089e-05,90,327,254,617,846,536,"Olfr1411","olfactory receptor 1411"
"13","ENSMUSG00000068535",1.4957282992916,4.68338193623952,23.4428571476199,1.28679611519499e-06,0.000141804931894488,264,515,756,1582,1237,1283,"Olfr169","olfactory receptor 169"
"20","ENSMUSG00000068806",1.42054611540212,2.22950828964041,20.9082386052126,4.81817883302399e-06,0.000482693915817494,60,109,108,215,290,235,"Olfr1259","olfactory receptor 1259"
"21","ENSMUSG00000090874",1.41354166660093,2.43211701921088,20.3925659874213,6.30743418490864e-06,0.000579232705980777,76,139,107,312,275,270,"Olfr733","olfactory receptor 733"
"25","ENSMUSG00000043605",1.76306608793959,1.38497191192068,19.702361654251,9.04894669175969e-06,0.000767072250332245,25,41,64,150,170,112,"Olfr13","olfactory receptor 13"
"26","ENSMUSG00000060480",1.32609871788311,3.51823230189943,19.2248999357529,1.16187970629943e-05,0.000914565311672837,148,266,309,637,644,504,"Olfr171","olfactory receptor 171"
"28","ENSMUSG00000075378",2.16263548358559,2.32933704118877,18.2777959374138,1.90919588381571e-05,0.00140262257597661,25,90,88,397,359,146,"Olfr361","olfactory receptor 361"
"35","ENSMUSG00000044205",1.22116870090792,2.20821821199592,16.1210540914463,5.94197770920902e-05,0.00409253714721771,81,123,94,243,279,187,"Olfr983","olfactory receptor 983"
