"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"14","ENSMUSG00000108919",1.80259443347326,2.39820446530882,30.5077281117476,3.32539184915992e-08,3.66458181777423e-05,52,95,102,212,400,249,"Olfr1295","olfactory receptor 1295"
"19","ENSMUSG00000059279",1.43421749811625,3.64786246941259,26.2726171781089,2.96462438443875e-07,0.000163350803582575,92,360,320,410,894,577,"Olfr224","olfactory receptor 224"
"22","ENSMUSG00000050158",1.70810624958738,1.1049048072611,23.201259146801,1.45901767053727e-06,0.00053594582431069,21,47,40,93,144,104,"Olfr165","olfactory receptor 165"
"25","ENSMUSG00000056959",1.29506296161691,2.93038541174701,21.7516967036772,3.10315304270759e-06,0.000854918663265941,67,268,157,213,553,354,"Olfr315","olfactory receptor 315"
"29","ENSMUSG00000040328",1.39130398313908,3.00977766468949,19.823752132979,8.49208380977641e-06,0.00187165527167472,81,253,176,395,431,390,"Olfr56","olfactory receptor 56"
"34","ENSMUSG00000050763",1.51504388675045,4.24750155054975,18.7159396728298,1.51709003527523e-05,0.00278638869812217,157,484,439,911,1509,546,"Olfr1395","olfactory receptor 1395"
"74","ENSMUSG00000075113",1.35612078830058,0.920358956456759,12.0620153496214,0.000514596306160847,0.0810121613413219,19,60,39,102,97,81,"Olfr1209","olfactory receptor 1209"
"248","ENSMUSG00000062272",1.8663805025492,-1.40709437463941,7.61583198108627,0.00578580590686333,0.796994763670424,3,4,8,11,21,22,"Olfr1129","olfactory receptor 1129"
"295","ENSMUSG00000089892",1.28875406259436,-0.169749555143702,7.18881007883169,0.00733596127938254,0.898247703319951,9,32,15,35,50,39,"Olfr1199","olfactory receptor 1199"
"386","ENSMUSG00000052417",0.88977810945628,2.50443469117671,6.55639648401904,0.0104507788037217,1,67,171,212,230,288,236,"Olfr720","olfactory receptor 720"
"472","ENSMUSG00000068818",1.76788452524685,-0.949278063526557,6.10467277323902,0.0134824912144673,1,1,22,6,15,23,33,"Olfr1132","olfactory receptor 1132"
"484","ENSMUSG00000111689",1.38028374607813,-0.455883562390401,6.04111224112484,0.0139764761698522,1,6,24,13,32,26,45,"Olfr1082","olfactory receptor 1082"
"524","ENSMUSG00000094539",0.893132324800593,0.877535386519298,5.89820717741773,0.0151563046394022,1,23,77,43,73,96,73,"Olfr191","olfactory receptor 191"
"529","ENSMUSG00000075139",1.10227629608748,0.035341914877374,5.85702174723575,0.0155150252349005,1,14,13,41,30,35,74,"Olfr1162","olfactory receptor 1162"
"534","ENSMUSG00000095917",-0.53510621374958,5.06674256423848,5.8418887826961,0.0156490190576644,1,1437,1475,1331,1176,1162,663,"Olfr740","olfactory receptor 740"
"564","ENSMUSG00000073900",0.866664312071501,0.870179956654779,5.7074171123272,0.0168933773836126,1,21,55,65,61,81,97,"Olfr704","olfactory receptor 704"
"597","ENSMUSG00000049372",1.11589287675092,0.972770841919896,5.57995086244937,0.0181672323796745,1,13,46,90,89,83,88,"Olfr1183","olfactory receptor 1183"
"684","ENSMUSG00000051414",1.64205517407959,-1.508651317709,5.33493359426407,0.0209021364273899,1,3,4,9,19,15,14,"Olfr829","olfactory receptor 829"
"699","ENSMUSG00000107417",0.655264017054609,2.68048814445297,5.2935864638912,0.021404095839569,1,201,133,198,283,208,347,"Olfr1383","olfactory receptor 1383"
"744","ENSMUSG00000075061",1.48348028775787,-1.45274446371496,5.11895692945894,0.0236658376597063,1,3,8,7,15,14,20,"Olfr1272","olfactory receptor 1272"
"806","ENSMUSG00000073998",1.37363010444478,-1.06663251174739,4.97124725319691,0.0257720565013787,1,9,16,2,30,28,7,"Olfr520","olfactory receptor 520"
"864","ENSMUSG00000068535",0.492033337940819,4.09048828651295,4.78932691356031,0.0286366149430994,1,264,515,756,415,743,915,"Olfr169","olfactory receptor 169"
"1000","ENSMUSG00000044994",0.6288435985678,2.17113895526894,4.44936151712152,0.0349142982096156,1,75,186,128,150,207,212,"Olfr1426","olfactory receptor 1426"
"1007","ENSMUSG00000081649",0.659094821533484,1.8356511087028,4.4403848378079,0.035098335032152,1,55,150,98,106,162,185,"Olfr213","olfactory receptor 213"
"1038","ENSMUSG00000067513",3.52401941394817,-3.75869132114988,4.37373945127371,0.036496815805424,1,0,0,0,1,1,2,"Olfr1436","olfactory receptor 1436"
"1063","ENSMUSG00000109487",0.893239455083479,0.224694334163951,4.34129998354846,0.0371985108647362,1,24,35,24,61,67,30,"Olfr1298","olfactory receptor 1298"
"1117","ENSMUSG00000075220",3.77597060158365,-3.66811246163296,4.25259931426805,0.0391903029953007,1,0,0,0,0,4,1,"Olfr993","olfactory receptor 993"
"1120","ENSMUSG00000066749",0.76410820749279,0.770176623381455,4.24699578024547,0.0393198288237466,1,22,72,45,57,76,84,"Olfr877","olfactory receptor 877"
"1137","ENSMUSG00000071510",-2.62512860472844,-2.71689004523353,4.21955567599838,0.0399606236340609,1,1,11,6,0,0,3,"Olfr172","olfactory receptor 172"
"1178","ENSMUSG00000051424",0.812838307152598,0.708785857350638,4.17395188337566,0.0410499456300317,1,23,55,50,81,65,68,"Olfr1184","olfactory receptor 1184"
"1264","ENSMUSG00000056853",-1.36260360606735,-1.6927675915171,4.04964772285159,0.0441805635810917,1,10,16,14,5,5,5,"Olfr765","olfactory receptor 765"
"1283","ENSMUSG00000056883",0.568691936892771,2.83732026392022,4.01119991849657,0.0451989722306111,1,150,332,163,283,319,291,"Olfr533","olfactory receptor 533"
"1293","ENSMUSG00000064084",1.11202249296321,0.106161117326672,4.00706300224695,0.0453100149122748,1,7,38,31,62,39,45,"Olfr1202","olfactory receptor 1202"
"1381","ENSMUSG00000049864",0.696709518074014,1.46649648270882,3.90924067445949,0.0480212897033656,1,57,77,90,134,134,92,"Olfr250","olfactory receptor 250"
"1395","ENSMUSG00000071185",0.648090345171136,1.48996218101258,3.90176346148681,0.0482354519007179,1,40,111,85,84,166,104,"Olfr1357","olfactory receptor 1357"
"1405","ENSMUSG00000050818",0.673267547009193,2.26593968083172,3.88411456468105,0.0487449590422007,1,58,214,152,188,234,180,"Olfr330","olfactory receptor 330"
"1417","ENSMUSG00000049168",0.382252875925972,5.08324114807978,3.88308662271461,0.0487748093103987,1,725,1517,1014,1228,1526,1299,"Olfr449","olfactory receptor 449"
