"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"10","ENSMUSG00000101480",2.8851183845496,0.438839339796838,32.7671162911931,1.03887488185104e-08,1.14484011979985e-05,3,10,11,22,98,67,"Olfr1220","olfactory receptor 1220"
"11","ENSMUSG00000050030",2.07812590114939,2.65309302459127,30.6005344799819,3.1700640451717e-08,1.74670528888961e-05,44,95,31,73,515,236,"Olfr728","olfactory receptor 728"
"16","ENSMUSG00000050818",2.84286394376884,3.7675507360255,26.0189688282176,3.3807926283308e-07,0.000101257873245468,76,64,58,90,1085,832,"Olfr330","olfactory receptor 330"
"18","ENSMUSG00000056959",2.09085757009513,3.25660899078104,25.4258003788193,4.59728395781193e-07,0.000101257873245468,73,91,75,89,659,567,"Olfr315","olfactory receptor 315"
"20","ENSMUSG00000059279",2.59648046645746,4.24011261880564,25.1290168840221,5.36199220602392e-07,0.000101257873245468,79,104,112,85,1317,1398,"Olfr224","olfactory receptor 224"
"22","ENSMUSG00000049758",1.90736028346818,2.11665881125485,25.0754137826606,5.51313284458081e-07,0.000101257873245468,28,72,24,42,370,142,"Olfr1318","olfactory receptor 1318"
"24","ENSMUSG00000047511",2.04921211829962,3.69414208181727,24.4473551453762,7.63682783303642e-07,0.000120225489600088,100,135,98,119,698,1001,"Olfr1396","olfactory receptor 1396"
"31","ENSMUSG00000108919",1.5864497457423,2.75483036411458,20.5988399481965,5.66304189063338e-06,0.000780084020434748,47,103,85,60,361,447,"Olfr1295","olfactory receptor 1295"
"37","ENSMUSG00000064252",2.19818925871777,4.05360871575448,19.9591686324264,7.91136686637757e-06,0.000968702920749787,58,120,105,58,1635,618,"Olfr329","olfactory receptor 329"
"40","ENSMUSG00000060765",2.41913001903279,2.75352135159371,19.6803080226577,9.15398216888543e-06,0.00100876883501117,38,34,40,48,668,228,"Olfr325","olfactory receptor 325"
"43","ENSMUSG00000059504",1.85804305935632,2.3337947049516,19.0401290418543,1.27998155924122e-05,0.00128230879843984,15,62,56,39,484,120,"Olfr314","olfactory receptor 314"
"46","ENSMUSG00000057654",2.00137258140377,3.75698918065759,18.7473583754199,1.4922993013723e-05,0.00137042819176023,90,102,103,106,1303,416,"Olfr328","olfactory receptor 328"
