"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000081649",3.39799178869668,4.34905679143633,334.673016896312,9.22612549719454e-75,1.01671902979084e-71,53,147,162,712,1238,1374,"Olfr213","olfactory receptor 213"
"3","ENSMUSG00000046431",2.50649274619686,4.24259910283325,156.779713498519,5.7185464487521e-36,3.15091909326241e-33,101,211,270,798,981,1071,"Olfr518","olfactory receptor 518"
"4","ENSMUSG00000070375",2.79720162899524,3.36233618437312,142.074415825433,9.36720263797263e-33,3.44088576901528e-30,53,83,126,460,543,592,"Olfr406","olfactory receptor 406"
"5","ENSMUSG00000094182",3.0776638069867,2.66936000491723,132.194446070603,1.3565908437634e-30,3.73740777456817e-28,35,44,50,248,280,500,"Olfr937","olfactory receptor 937"
"6","ENSMUSG00000095377",2.74236353966287,2.66958156215264,118.649484923427,1.24971972295709e-27,2.70439617020786e-25,34,59,70,230,376,378,"Olfr91","olfactory receptor 91"
"7","ENSMUSG00000075085",2.49707799475475,4.02789579585043,118.324171944055,1.47244800555782e-27,2.70439617020786e-25,64,202,259,576,935,925,"Olfr1242","olfactory receptor 1242"
"8","ENSMUSG00000070374",2.1204258600178,3.73567521441218,115.078132360686,7.56570645552573e-27,1.19105835914134e-24,125,167,195,607,714,592,"Olfr59","olfactory receptor 59"
"9","ENSMUSG00000043226",2.84324391792306,2.973279452183,104.074556652108,1.94844350105422e-24,2.68398092270219e-22,31,65,98,338,280,626,"Olfr1009","olfactory receptor 1009"
"10","ENSMUSG00000100016",3.0253418234841,2.07474311478064,96.439222368809,9.20258907648846e-23,1.12680590692114e-20,15,36,42,181,215,269,"Olfr1215","olfactory receptor 1215"
"12","ENSMUSG00000062434",2.11653131391991,3.30657220142156,82.3374491753251,1.14727671802589e-19,1.26429894326453e-17,91,78,201,519,252,679,"Olfr516","olfactory receptor 516"
"13","ENSMUSG00000069390",2.41881079745631,2.83641447814428,77.6634245039586,1.22183046175187e-18,1.22405197168233e-16,32,80,126,265,347,451,"Olfr707","olfactory receptor 707"
"14","ENSMUSG00000056600",2.03498154134064,3.34157849849808,77.3468478927282,1.43423430961884e-18,1.3171051743333e-16,124,115,140,340,611,501,"Olfr90","olfactory receptor 90"
"15","ENSMUSG00000075084",2.87322153738826,3.08299356882541,73.1388125795262,1.20844606704067e-17,1.0243904352914e-15,19,106,94,320,622,349,"Olfr1243","olfactory receptor 1243"
"17","ENSMUSG00000061342",2.54455569849524,1.4876175104902,66.0620481508433,4.3694874157091e-16,3.43941080865102e-14,18,24,39,118,147,156,"Olfr1168","olfactory receptor 1168"
"18","ENSMUSG00000111715",2.37766719531244,2.42552397598384,64.9681505254833,7.61184667726017e-16,5.43299868858789e-14,36,51,87,222,314,256,"Olfr1246","olfactory receptor 1246"
"19","ENSMUSG00000070855",2.35122221884182,1.75711571147035,64.8978770722177,7.88820136274104e-16,5.43299868858789e-14,23,55,31,129,211,153,"Olfr1116","olfactory receptor 1116"
"20","ENSMUSG00000060503",1.62155876764106,3.55925863339941,62.0848132006298,3.28978752171309e-15,2.13255638172225e-13,112,207,265,427,534,612,"Olfr715","olfactory receptor 715"
"21","ENSMUSG00000045581",2.23102365722226,2.04992123571083,61.589282950671,4.23115355714645e-15,2.59040623331966e-13,17,49,75,63,259,291,"Olfr710","olfactory receptor 710"
"24","ENSMUSG00000075163",2.276173792136,1.55215492043833,57.1197988360295,4.10056716433064e-14,2.37832895531177e-12,22,35,39,103,188,136,"Olfr1107","olfactory receptor 1107"
"25","ENSMUSG00000050813",1.89741092947029,5.46419714521141,56.5338737934159,5.52385480536807e-14,3.04364399775781e-12,290,922,744,1720,1598,2849,"Olfr332","olfactory receptor 332"
"29","ENSMUSG00000096151",1.38604172067191,4.62616268159375,48.8217344357701,2.80316199434245e-12,1.47099262750732e-10,235,529,613,795,1365,965,"Olfr477","olfactory receptor 477"
"31","ENSMUSG00000096747",3.01689282984664,0.610529330396415,46.6216848877708,8.61021535739093e-12,4.31293514720218e-10,6,20,7,46,87,103,"Olfr823","olfactory receptor 823"
"33","ENSMUSG00000045202",1.8627741794634,2.74559278604245,45.768889181968,1.33060072259905e-11,6.37531302740936e-10,45,128,124,257,338,323,"Olfr123","olfactory receptor 123"
"34","ENSMUSG00000095804",2.2031517538301,1.35400043674242,45.5811307872545,1.46445565752065e-11,6.72429222744898e-10,17,30,41,80,167,121,"Olfr824","olfactory receptor 824"
"35","ENSMUSG00000068818",2.66271398223216,1.11219655411503,45.192002809117,1.7863305201173e-11,7.87414493267706e-10,5,48,13,60,162,93,"Olfr1132","olfactory receptor 1132"
"37","ENSMUSG00000089717",3.32528186686269,0.0681687546265006,42.8239896953141,5.98931528793519e-11,2.5385482489633e-09,4,7,6,69,34,61,"Olfr275","olfactory receptor 275"
"39","ENSMUSG00000061616",1.30918352508851,3.87569882033854,41.5895422985968,1.12593943871437e-10,4.59550096838235e-09,160,348,336,486,531,848,"Olfr12","olfactory receptor 12"
"40","ENSMUSG00000059411",2.37688550126841,1.08941288299148,41.0157386487079,1.51008265346218e-10,5.94325387184044e-09,23,11,35,101,101,108,"Olfr434","olfactory receptor 434"
"41","ENSMUSG00000073896",1.41490419731303,4.52021664192143,38.7445560108626,4.83055598009593e-10,1.83561127243645e-08,271,461,501,1162,897,880,"Olfr716","olfactory receptor 716"
"44","ENSMUSG00000053251",1.33283046539324,3.86324093340008,36.7761081549034,1.32504179901127e-09,4.86732020836806e-08,143,374,304,527,810,474,"Olfr212","olfactory receptor 212"
"45","ENSMUSG00000094295",1.99099507469427,1.20389438605941,36.6603810830888,1.40608238709889e-09,4.99839609865476e-08,29,34,25,126,86,110,"Olfr819","olfactory receptor 819"
"48","ENSMUSG00000049041",1.34929974649358,3.27082962401148,35.2500780512755,2.89970475009372e-09,9.98585823313525e-08,91,252,209,298,444,471,"Olfr398","olfactory receptor 398"
"51","ENSMUSG00000083947",1.69965677419255,3.45094068338512,34.4524777778339,4.36786395440334e-09,1.45860184174318e-07,100,163,252,610,359,509,"Olfr122","olfactory receptor 122"
"53","ENSMUSG00000051258",1.49280095655703,3.62746344978612,33.2615032908778,8.05617799888158e-09,2.61114945728456e-07,142,183,306,651,302,691,"Olfr1362","olfactory receptor 1362"
"54","ENSMUSG00000070856",1.79099650710246,2.07418735158992,33.1415494648965,8.56879674875624e-09,2.69794686203696e-07,27,60,104,104,265,203,"Olfr1115","olfactory receptor 1115"
"61","ENSMUSG00000070852",2.95086169128765,0.149075897709951,30.6795998229891,3.04348099958006e-08,9.31643350427007e-07,3,7,14,42,85,40,"Olfr1121","olfactory receptor 1121"
"64","ENSMUSG00000067186",0.852283568710053,3.90566856957648,28.5041090054539,9.34998482685907e-08,2.7847792646483e-06,320,328,394,594,506,614,"Olfr132","olfactory receptor 132"
"71","ENSMUSG00000094539",1.76849631972985,2.06615536362447,26.6511752640089,2.43702507870556e-07,7.06737272824612e-06,29,72,93,177,220,163,"Olfr191","olfactory receptor 191"
"72","ENSMUSG00000075159",1.0401339957089,3.85130806488399,26.4527415605107,2.70064911486489e-07,7.63106493482336e-06,204,378,354,580,561,563,"Olfr1110","olfactory receptor 1110"
"77","ENSMUSG00000091601",1.43719664045935,3.94694696862263,24.4998998411897,7.4313700193119e-07,2.04734244032043e-05,91,532,289,513,829,538,"Olfr93","olfactory receptor 93"
"80","ENSMUSG00000048197",4.11868834508391,-0.945477493178257,24.1324578219166,8.99316492788972e-07,2.41718725622792e-05,0,6,0,7,42,29,"Olfr1153","olfactory receptor 1153"
"81","ENSMUSG00000073898",1.65026497128871,2.00082720382281,24.0164115175754,9.55180561353878e-07,2.50621185383803e-05,41,59,85,230,104,207,"Olfr713","olfactory receptor 713"
"96","ENSMUSG00000062497",1.14518170305484,3.48526303150764,21.7216721039182,3.15210094407668e-06,8.07817497761047e-05,136,277,285,447,367,548,"Olfr1411","olfactory receptor 1411"
"118","ENSMUSG00000069430",1.13505343303284,2.01630407559802,18.875598708824,1.395260480532e-05,0.000349449329442333,68,65,116,130,159,202,"Olfr9","olfactory receptor 9"
"122","ENSMUSG00000049674",1.84279684553258,0.318557975166883,18.6488388925318,1.57142943855137e-05,0.000384825609174135,17,10,25,68,50,48,"Olfr714","olfactory receptor 714"
"142","ENSMUSG00000075068",-0.390105512107036,6.86037434846495,16.5715391015757,4.68488373748056e-05,0.00112233519102252,2180,3705,7469,1627,2552,4909,"Olfr140","olfactory receptor 140"
"143","ENSMUSG00000044286",1.6312719577448,1.72075901597717,16.4551144880199,4.98156058119883e-05,0.00115485110020498,39,47,54,174,49,238,"Olfr221","olfactory receptor 221"
"144","ENSMUSG00000037924",0.859481089890334,3.07276935903012,16.4366928773751,5.030204429205e-05,0.00115485110020498,146,201,241,296,312,350,"Olfr16","olfactory receptor 16"
"180","ENSMUSG00000049561",2.05369226687306,0.0641010275809628,14.4619827104711,0.000143017082409535,0.00321642499623077,5,22,11,28,32,85,"Olfr95","olfactory receptor 95"
"184","ENSMUSG00000110947",1.27441261353676,0.835147442081719,14.370351295933,0.000150147951534585,0.00330926085182225,28,49,20,50,116,51,"Olfr1333","olfactory receptor 1333"
"190","ENSMUSG00000095910",1.49429585791421,0.514797547559185,14.2171625848757,0.000162878183489985,0.00351944623933262,12,37,24,56,70,52,"Olfr469","olfactory receptor 469"
