,ensembl_gene_id,logFC,logCPM,LR,PValue,FDR,No1,No2,No3,ST1,ST2,ST3,symbol,name
3,ENSMUSG00000075190,3.379412999,2.286519607,97.04876553,6.76E-23,7.45E-20,24,33,22,169,438,273,Olfr1054,olfactory receptor 1054
4,ENSMUSG00000090894,1.77977602,4.930708836,91.52298557,1.10E-21,6.08E-19,432,486,424,1267,1774,1694,Olfr110,olfactory receptor 110
5,ENSMUSG00000064223,2.567042534,2.764762661,86.38310717,1.48E-20,5.45E-18,44,73,76,302,452,398,Olfr694,olfactory receptor 694
7,ENSMUSG00000053287,2.002670451,2.837067677,57.00933136,4.34E-14,1.19E-11,100,122,62,374,471,296,Olfr1013,olfactory receptor 1013
8,ENSMUSG00000059087,2.030671318,2.630068904,53.39257836,2.73E-13,6.02E-11,78,79,79,280,349,360,Olfr698,olfactory receptor 698
10,ENSMUSG00000109058,1.78665718,3.161753566,46.44033237,9.45E-12,1.73E-09,163,133,102,442,528,415,Olfr705,olfactory receptor 705
12,ENSMUSG00000049362,2.080072189,1.725713013,35.31371836,2.81E-09,4.42E-07,22,47,55,143,248,134,Olfr173,olfactory receptor 173
14,ENSMUSG00000075209,1.978521583,0.95896179,34.27793037,4.78E-09,6.58E-07,19,34,23,85,118,98,Olfr1016,olfactory receptor 1016
15,ENSMUSG00000063137,1.928529391,1.783762168,31.82462616,1.69E-08,2.07E-06,31,82,35,165,173,193,Olfr177,olfactory receptor 177
21,ENSMUSG00000033850,1.518566345,1.978807127,22.81458781,1.78E-06,0.000196604,50,71,69,136,301,147,Olfr1015,olfactory receptor 1015
46,ENSMUSG00000090675,1.107315726,1.876621778,15.03607094,0.000105476,0.010566758,49,89,88,115,208,170,Olfr111,olfactory receptor 111
51,ENSMUSG00000051591,1.402041747,0.688500301,13.8563782,0.000197326,0.01812109,29,36,19,55,97,74,Olfr697,olfactory receptor 697
69,ENSMUSG00000070377,0.726897369,3.591293636,12.06191317,0.000514625,0.043624324,279,309,304,477,511,516,Olfr43,olfactory receptor 43
86,ENSMUSG00000075211,1.286303488,1.112035072,11.08181172,0.000871786,0.068622,61,30,31,81,85,131,Olfr1006,olfactory receptor 1006
92,ENSMUSG00000052417,-1.262180398,2.284618848,10.66462426,0.00109204,0.080228563,142,202,327,86,135,59,Olfr720,olfactory receptor 720
109,ENSMUSG00000060759,5.287928874,-2.884621856,9.849593877,0.001698693,0.11699745,0,0,0,0,6,9,Olfr503,olfactory receptor 503
121,ENSMUSG00000094426,1.126385435,0.803903273,9.375024473,0.002199618,0.142586982,19,39,50,79,70,80,Olfr478,olfactory receptor 478
135,ENSMUSG00000058014,1.068576567,1.103309699,8.999838296,0.002700035,0.16530214,39,70,29,89,87,105,Olfr502,olfactory receptor 502
230,ENSMUSG00000059503,3.648720898,-2.781689143,7.354243017,0.006690467,0.388047103,0,0,1,1,6,9,Olfr248,olfactory receptor 248
272,ENSMUSG00000075210,0.776068471,1.64311532,6.907803689,0.008582034,0.4728701,69,79,73,104,159,127,Olfr1012,olfactory receptor 1012
316,ENSMUSG00000071764,-0.83457479,1.265796184,6.482579331,0.010893679,0.549285594,75,100,114,30,56,89,Olfr1320,olfactory receptor 1320
318,ENSMUSG00000056184,1.421801315,-0.501042611,6.47085537,0.010965774,0.549285594,5,18,13,22,30,41,Olfr283,olfactory receptor 283
365,ENSMUSG00000043529,2.295453677,-2.025150659,6.183716105,0.012893122,0.617748701,1,4,1,3,14,14,Olfr266,olfactory receptor 266
408,ENSMUSG00000057890,1.907422192,-1.215158566,5.928133628,0.014901016,0.637705986,0,9,9,13,27,16,Olfr1375,olfactory receptor 1375
410,ENSMUSG00000032987,-0.583104118,3.395937565,5.918541888,0.014982353,0.637705986,425,501,299,252,437,180,Olfr281,olfactory receptor 281
413,ENSMUSG00000066122,-0.761436579,1.460980325,5.911109276,0.015045695,0.637705986,137,99,98,82,77,45,Olfr45,olfactory receptor 45
448,ENSMUSG00000063615,0.762282847,1.090675258,5.753350173,0.016457243,0.671699324,27,84,45,53,116,88,Olfr64,olfactory receptor 64
471,ENSMUSG00000068815,-1.171505028,-0.11500927,5.622428276,0.017732064,0.697883389,34,47,35,10,31,15,Olfr1143,olfactory receptor 1143
535,ENSMUSG00000073979,-4.104608171,-3.396122926,5.334669785,0.0209053,0.794401407,0,5,2,0,0,0,Olfr547,olfactory receptor 547
578,ENSMUSG00000096679,1.785219879,-1.536384317,5.08433221,0.024142973,0.872931585,1,5,7,17,9,18,Olfr498,olfactory receptor 498
587,ENSMUSG00000094493,-1.881755458,-1.785356955,5.054917463,0.024556152,0.872931585,10,16,10,4,1,5,Olfr700,olfactory receptor 700
638,ENSMUSG00000094464,0.689915492,1.302962906,4.845040815,0.027725736,0.94037074,40,79,63,82,140,77,Olfr339,olfactory receptor 339
652,ENSMUSG00000075092,0.631587634,1.621453898,4.818249947,0.028159922,0.94037074,61,100,75,109,129,129,Olfr1232,olfactory receptor 1232
675,ENSMUSG00000094182,1.353230762,-0.523382119,4.744371942,0.029394281,0.952720533,7,25,6,17,32,40,Olfr937,olfactory receptor 937
748,ENSMUSG00000109806,3.78397512,-3.554741162,4.579350087,0.032359486,0.989671789,0,0,0,0,3,2,Olfr663,olfactory receptor 663
792,ENSMUSG00000110970,0.728674521,1.2653194,4.52571552,0.033389111,0.989671789,54,60,54,58,139,101,Olfr156,olfactory receptor 156
795,ENSMUSG00000073927,-0.991406618,0.562028289,4.50871634,0.03372254,0.989671789,50,56,70,9,50,45,Olfr652,olfactory receptor 652
825,ENSMUSG00000054406,-0.705397735,1.271410328,4.460108094,0.034695302,0.989671789,98,70,120,47,65,66,Olfr411,olfactory receptor 411
836,ENSMUSG00000075088,1.054631368,-0.338426051,4.443971447,0.035024682,0.989671789,12,16,19,30,38,31,Olfr1239,olfactory receptor 1239
855,ENSMUSG00000045514,1.161349451,-0.110870053,4.388658896,0.036178761,0.996724854,7,18,32,41,43,32,Olfr460,olfactory receptor 460
919,ENSMUSG00000096151,-0.442421031,4.482115208,4.310361677,0.037880907,1,1065,759,723,587,577,727,Olfr477,olfactory receptor 477
933,ENSMUSG00000075196,0.926381439,0.21126342,4.26342957,0.038941228,1,17,27,28,36,79,32,Olfr1047,olfactory receptor 1047
1028,ENSMUSG00000044293,-0.600230806,1.388855002,4.147449303,0.04169729,1,80,155,74,61,95,48,Olfr794,olfactory receptor 794
1056,ENSMUSG00000096714,1.185478499,-0.739998213,4.117469496,0.042442518,1,14,14,5,23,36,16,Olfr699,olfactory receptor 699
1082,ENSMUSG00000075174,0.772949618,0.772245961,4.050861319,0.044148814,1,33,38,43,35,104,74,Olfr1087,olfactory receptor 1087
1137,ENSMUSG00000070460,-0.623507007,1.176557407,3.939192,0.04717343,1,75,89,100,56,66,52,Olfr291,olfactory receptor 291
1144,ENSMUSG00000111456,1.9149116,-2.033042632,3.918874745,0.047746829,1,1,9,0,8,16,3,Olfr1245,olfactory receptor 1245
1158,ENSMUSG00000050853,0.656168169,0.947525603,3.886297967,0.048681619,1,20,43,84,40,72,110,Olfr958,olfactory receptor 958
1166,ENSMUSG00000045559,0.853666401,0.161108786,3.869853629,0.049160809,1,20,25,28,35,65,38,Olfr827,olfactory receptor 827
1195,ENSMUSG00000045150,-1.766819294,-1.603310414,3.810765637,0.050924168,1,7,22,12,9,2,2,Olfr1161,olfactory receptor 1161
1239,ENSMUSG00000062186,-2.0518455,-2.02672005,3.752467853,0.052729605,1,10,11,6,0,9,1,Olfr395,olfactory receptor 395
1270,ENSMUSG00000064333,3.412552892,-3.642720486,3.711802102,0.054029028,1,0,0,0,0,4,0,Olfr926,olfactory receptor 926
1307,ENSMUSG00000095586,2.89971799,-3.122427245,3.700573684,0.054393763,1,1,0,0,5,5,0,Olfr1287,olfactory receptor 1287
1403,ENSMUSG00000095377,0.643382162,0.823495035,3.580509341,0.058461224,1,27,66,41,47,76,84,Olfr91,olfactory receptor 91
1439,ENSMUSG00000046300,-0.466840735,2.923976607,3.542427851,0.059817844,1,347,345,182,229,262,146,Olfr1412,olfactory receptor 1412
1471,ENSMUSG00000064110,1.149914755,-0.221306331,3.523246169,0.060513816,1,7,9,40,22,46,34,Olfr963,olfactory receptor 963
1527,ENSMUSG00000043226,-0.581270389,1.097634619,3.479722396,0.062125161,1,62,94,91,46,66,55,Olfr1009,olfactory receptor 1009
1618,ENSMUSG00000096554,3.150739679,-3.735825807,3.435118011,0.063824025,1,0,0,0,0,2,1,Olfr1282,olfactory receptor 1282
1686,ENSMUSG00000075144,-3.555063669,-3.475696247,3.390048198,0.065591032,1,0,6,0,0,0,0,Olfr1156,olfactory receptor 1156
1743,ENSMUSG00000058084,0.960510349,-0.384959238,3.376029585,0.066151235,1,7,25,16,21,50,22,Olfr825,olfactory receptor 825
1789,ENSMUSG00000049149,-0.424454839,4.515704614,3.337799146,0.067705113,1,1283,737,621,626,706,580,Olfr1258,olfactory receptor 1258
