"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000059043",2.05312879841603,6.29059506285755,55.6290284112603,8.75216494141698e-14,9.64488576544151e-11,656,859,843,5279,3547,4404,"Olfr15","olfactory receptor 15"
"2","ENSMUSG00000062497",2.19970606040281,3.98370478736894,44.7965413782778,2.18608494347023e-11,1.2045328038521e-08,128,192,126,889,772,1065,"Olfr1411","olfactory receptor 1411"
"4","ENSMUSG00000067186",1.56475117667039,4.19526708652405,34.1759043126414,5.03485318114744e-09,1.84946940187483e-06,312,185,235,1076,908,875,"Olfr132","olfactory receptor 132"
"10","ENSMUSG00000061616",1.53085131026803,4.39650552624196,25.6726315801428,4.04523448519931e-07,0.000111446210067241,205,356,302,1247,1090,961,"Olfr12","olfactory receptor 12"
"11","ENSMUSG00000075064",-4.69497011899104,-0.0124590658729029,23.7804436305293,1.07973951737345e-06,0.000237974589629108,41,54,47,0,0,16,"Olfr1506","olfactory receptor 1506"
"18","ENSMUSG00000094539",1.83158497935121,2.02625499783694,17.7419581478564,2.52984645092234e-05,0.00464648464819403,31,72,39,225,168,257,"Olfr191","olfactory receptor 191"
"68","ENSMUSG00000094612",1.20918169386561,3.04645456659282,10.2305234483148,0.00138135456070025,0.217464675127382,107,139,125,414,232,568,"Olfr491","olfactory receptor 491"
"132","ENSMUSG00000063777",2.10638038308866,-0.976003854704339,8.10595385767995,0.00441200984528808,0.607754356188433,4,6,2,22,15,37,"Olfr1469","olfactory receptor 1469"
"160","ENSMUSG00000060523",0.750314691692767,4.66767105322351,7.61811010495371,0.00577850138098404,0.707545391316046,372,585,559,1042,1045,1291,"Olfr726","olfactory receptor 726"
"191","ENSMUSG00000095901",1.11385969904608,0.816759109615481,7.10571056110232,0.00768387593698326,0.846763128255555,27,40,19,80,82,81,"Olfr538","olfactory receptor 538"
"231","ENSMUSG00000045030",0.748499574946677,4.1339177153077,6.62873769006896,0.0100346351568368,1,260,336,435,811,590,915,"Olfr1443","olfactory receptor 1443"
"295","ENSMUSG00000096167",0.878715379281739,2.17409515641573,6.09838764794633,0.0135305280536774,1,77,89,73,280,194,139,"Olfr887","olfactory receptor 887"
"395","ENSMUSG00000096695",0.952910655550085,1.1871237669816,5.41035285441869,0.0200176693634018,1,32,50,36,116,81,109,"Olfr196","olfactory receptor 196"
"435","ENSMUSG00000050813",0.634873494008572,3.58512807109306,5.27272684393741,0.0216620542829483,1,285,240,208,578,612,365,"Olfr332","olfactory receptor 332"
"445","ENSMUSG00000063660",-2.51469434616555,-2.72299555789083,5.19812322029651,0.022611288680803,1,4,4,5,0,2,1,"Olfr98","olfactory receptor 98"
"458","ENSMUSG00000057997",0.856076916512481,2.76150119969616,5.1500970489843,0.0232450738816437,1,81,138,153,301,191,424,"Olfr541","olfactory receptor 541"
"469","ENSMUSG00000048197",2.26543291428991,-2.25255705092975,5.10933031205407,0.0237975043053986,1,0,1,3,7,6,11,"Olfr1153","olfactory receptor 1153"
"490","ENSMUSG00000060112",0.700821816611222,3.36055976525032,5.04350799253369,0.0247183857074721,1,172,209,226,492,339,506,"Olfr60","olfactory receptor 60"
"492","ENSMUSG00000049926",0.896704304775398,2.02606721650049,5.03940495930375,0.0247769993673997,1,48,106,72,171,148,228,"Olfr921","olfactory receptor 921"
"595","ENSMUSG00000048299",1.23999775186827,-0.666116320398756,4.6887344684453,0.0303610007521747,1,6,9,11,24,22,37,"Olfr148","olfactory receptor 148"
"656","ENSMUSG00000075085",0.787083021400601,2.49728046037456,4.56223571584391,0.0326843804007162,1,80,129,113,251,186,310,"Olfr1242","olfactory receptor 1242"
"687","ENSMUSG00000063615",0.789702680158692,1.23108338760655,4.43803365073595,0.0351467057400759,1,41,63,30,109,125,73,"Olfr64","olfactory receptor 64"
"703","ENSMUSG00000050865",0.718913873596264,2.00578987038113,4.39745516955721,0.0359926008554152,1,87,79,67,204,149,164,"Olfr1494","olfactory receptor 1494"
"705","ENSMUSG00000094819",0.781795977264685,1.76719638728523,4.3881382764075,0.0361898102370699,1,59,63,66,161,99,187,"Olfr53","olfactory receptor 53"
"711","ENSMUSG00000096254",1.10504816014492,-0.233013876680931,4.35302211662694,0.0369433342764069,1,16,7,17,35,43,34,"Olfr724","olfactory receptor 724"
"724","ENSMUSG00000075114",0.708638206640748,1.9477521295048,4.31545727538502,0.0377676191272169,1,68,92,69,170,188,144,"Olfr1208","olfactory receptor 1208"
"756","ENSMUSG00000046643",0.815740037814805,0.70636466343716,4.25344696227011,0.0391707485950228,1,21,36,34,58,79,76,"Olfr218","olfactory receptor 218"
"765","ENSMUSG00000095809",0.875572356058894,0.7784022589967,4.24400785422287,0.0393890782932887,1,24,35,31,72,54,100,"Olfr1290","olfactory receptor 1290"
"772","ENSMUSG00000074955",0.989784148235847,-0.0397891367430752,4.22867146951812,0.0397465403484475,1,21,12,15,43,42,41,"Olfr1305","olfactory receptor 1305"
"828","ENSMUSG00000075160",1.38333403932091,-0.567770355003474,4.12919773840168,0.0421493282921112,1,7,17,3,49,23,17,"Olfr259","olfactory receptor 259"
"853","ENSMUSG00000045395",-1.78621642185945,-2.14707913286929,4.05124176420391,0.0441388655631312,1,11,7,3,5,1,2,"Olfr1499","olfactory receptor 1499"
"881","ENSMUSG00000090097",-0.812553333508253,0.631017445192571,4.01837941477837,0.0450069407035315,1,40,60,53,35,37,44,"Olfr1182","olfactory receptor 1182"
"926","ENSMUSG00000043314",0.611949138381077,4.11867246253692,3.97364212568279,0.0462177032501824,1,291,454,340,857,635,714,"Olfr30","olfactory receptor 30"
"1005","ENSMUSG00000045540",0.993005692615605,0.27327355871337,3.85412983401956,0.0496236613544446,1,11,35,17,61,51,45,"Olfr600","olfactory receptor 600"
"1012","ENSMUSG00000051160",1.64267528610248,-1.69705225164609,3.83049740617345,0.0503279951946942,1,2,2,4,22,4,12,"Olfr853","olfactory receptor 853"
"1052","ENSMUSG00000044801",3.55106674500429,-3.47147280654517,3.78400295648839,0.051744729916236,1,0,0,0,3,2,0,"Olfr159","olfactory receptor 159"
"1079","ENSMUSG00000095484",1.3996599757534,-0.335265432616694,3.76865274411887,0.0522216792972591,1,1,28,11,29,33,39,"Olfr1480","olfactory receptor 1480"
"1085","ENSMUSG00000068818",1.00456347628042,-0.356643620538503,3.75649377737873,0.0526027740925248,1,14,12,11,35,30,35,"Olfr1132","olfactory receptor 1132"
"1109","ENSMUSG00000061195",-1.03820362201202,-0.573814768080103,3.73333834773351,0.0533366927270694,1,21,18,28,14,15,14,"Olfr1289","olfactory receptor 1289"
"1134","ENSMUSG00000109058",0.703830539708214,2.04995554945109,3.67629089487146,0.055191499607051,1,60,116,75,156,173,205,"Olfr705","olfactory receptor 705"
"1159","ENSMUSG00000067526",0.753027469410452,0.859340551756494,3.64821869371107,0.0561292128300148,1,30,49,26,69,91,73,"Olfr1425","olfactory receptor 1425"
"1172","ENSMUSG00000059864",0.682140101064857,1.34353911802128,3.6262696595274,0.0568741601919213,1,40,42,69,89,92,142,"Olfr1393","olfactory receptor 1393"
"1193","ENSMUSG00000060759",-2.77608222245313,-2.94373397454534,3.58207102584446,0.0584062929294798,1,2,5,3,2,0,0,"Olfr503","olfactory receptor 503"
"1223","ENSMUSG00000045479",1.32204646226026,-0.773081470542796,3.53363263516149,0.0601358991185398,1,4,19,3,34,27,13,"Olfr459","olfactory receptor 459"
"1286","ENSMUSG00000062608",0.886182741267664,0.561672924121277,3.49407795192334,0.0615886959524619,1,21,26,26,79,31,84,"Olfr195","olfactory receptor 195"
"1288","ENSMUSG00000094197",3.45464475984019,-3.48248367153121,3.49177811918211,0.0616743074033034,1,0,0,0,0,4,1,"Olfr474","olfactory receptor 474"
"1302","ENSMUSG00000073923",0.788824655619198,0.523254862050027,3.468290419107,0.0625559316105982,1,21,31,27,71,62,51,"Olfr657","olfactory receptor 657"
"1308","ENSMUSG00000044061",-1.06092709148348,-0.291990078895032,3.45424872502802,0.0630893995861238,1,21,34,26,28,12,14,"Olfr225","olfactory receptor 225"
"1347","ENSMUSG00000068808",0.747534068002812,0.587082956780427,3.37841989708723,0.0660553547745364,1,31,34,20,68,69,53,"Olfr1189","olfactory receptor 1189"
"1368","ENSMUSG00000059874",-1.55519310267833,-1.43290150510017,3.36442722520643,0.0666187463881286,1,7,21,8,10,10,0,"Olfr603","olfactory receptor 603"
