"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000059069",2.54486400148268,4.86292239243897,303.375589277418,6.05839562310769e-68,6.67635197666467e-65,144,298,249,1299,1764,1605,"Olfr749","olfactory receptor 749"
"4","ENSMUSG00000053815",2.47203280092664,2.9564314017001,102.431282908054,4.46593337310133e-24,2.46072928857883e-21,40,100,54,388,421,407,"Olfr744","olfactory receptor 744"
"5","ENSMUSG00000075200",2.16490389940069,2.55870054481146,83.2949292726869,7.06806778754883e-20,2.59633690062627e-17,49,62,55,356,255,285,"Olfr1044","olfactory receptor 1044"
"6","ENSMUSG00000049528",1.77082598679918,1.89859672177811,46.3819489322787,9.73078422115647e-12,2.68083105292861e-09,29,57,46,183,189,155,"Olfr429","olfactory receptor 429"
"9","ENSMUSG00000050028",1.01495193329509,3.76297497850523,33.6743091486673,6.51555318079386e-09,1.43602792104697e-06,187,265,264,500,547,672,"Olfr745","olfactory receptor 745"
"21","ENSMUSG00000062782",0.93509156003293,4.15596762775706,21.9995873855833,2.72709086269478e-06,0.000500875688448275,291,304,348,1061,569,606,"Olfr527","olfactory receptor 527"
"26","ENSMUSG00000050813",0.797062876411388,3.67969798455836,19.3393082722704,1.09430243496619e-05,0.00172274469047534,285,240,208,609,486,429,"Olfr332","olfactory receptor 332"
"58","ENSMUSG00000036658",0.856367015875985,1.80169872923203,13.3759740449026,0.000254868229788681,0.0347307585697034,49,79,66,115,146,154,"Olfr11","olfactory receptor 11"
"63","ENSMUSG00000075427",1.04151929449285,1.89889340080942,13.1754207609509,0.000283645033690863,0.0347307585697034,49,36,117,139,127,189,"Olfr288","olfactory receptor 288"
"147","ENSMUSG00000108167",0.505093389015229,4.20361825384035,9.98395133338464,0.00157910460063661,0.14779631269519,338,430,439,569,597,909,"Olfr1386","olfactory receptor 1386"
"150","ENSMUSG00000043698",0.824874825056636,1.59577394204883,9.95637383876594,0.00160293463623772,0.14779631269519,43,82,47,99,119,136,"Olfr62","olfactory receptor 62"
"153","ENSMUSG00000073975",0.749970275794349,2.37891835206401,9.94896651277241,0.00160939723443038,0.14779631269519,99,126,76,156,265,184,"Olfr550","olfactory receptor 550"
"179","ENSMUSG00000061195",-1.62077778730703,-0.721693787181437,9.38370264975241,0.00218922927745262,0.185579281827137,21,18,28,10,6,10,"Olfr1289","olfactory receptor 1289"
"188","ENSMUSG00000054141",0.588401186392828,3.58041741779514,9.24480758509695,0.00236164110007211,0.185894892305676,195,282,286,469,393,496,"Olfr24","olfactory receptor 24"
"204","ENSMUSG00000059610",0.404926469008859,4.94832593607799,8.95462851333977,0.00276767461593708,0.192289443274221,632,871,613,1267,1040,1012,"Olfr222","olfactory receptor 222"
"205","ENSMUSG00000094819",0.712410337693398,1.68082759204035,8.93873419160602,0.00279186124536074,0.192289443274221,59,63,66,121,106,143,"Olfr53","olfactory receptor 53"
"222","ENSMUSG00000054406",0.816151150179985,1.23264442303479,8.71193098729809,0.00316134169544318,0.192607360483988,22,53,60,67,93,112,"Olfr411","olfactory receptor 411"
"228","ENSMUSG00000063583",0.939101341958257,0.728432258740604,8.63792355588956,0.00329236466287847,0.192607360483988,19,45,23,58,88,47,"Olfr1410","olfactory receptor 1410"
"232","ENSMUSG00000111259",0.681918951388186,2.34658492368829,8.59365369828761,0.00337336507459418,0.192607360483988,76,163,77,171,215,187,"Olfr1328","olfactory receptor 1328"
"236","ENSMUSG00000056961",1.56799141943713,-0.0277498073140373,8.5288545091091,0.00349559637901975,0.192607360483988,5,22,10,32,26,69,"Olfr919","olfactory receptor 919"
"262","ENSMUSG00000075064",-1.91483716831352,0.337595383587923,8.22688160809509,0.00412743894012091,0.211801467763996,41,54,47,31,31,0,"Olfr1506","olfactory receptor 1506"
