"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"17","ENSMUSG00000059043",1.3385025052743,5.5221080416979,24.1240031726497,9.03273479535362e-07,0.000995407374447969,1100,1044,686,2426,3753,944,"Olfr15","olfactory receptor 15"
"35","ENSMUSG00000059504",1.48864481246626,2.53165932392569,14.5124210073948,0.000139238441923777,0.0767203815000011,150,90,102,319,421,155,"Olfr314","olfactory receptor 314"
"50","ENSMUSG00000059279",1.63461260278484,3.78715059554999,12.8652918034802,0.000334732697284103,0.122958477469027,251,167,244,397,1505,384,"Olfr224","olfactory receptor 224"
"91","ENSMUSG00000108931",1.92357864893845,-0.21240651855558,9.96154135598849,0.00159844175394716,0.39695357511848,16,10,10,38,82,19,"Olfr1284","olfactory receptor 1284"
"94","ENSMUSG00000075203",5.20493977334931,-3.13594387421808,9.74198827939007,0.00180105977821452,0.39695357511848,0,0,0,7,5,1,"Olfr1040","olfactory receptor 1040"
"138","ENSMUSG00000049674",1.62273549668218,0.0790943315796749,8.57717532881762,0.00340403029979242,0.584714243494237,37,27,4,62,53,36,"Olfr714","olfactory receptor 714"
"153","ENSMUSG00000073960",4.87608437360438,-3.3214200828618,8.18790845830164,0.0042170514350718,0.584714243494237,0,0,0,4,4,2,"Olfr583","olfactory receptor 583"
"155","ENSMUSG00000062892",1.91184501440334,-0.973253757277154,8.17603274172237,0.00424474949905072,0.584714243494237,7,9,6,20,20,36,"Olfr1450","olfactory receptor 1450"
"166","ENSMUSG00000059030",1.39088431530354,0.049788779726649,7.92926868516986,0.00486414527420425,0.585406048831635,18,21,24,37,67,45,"Olfr128","olfactory receptor 128"
"175","ENSMUSG00000069390",1.17155771866366,1.39843594270051,7.76996270050317,0.00531221459919814,0.585406048831635,50,68,62,166,69,141,"Olfr707","olfactory receptor 707"
"248","ENSMUSG00000056853",2.27687417061656,-1.84234527719649,6.90591339918403,0.00859111253551695,0.860673274012698,1,7,2,16,15,8,"Olfr765","olfactory receptor 765"
"316","ENSMUSG00000092292",-2.21215702886813,-2.13237399404024,6.08162305320765,0.0136595216707119,1,14,7,12,3,2,1,"Olfr113","olfactory receptor 113"
"351","ENSMUSG00000060827",0.938273117334973,2.97830881361145,5.90213912008052,0.0151225076011819,1,248,217,102,259,752,135,"Olfr1193","olfactory receptor 1193"
"372","ENSMUSG00000061489",0.82960370546642,2.44963759488216,5.75732703429315,0.0164200330085754,1,188,200,87,301,213,197,"Olfr525","olfactory receptor 525"
"464","ENSMUSG00000045708",1.24182293732278,-0.299917427101857,5.25812517067004,0.0218445382192289,1,25,14,12,67,21,26,"Olfr447","olfactory receptor 447"
"494","ENSMUSG00000056959",0.800623817620369,2.10392391184788,5.07875120740119,0.0242208090215567,1,166,99,103,180,155,219,"Olfr315","olfactory receptor 315"
"506","ENSMUSG00000073962",1.16968789195343,0.157484717560437,5.03858922203439,0.0247886697207587,1,25,21,24,84,19,56,"Olfr576","olfactory receptor 576"
"547","ENSMUSG00000063583",-0.959729431645509,0.563664190359185,4.86257330646024,0.0274453712941764,1,111,80,37,39,31,26,"Olfr1410","olfactory receptor 1410"
"565","ENSMUSG00000073945",1.30273365509275,-0.678627300821509,4.79780164167934,0.0284960756359361,1,13,13,12,41,21,24,"Olfr618","olfactory receptor 618"
"584","ENSMUSG00000058270",1.49652768382984,-1.12943626369254,4.75248693371751,0.0292559836016067,1,9,13,4,28,17,17,"Olfr25","olfactory receptor 25"
"616","ENSMUSG00000091983",-1.30785581568896,-0.402345517432994,4.66651147030597,0.0307563406837555,1,52,36,22,35,10,4,"Olfr457","olfactory receptor 457"
