"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"11","ENSMUSG00000062272",2.16372608397512,0.988892162515162,37.5844552304545,8.75393418519142e-10,9.64683547208095e-07,17,32,20,121,208,54,"Olfr1129","olfactory receptor 1129"
"93","ENSMUSG00000073947",0.823950471143958,3.1199178547938,16.8838723925142,3.97377878147351e-05,0.021895521085919,227,258,174,477,454,380,"Olfr615","olfactory receptor 615"
"188","ENSMUSG00000073950",0.573530979647927,4.08006402517377,12.0466761643617,0.000518848116432564,0.190590208102895,420,750,297,727,1058,590,"Olfr599","olfactory receptor 599"
"240","ENSMUSG00000050015",0.92430610474241,3.03047257161044,10.6361023016845,0.00110901161458755,0.30553269981887,155,86,401,270,403,514,"Olfr350","olfactory receptor 350"
"377","ENSMUSG00000040328",0.718017810268345,2.30124817838326,8.69929099979151,0.00318333844911333,0.624746383424499,227,82,83,390,226,112,"Olfr56","olfactory receptor 56"
"405","ENSMUSG00000049573",1.26920389820769,-0.040178309814727,8.46099422852668,0.00362843463735942,0.624746383424499,29,17,10,79,49,26,"Olfr780","olfactory receptor 780"
"425","ENSMUSG00000045824",2.16424391151853,-1.67537609908804,8.29819804811001,0.00396844345187976,0.624746383424499,3,6,1,17,22,10,"Olfr574","olfactory receptor 574"
"477","ENSMUSG00000057817",1.08401547550796,0.541188769876888,7.88977501486193,0.00497150484803158,0.68482479281635,55,18,26,79,83,59,"Olfr1446","olfactory receptor 1446"
"533","ENSMUSG00000051046",0.77974207132443,1.39000742062977,7.46051975390571,0.0063066794765201,0.718032303085543,65,40,94,87,125,168,"Olfr214","olfactory receptor 214"
"553","ENSMUSG00000056696",0.65966676563059,1.91911704414704,7.38012919362831,0.00659484325857787,0.718032303085543,139,89,77,242,151,149,"Olfr1350","olfactory receptor 1350"
"604","ENSMUSG00000075379",0.669330499271433,1.75941495547764,7.05901564889094,0.00788673208119764,0.718032303085543,96,108,67,189,174,124,"Olfr358","olfactory receptor 358"
