"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"4","ENSMUSG00000063881",2.65800502725588,4.46369915373993,77.0887058967614,1.63449340665946e-18,1.80121173413872e-15,86,129,106,902,421,904,"Olfr376","olfactory receptor 376"
"15","ENSMUSG00000096840",1.73116681610032,4.06734989468398,40.5759246515841,1.89122579633925e-10,1.04206541378293e-07,105,142,168,588,296,614,"Olfr136","olfactory receptor 136"
"21","ENSMUSG00000044798",3.05869885194086,4.72831616701205,33.1696318928512,8.44593262462098e-09,3.10247258411077e-06,38,70,72,69,862,1708,"Olfr923","olfactory receptor 923"
"32","ENSMUSG00000096273",2.41527191099405,1.10004820623293,23.8303150025991,1.05212333464464e-06,0.000289859978694598,10,17,7,101,31,73,"Olfr1474","olfactory receptor 1474"
"44","ENSMUSG00000059189",1.65214233333144,2.53998435980288,20.1552022536817,7.14057767079598e-06,0.00157378331864343,9,62,57,25,126,335,"Olfr913","olfactory receptor 913"
"46","ENSMUSG00000075166",1.07769984768177,3.87092142224808,19.2844652486018,1.12618926165062e-05,0.00177592593812403,116,140,219,175,388,558,"Olfr1104","olfactory receptor 1104"
"48","ENSMUSG00000042774",1.83404287835848,1.51756572078668,19.0492002148214,1.27391152858043e-05,0.00177592593812403,29,20,9,216,39,28,"Olfr1353","olfactory receptor 1353"
"49","ENSMUSG00000096320",1.69767743565712,1.38988050004507,19.0263782331441,1.28923843058006e-05,0.00177592593812403,21,21,20,138,46,53,"Olfr1471","olfactory receptor 1471"
"50","ENSMUSG00000053815",1.72508107897343,2.93280947094385,18.6611895843337,1.56128286387278e-05,0.00191170412887534,53,49,56,73,198,397,"Olfr744","olfactory receptor 744"
"56","ENSMUSG00000059069",1.39890302906827,4.32541941084907,18.0061475122622,2.20192742817837e-05,0.00242652402585256,119,158,210,140,590,946,"Olfr749","olfactory receptor 749"
"59","ENSMUSG00000095527",3.10397807886658,-0.218506227092719,17.6422530379599,2.66598975654288e-05,0.00246235198269913,3,0,5,9,31,37,"Olfr888","olfactory receptor 888"
"60","ENSMUSG00000050134",1.44425675846758,3.1071845325325,17.6313429266701,2.68132702290286e-05,0.00246235198269913,48,96,72,84,217,414,"Olfr430","olfactory receptor 430"
"63","ENSMUSG00000061952",2.11778041369361,3.45212960393643,17.0433231971062,3.65366150732041e-05,0.00309718075466699,42,63,46,51,312,656,"Olfr1377","olfactory receptor 1377"
"66","ENSMUSG00000040328",1.46682395820948,2.9869102680322,16.4824648908554,4.91021048862068e-05,0.00365418670781647,53,48,139,327,134,207,"Olfr56","olfactory receptor 56"
"68","ENSMUSG00000094426",1.80210483756149,1.26702646602887,16.4580174377098,4.97393835002242e-05,0.00365418670781647,15,29,10,37,64,103,"Olfr478","olfactory receptor 478"
"83","ENSMUSG00000094612",1.03178708445377,3.32776769427558,14.9684119214267,0.000109326034532612,0.00752983062843365,51,172,119,100,291,354,"Olfr491","olfactory receptor 491"
"84","ENSMUSG00000059874",3.57635115318747,-0.650258578798882,14.8425974889316,0.000116865840101278,0.00757565622303579,0,6,0,16,21,18,"Olfr603","olfactory receptor 603"
"90","ENSMUSG00000049015",1.4602796104252,1.48470403997651,14.530608893418,0.000137900672872141,0.00805671187403711,13,35,23,22,84,120,"Olfr1467","olfactory receptor 1467"
"91","ENSMUSG00000095187",1.14101964528711,1.92640863183136,14.5168859829158,0.000138908825414433,0.00805671187403711,25,42,59,76,80,132,"Olfr1381","olfactory receptor 1381"
"95","ENSMUSG00000072707",1.36112972984928,2.93340621570628,14.4000906607922,0.000147795194636047,0.00814351522444619,54,80,96,333,167,153,"Olfr31","olfactory receptor 31"
"104","ENSMUSG00000042863",1.57733989263897,2.08360858199755,13.9633471104449,0.000186409484334023,0.00978205960648064,27,40,28,31,142,187,"Olfr1026","olfactory receptor 1026"
"115","ENSMUSG00000052058",1.1334906975701,2.58932049280906,13.4054535989808,0.000250893778898918,0.0125674974703003,49,75,67,98,125,244,"Olfr901","olfactory receptor 901"
"123","ENSMUSG00000049168",0.924983736986297,4.34472005116346,12.7905461240416,0.000348375403322939,0.0166917258461686,258,185,325,832,364,408,"Olfr449","olfactory receptor 449"
"134","ENSMUSG00000066750",1.92784681725198,2.71864337901228,12.3942895688578,0.000430648808821708,0.0197739578050634,40,40,28,42,167,389,"Olfr876","olfactory receptor 876"
"141","ENSMUSG00000058981",1.01758812518976,2.17125176215395,12.100333039791,0.000504128177577416,0.0219645621099772,47,55,54,80,146,114,"Olfr1406","olfactory receptor 1406"
"142","ENSMUSG00000056959",1.057207502746,2.39028501558679,12.048933633872,0.000518220158674598,0.0219645621099772,66,61,55,213,94,114,"Olfr315","olfactory receptor 315"
"145","ENSMUSG00000075119",1.04198580109508,2.22970129716026,11.9444700749805,0.00054809818239023,0.0223705258145938,39,78,49,97,119,135,"Olfr1197","olfactory receptor 1197"
"156","ENSMUSG00000046493",1.59511685865728,2.92404524845838,11.5655180179349,0.000671861700012516,0.0264425569076354,54,60,44,597,104,77,"Olfr1352","olfactory receptor 1352"
"171","ENSMUSG00000032987",0.84418715317602,3.17701075577418,11.2222667159175,0.000808217191875306,0.0307122532912616,94,121,134,188,266,206,"Olfr281","olfactory receptor 281"
