"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"80","ENSMUSG00000075064",-6.27311286671241,-1.93737060243078,13.1759862934799,0.000283559445650606,0.312482509106968,0,16,16,0,0,0,"Olfr1506","olfactory receptor 1506"
"152","ENSMUSG00000056883",-1.49210011713094,3.29299859684708,11.2695713265374,0.000787879206153795,0.391424931160651,460,241,411,267,39,169,"Olfr533","olfactory receptor 533"
"233","ENSMUSG00000051046",-1.47571903193495,1.15010570477357,10.0957603897484,0.00148610827042446,0.391424931160651,82,89,89,29,22,43,"Olfr214","olfactory receptor 214"
"261","ENSMUSG00000049618",1.89414230335756,0.471304524767227,9.75410043580517,0.00178923174128132,0.391424931160651,24,11,11,39,89,43,"Olfr103","olfactory receptor 103"
"290","ENSMUSG00000094285",0.897478108229899,5.51767519758262,9.44348837847992,0.00211900073005308,0.391424931160651,1102,856,551,2452,1799,716,"Olfr743","olfactory receptor 743"
"300","ENSMUSG00000107677",-1.53259973090733,0.823131149383194,9.34195254954519,0.00223966772764178,0.391424931160651,67,35,102,24,7,46,"Olfr316","olfactory receptor 316"
"323","ENSMUSG00000058244",-1.71558959302239,0.67407991253289,9.15059998658163,0.00248636526145604,0.391424931160651,55,34,97,24,3,40,"Olfr506","olfactory receptor 506"
"435","ENSMUSG00000051190",1.67381575512682,0.226035875028007,8.34578392113444,0.00386583331787192,0.532518539536857,8,13,24,28,68,42,"Olfr1356","olfactory receptor 1356"
"711","ENSMUSG00000044120",-1.48250074715322,0.958361255812584,7.21657316212175,0.00722334779523766,0.585245474965068,71,27,114,35,2,60,"Olfr683","olfactory receptor 683"
"781","ENSMUSG00000052625",-1.70804234760271,0.361996127872272,6.96761277094344,0.00829981509268786,0.585245474965068,31,51,68,15,4,33,"Olfr851","olfactory receptor 851"
"823","ENSMUSG00000062649",1.3756812841822,1.39009366527852,6.80758945313282,0.0090771220713543,0.585245474965068,29,28,49,48,207,68,"Olfr44","olfactory receptor 44"
"831","ENSMUSG00000064006",-1.43099354834241,0.442124147708765,6.79595076530807,0.0091364854117312,0.585245474965068,56,24,75,34,9,15,"Olfr190","olfactory receptor 190"
"867","ENSMUSG00000095893",-1.87043796782014,0.310301981412369,6.71412191068692,0.00956523769074983,0.585245474965068,40,32,63,3,7,48,"Olfr884","olfactory receptor 884"
"877","ENSMUSG00000070820",-1.20472266334039,2.00349671213564,6.68946439591877,0.00969843385562905,0.585245474965068,165,75,190,68,19,128,"Olfr1339","olfactory receptor 1339"
"886","ENSMUSG00000082980",1.11149357964311,2.69927709162207,6.65607498326903,0.00988183377690853,0.585245474965068,105,95,131,144,294,290,"Olfr1274","olfactory receptor 1274"
