"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000096109",4.59321949442841,3.45064677834299,168.759371188938,1.38082255789744e-38,1.52166645880298e-35,66,25,13,808,889,596,"Olfr1537","olfactory receptor 1537"
"5","ENSMUSG00000046881",2.45314480160522,2.23178827239142,64.0731283968727,1.19885604825981e-15,6.60569682591155e-13,68,41,43,304,326,235,"Olfr374","olfactory receptor 374"
"9","ENSMUSG00000111689",2.90546545527398,1.59580463528857,38.5632171442857,5.30085741525458e-10,1.94718162387018e-07,58,9,20,160,216,190,"Olfr1082","olfactory receptor 1082"
"10","ENSMUSG00000057067",2.37263538590581,1.81609880905891,33.8375630937742,5.99108601776831e-09,1.40016437263597e-06,50,41,23,106,296,249,"Olfr297","olfactory receptor 297"
"11","ENSMUSG00000075172",2.97226285149716,0.103319623667708,33.6751971445941,6.51257953595087e-09,1.40016437263597e-06,6,7,10,79,79,41,"Olfr1090","olfactory receptor 1090"
"13","ENSMUSG00000075179",1.93748722827828,2.43746375938223,33.3688833576283,7.62339948803612e-09,1.40016437263597e-06,82,90,55,178,411,364,"Olfr1079","olfactory receptor 1079"
"16","ENSMUSG00000049708",1.89809425143331,1.21569618911871,28.0820419908641,1.16279844865315e-07,1.83057698630824e-05,59,20,28,127,136,126,"Olfr27","olfactory receptor 27"
"24","ENSMUSG00000036744",2.10172752894559,2.6047893617631,22.4073470777488,2.20528792912131e-06,0.00030377841223646,106,62,55,154,617,339,"Olfr701","olfactory receptor 701"
"27","ENSMUSG00000062245",1.79298737959909,3.04172279708888,21.902910343196,2.86798634743128e-06,0.000351168994985475,223,95,88,307,618,470,"Olfr170","olfactory receptor 170"
"39","ENSMUSG00000062629",3.23196154603895,-0.975552700890941,16.4838985232092,4.90649898475761e-05,0.00540696188120289,7,3,0,21,37,31,"Olfr114","olfactory receptor 114"
"46","ENSMUSG00000072708",2.05076088900808,0.201887374635475,15.3742418983376,8.81822209765649e-05,0.00883425522874314,26,8,12,40,82,72,"Olfr381","olfactory receptor 381"
"69","ENSMUSG00000093901",1.9421294650229,-0.154137412081243,11.6558353595895,0.000640014583465604,0.0587746725815913,12,10,10,15,69,69,"Olfr893","olfactory receptor 893"
"77","ENSMUSG00000048356",1.0400664612198,1.04080195831908,10.9359458405643,0.00094316323460665,0.0799512218874253,40,41,57,87,102,108,"Olfr1496","olfactory receptor 1496"
"90","ENSMUSG00000095917",-1.20882247006025,5.18256899491642,9.73114882960404,0.00181171214226372,0.142607627198187,2891,1510,1040,406,918,1079,"Olfr740","olfactory receptor 740"
"92","ENSMUSG00000063394",0.960209322876855,1.356744336158,9.57856794638198,0.00196861898948831,0.144627875094408,60,55,61,87,159,124,"Olfr293","olfactory receptor 293"
"103","ENSMUSG00000045306",-1.33415850643731,-0.041404220547786,9.2189974294048,0.00239516671093677,0.16496710721577,61,41,38,19,19,19,"Olfr734","olfactory receptor 734"
"118","ENSMUSG00000049334",1.68555235544938,-0.821977014199357,8.63823826763996,0.0032917959684756,0.21074165427312,7,7,11,20,31,35,"Olfr902","olfactory receptor 902"
"124","ENSMUSG00000094986",1.38401189103602,0.166762923363155,8.55685210116206,0.00344224117687492,0.21074165427312,24,25,12,35,58,79,"Olfr1454","olfactory receptor 1454"
"154","ENSMUSG00000075212",-3.16565116167341,-2.66393030536666,7.73243130304465,0.00542376668767539,0.314578467885173,8,8,4,0,1,1,"Olfr154","olfactory receptor 154"
"175","ENSMUSG00000051611",1.04568693605192,1.35229154652722,7.43824204945689,0.00638522308917329,0.351825792213448,67,45,52,59,154,170,"Olfr112","olfactory receptor 112"
"196","ENSMUSG00000061549",0.955236534259888,1.20349506965738,7.15258624549026,0.00748559668608021,0.392815597526685,39,69,43,43,133,164,"Olfr301","olfactory receptor 301"
"217","ENSMUSG00000110912",0.927017620023666,1.22974014603172,6.84262474860743,0.00890079642822032,0.445848984722672,66,42,55,67,145,125,"Olfr1080","olfactory receptor 1080"
"272","ENSMUSG00000094266",-2.60746112398266,-2.16366985892268,6.38180430480219,0.0115296162468254,0.525051545963337,9,4,18,0,3,2,"Olfr340","olfactory receptor 340"
"276","ENSMUSG00000073893",-0.805401594579074,3.64239710069074,6.34729092384367,0.0117560688554624,0.525051545963337,1017,377,357,275,270,398,"Olfr472","olfactory receptor 472"
"282","ENSMUSG00000092413",0.855663746905761,1.84574975155947,6.31335756139599,0.0119831697188421,0.525051545963337,135,75,61,146,137,218,"Olfr115","olfactory receptor 115"
"299","ENSMUSG00000075210",-0.832344631723657,0.742261480477297,6.15373068313515,0.0131135193808319,0.525051545963337,87,98,35,39,64,25,"Olfr1012","olfactory receptor 1012"
"305","ENSMUSG00000095212",-1.07644226612919,0.110517218103843,6.08123669138111,0.0136625093619123,0.525051545963337,61,38,45,37,11,28,"Olfr473","olfactory receptor 473"
"307","ENSMUSG00000094745",1.65532793272176,-1.09212401786889,6.07720420964472,0.0136937322221078,0.525051545963337,12,5,4,20,15,34,"Olfr954","olfactory receptor 954"
