"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000067522",2.85941926927776,1.87637258105536,50.9021385454556,9.70877493373589e-13,1.0699069976977e-09,29,7,43,271,42,284,"Olfr76","olfactory receptor 76"
"10","ENSMUSG00000052625",2.69598163875848,3.22261037885317,34.1474222389772,5.10908756955671e-09,2.81510725082575e-06,212,16,57,627,142,690,"Olfr851","olfactory receptor 851"
"11","ENSMUSG00000075170",2.45156615743906,1.70352993389242,31.7379107699229,1.76444142841897e-08,6.48138151372568e-06,70,11,22,252,83,164,"Olfr1097","olfactory receptor 1097"
"13","ENSMUSG00000048391",2.84775754796886,2.01594543749648,29.5774727670521,5.37257288930561e-08,1.4801438310037e-05,103,5,23,310,97,221,"Olfr843","olfactory receptor 843"
"33","ENSMUSG00000073896",1.2902299703347,3.87096802322982,16.5755481347996,4.67499039949315e-05,0.0103036788404829,495,78,108,2418,124,209,"Olfr716","olfactory receptor 716"
"40","ENSMUSG00000049149",0.948012462455455,4.54720317254225,15.112224331227,0.000101305162731942,0.0186063815551,1025,115,344,2974,168,607,"Olfr1258","olfactory receptor 1258"
"43","ENSMUSG00000094285",1.06245704121234,5.25941460959864,14.6054695876409,0.000132529328109739,0.0208639027967046,1377,293,542,3972,367,1457,"Olfr743","olfactory receptor 743"
"57","ENSMUSG00000062497",1.16847605231943,2.30780008472756,12.528207580952,0.000400854161431011,0.0549583362339711,119,40,115,302,101,225,"Olfr1411","olfactory receptor 1411"
"61","ENSMUSG00000068431",0.882989332244053,4.65676436923996,12.3170352660487,0.000448843036393593,0.0549583362339711,1019,151,438,2895,198,773,"Olfr742","olfactory receptor 742"
"76","ENSMUSG00000049280",1.11769160102845,2.49796826625545,11.6284980928584,0.000649489772911276,0.0715737729748226,215,47,66,621,97,122,"Olfr509","olfactory receptor 509"
"82","ENSMUSG00000060480",1.09166752552685,2.51123986951636,10.8100482280845,0.00100950672694962,0.101038553661219,217,47,64,637,126,85,"Olfr171","olfactory receptor 171"
"83","ENSMUSG00000050813",0.963741231394914,4.77538332682476,10.6507911250068,0.00110023833387897,0.101038553661219,869,207,392,3873,343,431,"Olfr332","olfactory receptor 332"
"100","ENSMUSG00000049797",0.793109722545184,3.85848203507417,9.80120060152333,0.00174397973733097,0.147835820810671,236,383,188,500,596,331,"Olfr642","olfactory receptor 642"
"118","ENSMUSG00000094612",1.09782201766253,2.1158717814452,9.16818400805269,0.00246258810029723,0.193840863323396,143,28,82,446,79,101,"Olfr491","olfactory receptor 491"
"122","ENSMUSG00000066122",1.58559576533005,0.744385132333861,8.97849305500505,0.00273175848655499,0.197983767064918,68,11,9,146,28,58,"Olfr45","olfactory receptor 45"
"133","ENSMUSG00000095917",1.09772136731486,4.98475963322101,8.6299142064624,0.00330687147646961,0.197983767064918,843,472,366,2619,431,1333,"Olfr740","olfactory receptor 740"
"139","ENSMUSG00000059397",1.35033393514846,0.736106378271935,8.56008203607429,0.0034361393708969,0.197983767064918,52,7,29,129,20,76,"Olfr54","olfactory receptor 54"
"144","ENSMUSG00000060205",1.41642428495501,1.34995290366667,8.50222328378701,0.00354712795974191,0.197983767064918,58,27,27,115,52,155,"Olfr57","olfactory receptor 57"
"147","ENSMUSG00000060084",1.17027790654445,1.36161829305047,8.47996627084285,0.00359078760056181,0.197983767064918,105,10,43,228,25,101,"Olfr748","olfactory receptor 748"
"149","ENSMUSG00000075179",1.12488698985002,1.51473817927465,8.47875877064524,0.00359317181606021,0.197983767064918,90,19,61,178,73,100,"Olfr1079","olfactory receptor 1079"
"159","ENSMUSG00000050865",1.09379731061324,1.38498426969707,8.31918319650152,0.00392285559983377,0.205856517667467,47,38,51,145,83,81,"Olfr1494","olfactory receptor 1494"
"182","ENSMUSG00000095765",0.737043053166433,3.72501604326749,8.02564746590935,0.00461195359437237,0.225574553779694,550,76,330,1310,144,371,"Olfr741","olfactory receptor 741"
"185","ENSMUSG00000045030",0.900399214063811,3.08548376372754,7.98832356467143,0.00470799885384116,0.225574553779694,427,41,120,952,60,247,"Olfr1443","olfactory receptor 1443"
"208","ENSMUSG00000075168",1.23451743143646,0.813002863376478,7.61353025313958,0.00579319568215096,0.266004235072098,49,10,34,126,21,85,"Olfr1099","olfactory receptor 1099"
"250","ENSMUSG00000062527",1.53305419771509,1.1426509644482,7.18048860295992,0.00737006339111122,0.324872394280183,165,1,16,211,21,52,"Olfr1408","olfactory receptor 1408"
"265","ENSMUSG00000045381",1.09169749023449,1.40419790522117,7.01020485637953,0.00810464059207947,0.34351207432583,71,16,59,273,29,83,"Olfr433","olfactory receptor 433"
"274","ENSMUSG00000043310",0.890451461647322,2.26729103094108,6.88292166008301,0.00870231965445254,0.355183565155804,134,27,156,330,54,220,"Olfr571","olfactory receptor 571"
"295","ENSMUSG00000061626",1.57404304489325,0.40067124860626,6.65621323064163,0.00988106713551246,0.388890570833383,38,1,16,194,1,31,"Olfr68","olfactory receptor 68"
"373","ENSMUSG00000052058",1.06026632088789,1.52074884407138,6.19588308074527,0.0128047816879045,0.486581704140371,84,32,34,324,39,66,"Olfr901","olfactory receptor 901"
"395","ENSMUSG00000044061",2.36906758715257,-0.994451551185251,5.99953075904872,0.0143096838882453,0.524027704938044,20,1,0,50,7,10,"Olfr225","olfactory receptor 225"
"409","ENSMUSG00000051793",-3.18171450844994,-2.01972971029439,5.94713192734104,0.0147412512278397,0.524027704938044,16,2,11,5,0,0,"Olfr284","olfactory receptor 284"
"455","ENSMUSG00000096167",1.20979162228491,1.32147305637644,5.70834810670709,0.0168844202582185,0.5814572226424,95,13,27,209,14,131,"Olfr887","olfactory receptor 887"
"477","ENSMUSG00000075100",-1.2972846456298,0.237638925737698,5.58350050361291,0.0181304487971906,0.605447108318304,21,53,39,6,35,13,"Olfr1223","olfactory receptor 1223"
"498","ENSMUSG00000044293",0.905369738030625,1.35885745565081,5.48684602887385,0.0191600771386922,0.606228924712975,89,19,58,154,45,106,"Olfr794","olfactory receptor 794"
"518","ENSMUSG00000063660",3.66921096813735,-2.70556212432093,5.4051970589685,0.0200768818371455,0.606228924712975,1,0,0,8,3,4,"Olfr98","olfactory receptor 98"
"546","ENSMUSG00000056863",1.21514060193229,0.406565557308538,5.30208451870107,0.021299919166375,0.606228924712975,55,8,13,119,15,44,"Olfr702","olfactory receptor 702"
"549","ENSMUSG00000096109",1.48353105516979,0.61404072699446,5.28643140112846,0.0214922179339665,0.606228924712975,64,9,11,69,31,83,"Olfr1537","olfactory receptor 1537"
"555","ENSMUSG00000049168",0.599316756305211,3.55015883132659,5.28099491182185,0.0215594250798599,0.606228924712975,536,104,265,855,180,370,"Olfr449","olfactory receptor 449"
"567","ENSMUSG00000053815",0.990663785956553,1.29356929748914,5.247231730853,0.0219817150808755,0.606228924712975,66,14,62,255,26,70,"Olfr744","olfactory receptor 744"
"569","ENSMUSG00000059873",1.59221152744268,0.18993616758938,5.24541495803475,0.0220046796629029,0.606228924712975,57,5,3,113,9,36,"Olfr1029","olfactory receptor 1029"
"591","ENSMUSG00000073893",0.945859572199204,2.97833964694041,5.14926843388674,0.0232561690341554,0.624698913196581,323,61,87,902,52,258,"Olfr472","olfactory receptor 472"
"603","ENSMUSG00000096229",-4.91414985901298,-2.88271013858624,5.10850326527312,0.0238088515011401,0.624698913196581,12,1,0,0,0,0,"Olfr774","olfactory receptor 774"
"623","ENSMUSG00000075204",-1.2959905902702,0.000862630511818102,5.06044100613162,0.0244780084436761,0.62732012337049,57,11,55,25,4,23,"Olfr1039","olfactory receptor 1039"
"636","ENSMUSG00000073949",0.849320331686724,1.61956723335786,5.01530408392596,0.0251242163416105,0.629247418373972,168,10,49,327,21,79,"Olfr606","olfactory receptor 606"
"653","ENSMUSG00000075068",0.584579699648941,6.17303331915543,4.97155617183739,0.0257674540565936,0.63101631934147,1650,763,2356,4022,685,3896,"Olfr140","olfactory receptor 140"
"736","ENSMUSG00000075377",1.2342935886472,1.54253638486928,4.69993179933112,0.0301638143229043,0.655198377185993,96,8,36,152,9,235,"Olfr362","olfactory receptor 362"
"758","ENSMUSG00000062128",0.958549678703132,1.07403679246155,4.66203882548061,0.0308365542932429,0.655198377185993,100,6,25,284,11,34,"Olfr20","olfactory receptor 20"
