"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"4","ENSMUSG00000073966",1.90823112321144,3.08143358281736,84.5510532729136,3.74420679619477e-20,4.12611588940664e-17,110,115,127,390,395,486,"Olfr561","olfactory receptor 561"
"5","ENSMUSG00000110012",1.71497312944134,3.10938565601708,65.5623615263367,5.63038529158451e-16,3.10234229566307e-13,158,99,143,446,325,487,"Olfr644","olfactory receptor 644"
"6","ENSMUSG00000043948",1.79528585052848,2.8512388074516,51.4954017893894,7.17649878480422e-13,2.63616722028475e-10,135,91,96,334,366,360,"Olfr691","olfactory receptor 691"
"9","ENSMUSG00000045132",1.54396823985415,2.5450502316784,36.0504203796449,1.92277302154338e-09,4.54376176074894e-07,102,78,115,249,283,288,"Olfr620","olfactory receptor 620"
"10","ENSMUSG00000073949",1.6049436143225,2.5513556568609,35.9145841288344,2.06159789507665e-09,4.54376176074894e-07,121,93,75,243,301,289,"Olfr606","olfactory receptor 606"
"11","ENSMUSG00000044899",1.70618200874811,1.13785289760974,32.4038022445073,1.25241184040313e-08,2.30026308020708e-06,29,28,43,88,92,134,"Olfr649","olfactory receptor 649"
"16","ENSMUSG00000061361",0.951794579526663,3.74750379315653,26.1407191062057,3.17419094041574e-07,4.99708345191164e-05,356,276,279,641,556,491,"Olfr168","olfactory receptor 168"
"23","ENSMUSG00000045792",1.12381662893432,3.17606046536228,24.3436318551142,8.05927300021833e-07,0.000111016485578007,199,121,240,318,306,548,"Olfr578","olfactory receptor 578"
"24","ENSMUSG00000063615",1.22564853370993,1.90784969850256,22.5606113605003,2.03616724544657e-06,0.00024931736716468,84,45,91,210,102,185,"Olfr64","olfactory receptor 64"
"25","ENSMUSG00000070423",1.72630931932063,2.45386472306085,21.6483605476203,3.27489797729912e-06,0.000360893757098363,98,46,110,224,331,232,"Olfr558","olfactory receptor 558"
"28","ENSMUSG00000049041",1.05799389382224,2.69230550405209,19.7209666390182,8.96127770402135e-06,0.000897757093621048,195,79,126,383,112,352,"Olfr398","olfactory receptor 398"
"35","ENSMUSG00000043354",1.3232684811562,2.42387951398564,17.0914025517946,3.56232034854866e-05,0.00327139752008385,105,60,146,231,252,229,"Olfr577","olfactory receptor 577"
"36","ENSMUSG00000050281",1.07484449987407,1.67968380371662,16.5075617525782,4.84564361733105e-05,0.00410761482022986,81,61,61,144,130,134,"Olfr630","olfactory receptor 630"
"59","ENSMUSG00000067545",1.96212764385437,1.20664280675331,13.3636704418339,0.000256545721363317,0.0201938132101697,43,32,11,64,76,209,"Olfr1419","olfactory receptor 1419"
"84","ENSMUSG00000062037",0.66453126238996,3.56864284554062,11.7266069741221,0.000616128230638266,0.0452648873442246,270,257,361,352,362,684,"Olfr285","olfactory receptor 285"
"97","ENSMUSG00000066273",0.918494128201248,2.02059513372718,11.0843793951395,0.000870579536548412,0.0599611655797719,91,75,106,120,167,214,"Olfr33","olfactory receptor 33"
"120","ENSMUSG00000053251",0.689853265229098,2.88505042275402,10.3609382867953,0.00128709769490458,0.0834342152814616,195,156,204,265,238,364,"Olfr212","olfactory receptor 212"
"176","ENSMUSG00000073967",0.828458128019791,2.48613073114948,9.27331111798879,0.00232516984320957,0.13678951248014,181,114,109,208,237,227,"Olfr557","olfactory receptor 557"
"177","ENSMUSG00000091601",0.717266475106553,2.33558976497192,9.2472915130658,0.00235843987034724,0.13678951248014,126,80,166,189,125,280,"Olfr93","olfactory receptor 93"
"198","ENSMUSG00000073932",1.50002288893141,-0.325107052546077,8.86751615260511,0.00290289850579854,0.1599497076695,24,9,7,48,20,36,"Olfr641","olfactory receptor 641"
"233","ENSMUSG00000094063",1.46154478335278,-0.564456786327829,8.44775696683029,0.00365493941286264,0.191797296808316,13,12,8,32,32,23,"Olfr638","olfactory receptor 638"
"247","ENSMUSG00000058200",1.65450031620692,-0.263475436160565,8.23117399757232,0.00411768849714522,0.206258760175183,19,3,18,48,34,28,"Olfr66","olfactory receptor 66"
"281","ENSMUSG00000050763",0.566421740626446,3.46154346790739,7.83803067697444,0.0051158309243296,0.242267119881776,350,206,314,405,281,570,"Olfr1395","olfactory receptor 1395"
"291","ENSMUSG00000110970",0.925763831293052,0.90905475567157,7.77282089151104,0.00530381582948295,0.242267119881776,40,32,54,84,73,70,"Olfr156","olfactory receptor 156"
"305","ENSMUSG00000096068",-2.56368210720673,-2.12707901221111,7.65678567040405,0.00565591823640765,0.242267119881776,12,10,6,4,0,1,"Olfr486","olfactory receptor 486"
"309","ENSMUSG00000064006",0.810677810336858,1.20182964679777,7.63774876750849,0.00571592115873518,0.242267119881776,42,62,58,92,68,115,"Olfr190","olfactory receptor 190"
"358","ENSMUSG00000056281",0.83063520710796,1.46470655213579,7.34201764213246,0.00673611915023527,0.270365968626526,66,70,53,159,63,118,"Olfr1322","olfactory receptor 1322"
"365","ENSMUSG00000068431",0.524938055254879,4.09379141877193,7.30676394696081,0.00686955274187181,0.270365968626526,340,524,520,621,452,863,"Olfr742","olfactory receptor 742"
"404","ENSMUSG00000066671",0.553016183122631,2.97950460266662,7.01026358711058,0.00810437473012778,0.307966239744856,246,159,217,330,184,387,"Olfr220","olfactory receptor 220"
"415","ENSMUSG00000058802",0.849521164037139,0.787347017787556,6.91621145786529,0.00854177521830858,0.310331690534361,46,30,43,77,59,69,"Olfr97","olfactory receptor 97"
"423","ENSMUSG00000094464",-0.815071768985314,1.0481380296436,6.87727856301075,0.00872983884443301,0.310331690534361,107,62,78,81,21,45,"Olfr339","olfactory receptor 339"
"476","ENSMUSG00000111454",3.40440002732445,-2.96880318641471,6.64713200744839,0.00993155617818442,0.339996080794417,0,1,0,4,6,2,"Olfr998","olfactory receptor 998"
"498","ENSMUSG00000042909",1.25751317310212,0.1218615682958,6.56680973653031,0.0103898029135345,0.339996080794417,30,20,11,35,38,66,"Olfr648","olfactory receptor 648"
"504","ENSMUSG00000075068",0.439526779967066,5.63415844265322,6.54974872671929,0.0104898972295918,0.339996080794417,1133,893,1827,1412,812,3509,"Olfr140","olfactory receptor 140"
"529","ENSMUSG00000073915",0.947200855244664,0.821626073376243,6.43140372914806,0.011211993357683,0.350513618422944,39,23,56,56,77,79,"Olfr676","olfactory receptor 676"
"539","ENSMUSG00000057424",0.824186835469984,0.881018046214652,6.39402106789645,0.0114505356290617,0.350513618422944,35,24,66,86,29,106,"Olfr934","olfactory receptor 934"
"555","ENSMUSG00000075377",0.734806030242731,1.18263550348842,6.32623937470733,0.0118964316605188,0.354320748375452,44,46,74,99,55,112,"Olfr362","olfactory receptor 362"
"645","ENSMUSG00000073956",-0.67059144281179,2.34136480277269,6.01246705254488,0.0142051535676872,0.405979792537716,181,181,243,180,86,111,"Olfr592","olfactory receptor 592"
"650","ENSMUSG00000075092",0.635248549733801,1.68563694240539,5.99239207218968,0.0143677059065072,0.405979792537716,98,46,102,144,72,151,"Olfr1232","olfactory receptor 1232"
"681","ENSMUSG00000073950",0.541266116286612,2.56069837896638,5.87344811570122,0.0153709162428878,0.416399295082564,139,132,202,198,183,279,"Olfr599","olfactory receptor 599"
"689","ENSMUSG00000070374",0.594383375617924,1.9586844182692,5.85243920403584,0.0155554758142907,0.416399295082564,106,106,92,181,126,137,"Olfr59","olfactory receptor 59"
"697","ENSMUSG00000073938",0.865941130128514,0.636121696060781,5.81721793438112,0.0158700275802792,0.416399295082564,44,18,46,71,48,63,"Olfr632","olfactory receptor 632"
"734","ENSMUSG00000068950",-0.946867494665349,0.253635761957732,5.68108037101236,0.0171488050957283,0.438788149750703,52,54,41,36,14,26,"Olfr338","olfactory receptor 338"
"754","ENSMUSG00000073955",1.90686399169154,-1.83382825197956,5.64355263882708,0.0175196720408629,0.438788149750703,2,7,1,16,11,6,"Olfr593","olfactory receptor 593"
"774","ENSMUSG00000067186",0.493498447953301,3.17335021182601,5.59824159849424,0.0179785132916257,0.440273814386034,280,216,239,322,255,432,"Olfr132","olfactory receptor 132"
"837","ENSMUSG00000094285",0.54166960284418,4.91467703717532,5.40080163089263,0.020127504794698,0.474335880075096,702,884,748,1105,621,1819,"Olfr743","olfactory receptor 743"
"844","ENSMUSG00000099486",0.423341495155119,3.66329113548883,5.37579571276028,0.0204180254543358,0.474335880075096,356,258,440,563,266,570,"Olfr1228","olfactory receptor 1228"
"851","ENSMUSG00000056822",0.521942235480876,4.41506980075213,5.35518620121636,0.0206607279887519,0.474335880075096,646,412,560,745,372,1396,"Olfr166","olfactory receptor 166"
"902","ENSMUSG00000059460",0.770071919216133,0.541961683851257,5.19262006677945,0.0226829942637752,0.510135911809801,35,32,35,58,42,70,"Olfr286","olfactory receptor 286"
"924","ENSMUSG00000095917",0.410491952218002,4.24115934351726,5.13811344860829,0.0234060699145936,0.513140612451264,604,509,493,635,578,853,"Olfr740","olfactory receptor 740"
"950","ENSMUSG00000107677",0.806199245450087,0.71867310159532,5.08587404744571,0.0241215150799037,0.513140612451264,37,23,57,80,48,63,"Olfr316","olfactory receptor 316"
"958","ENSMUSG00000075167",-0.895914799457799,0.171032048036732,5.07015304564959,0.0243412344842364,0.513140612451264,47,28,59,33,9,32,"Olfr1101","olfactory receptor 1101"
"970","ENSMUSG00000054938",0.621051924617121,2.447935045925,5.04625833259922,0.0246791764609047,0.513140612451264,138,181,107,272,143,219,"Olfr1346","olfactory receptor 1346"
"1116","ENSMUSG00000047535",0.692699901619539,1.13564716174313,4.79636593328398,0.0285198338701339,0.582015868979399,64,32,68,73,69,108,"Olfr67","olfactory receptor 67"
"1238","ENSMUSG00000049168",0.417797499324318,3.30733831997652,4.6813880817961,0.0304911011014145,0.610930789341069,272,251,303,344,257,488,"Olfr449","olfactory receptor 449"
"1290","ENSMUSG00000050813",0.42349377479921,3.5839789916215,4.60907306486198,0.0318032195741686,0.619054488662727,234,465,327,312,427,567,"Olfr332","olfactory receptor 332"
"1302","ENSMUSG00000072707",0.541560765077043,2.19605416545057,4.59742259399714,0.0320200597584169,0.619054488662727,151,100,105,257,89,183,"Olfr31","olfactory receptor 31"
"1359","ENSMUSG00000108167",0.416156285734754,3.49786149311051,4.53567831914842,0.0331952984443275,0.630710670442223,401,259,290,481,262,499,"Olfr1386","olfactory receptor 1386"
"1459","ENSMUSG00000059136",0.591666461914778,1.80726016496509,4.43258807948442,0.035259004814419,0.658566496703216,78,72,127,127,127,136,"Olfr539","olfactory receptor 539"
