"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"307","ENSMUSG00000071510",4.28805572758585,-2.43532495923255,3.88785387400455,0.0486365363220922,1,0,0,0,0,23,0,"Olfr172","olfactory receptor 172"
"414","ENSMUSG00000067513",-4.35811715403239,-3.15346185559246,3.60831624208781,0.0574912988735697,1,5,3,0,0,0,0,"Olfr1436","olfactory receptor 1436"
"482","ENSMUSG00000066240",-2.60520751222402,-2.12346860793795,3.39273514478665,0.0654842372962671,1,7,6,10,0,2,3,"Olfr517","olfactory receptor 517"
"760","ENSMUSG00000056853",3.05916507680643,-1.96340070071607,3.01151300924079,0.0826750876802999,1,0,0,5,3,22,6,"Olfr765","olfactory receptor 765"
"992","ENSMUSG00000094197",-3.08821911283768,-3.51340401041468,2.78382173170421,0.0952207035462041,1,0,0,4,0,0,0,"Olfr474","olfactory receptor 474"
"1165","ENSMUSG00000068574",2.8609072807284,-1.12511478302616,2.70862981761794,0.0998066831257473,1,5,0,2,2,46,20,"Olfr458","olfactory receptor 458"
"1313","ENSMUSG00000110526",-2.95806223508871,-3.56942247131312,2.61480061604803,0.105870831232744,1,4,0,0,0,0,0,"Olfr151","olfactory receptor 151"
"1326","ENSMUSG00000058692",3.7253970893695,-3.1706971678107,2.60945473438622,0.106228281950813,1,0,0,0,0,1,7,"Olfr846","olfactory receptor 846"
"1329","ENSMUSG00000109813",-2.63267966679637,-1.26794106608164,2.59983757766923,0.106874667429314,1,20,9,12,0,22,1,"Olfr1279","olfactory receptor 1279"
"1337","ENSMUSG00000044801",3.00113577196255,-3.59241488612939,2.59744119095435,0.107036403409907,1,0,0,0,0,0,3,"Olfr159","olfactory receptor 159"
"1435","ENSMUSG00000046041",-1.99093472694635,-0.548641458311054,2.51878090617564,0.112497524885782,1,34,15,27,3,31,3,"Olfr803","olfactory receptor 803"
"1577","ENSMUSG00000060170",-2.7921409975418,-3.6059499529339,2.40659197740474,0.120825152483579,1,0,0,3,0,0,0,"Olfr1371","olfactory receptor 1371"
"1689","ENSMUSG00000063380",1.91508098908258,-1.78311815870645,2.35184872590091,0.125134527862896,1,1,3,3,4,16,13,"Olfr945","olfactory receptor 945"
"2008","ENSMUSG00000108827",-1.87832200058213,-1.58943096751002,2.14333308573756,0.143190487684778,1,16,12,6,1,6,4,"Olfr1310","olfactory receptor 1310"
"2142","ENSMUSG00000074952",-1.39107077057306,0.216841896584525,2.04112446980327,0.153096437338782,1,43,39,39,12,45,9,"Olfr1308","olfactory receptor 1308"
"2237","ENSMUSG00000094266",2.56183415275144,-3.6955182965313,2.03756672820604,0.153454947060523,1,0,0,0,0,0,2,"Olfr340","olfactory receptor 340"
"2348","ENSMUSG00000075175",1.80285048825796,-1.16474133370687,2.03518279013229,0.153695706371637,1,18,1,3,19,10,22,"Olfr1086","olfactory receptor 1086"
"2352","ENSMUSG00000062527",2.18023643134021,1.17295412891708,2.02911789192252,0.154310147497392,1,165,1,16,37,144,83,"Olfr1408","olfactory receptor 1408"
"2436","ENSMUSG00000062199",2.11236534681135,-2.24053298582153,1.99392255187185,0.157931345684397,1,3,0,2,8,12,3,"Olfr1465","olfactory receptor 1465"
"2836","ENSMUSG00000111179",-3.46246863545003,-3.37346264365677,1.84737676881213,0.174088800164262,1,5,1,0,0,0,0,"Olfr996","olfactory receptor 996"
