"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000060827",2.93383116610568,4.50301139420445,87.1526639207739,1.00459618216239e-20,1.10706499274295e-17,93,155,137,633,2004,744,"Olfr1193","olfactory receptor 1193"
"3","ENSMUSG00000072707",2.36432654200577,3.9369434026612,78.1447063909936,9.57619141259174e-19,5.27648146833805e-16,92,154,172,532,885,761,"Olfr31","olfactory receptor 31"
"4","ENSMUSG00000109219",2.6551438056248,2.92881156738372,69.915005106668,6.19156620193876e-17,2.27436865151217e-14,33,81,54,191,580,340,"Olfr1299","olfactory receptor 1299"
"6","ENSMUSG00000108919",2.20859392600194,3.14435306154871,61.0384873283798,5.59698630230189e-15,1.54196972628417e-12,53,128,86,263,515,457,"Olfr1295","olfactory receptor 1295"
"7","ENSMUSG00000062608",3.14641647270633,2.13619046335223,57.1943613290674,3.94801468086963e-14,7.27148523982675e-12,10,33,34,178,287,188,"Olfr195","olfactory receptor 195"
"8","ENSMUSG00000094858",2.47698182894109,3.00629776355113,57.1888635710482,3.95906637377137e-14,7.27148523982675e-12,56,69,71,334,500,304,"Olfr1297","olfactory receptor 1297"
"10","ENSMUSG00000094612",1.96250556564858,3.58300018437466,51.5222898650942,7.07888109532736e-13,1.11441813815011e-10,138,133,126,603,543,448,"Olfr491","olfactory receptor 491"
"13","ENSMUSG00000044560",2.89882925147768,1.44232058997177,47.3428334551578,5.95956050171223e-12,8.2092945911086e-10,18,15,18,125,152,117,"Olfr1302","olfactory receptor 1302"
"14","ENSMUSG00000050818",2.15827254127582,3.98273438103662,45.3477583527717,1.64976722407163e-11,2.02004831214104e-09,78,171,279,608,797,750,"Olfr330","olfactory receptor 330"
"15","ENSMUSG00000095809",2.54103553183237,2.63223720293552,39.6228471803903,3.08058169071375e-10,3.39480102316655e-08,37,41,64,195,452,240,"Olfr1290","olfactory receptor 1290"
"17","ENSMUSG00000049372",2.2551305436439,2.2396683591624,36.1092199850676,1.86562049519167e-09,1.86901253245565e-07,19,54,71,139,277,236,"Olfr1183","olfactory receptor 1183"
"20","ENSMUSG00000056959",1.80186006466308,3.24717104038663,34.7198035657792,3.80738721738282e-09,3.49645059462989e-07,83,133,137,414,450,372,"Olfr315","olfactory receptor 315"
"24","ENSMUSG00000064252",1.51962919179651,3.65429055013351,31.3383413752426,2.16756413000528e-08,1.83742743943525e-06,125,188,241,474,520,586,"Olfr329","olfactory receptor 329"
"27","ENSMUSG00000062757",2.17738009419458,1.97133033282041,29.8355863609259,4.70280131133675e-08,3.70177646078078e-06,19,59,43,175,214,138,"Olfr1206","olfactory receptor 1206"
"31","ENSMUSG00000057149",1.45520993582269,3.35681416978843,26.9238269576451,2.11633689071771e-07,1.47660431189756e-05,85,224,164,316,520,426,"Olfr1301","olfactory receptor 1301"
"32","ENSMUSG00000075113",2.32680976343985,1.8606523980712,26.8988265487626,2.14389010801823e-07,1.47660431189756e-05,24,25,49,132,231,137,"Olfr1209","olfactory receptor 1209"
"40","ENSMUSG00000075085",1.56708011124253,3.00976659186015,23.0577529071264,1.57207298764652e-06,0.000101907319552145,68,131,138,269,463,276,"Olfr1242","olfactory receptor 1242"
"42","ENSMUSG00000047511",1.43295528582518,3.21506879565212,22.4286692263124,2.18094145057663e-06,0.000133522082140858,127,161,117,245,517,394,"Olfr1396","olfactory receptor 1396"
"46","ENSMUSG00000050763",1.03241682177964,4.28721926698691,21.7127945611627,3.16672149312422e-06,0.000183669846601205,321,468,276,743,851,601,"Olfr1395","olfactory receptor 1395"
"56","ENSMUSG00000109547",1.29692817855654,2.79678820776312,19.1686784819355,1.19660803897405e-05,0.000659331029474702,90,127,113,186,291,376,"Olfr1294","olfactory receptor 1294"
"66","ENSMUSG00000059887",1.09269312375422,4.92921722948472,16.9781925522484,3.78116324946439e-05,0.00198421042900465,321,643,660,975,1630,883,"Olfr1507","olfactory receptor 1507"
"88","ENSMUSG00000096000",-5.68936116844755,-2.45179690244875,14.8611104329836,0.000115724387481709,0.00579673977294742,4,8,7,0,0,0,"Olfr773","olfactory receptor 773"
"102","ENSMUSG00000089892",1.79555720197464,0.66003212621894,13.836246281363,0.000199451251787442,0.00955631649868526,13,19,23,45,95,60,"Olfr1199","olfactory receptor 1199"
"334","ENSMUSG00000073955",-2.54087331866741,-2.04773930162074,7.98408546718287,0.00471903274316986,0.216682253457216,6,12,7,1,2,1,"Olfr593","olfactory receptor 593"
"410","ENSMUSG00000068808",1.10425285638772,0.990109958084257,7.39231354976199,0.00655031817033515,0.288738024948373,22,46,35,50,91,83,"Olfr1189","olfactory receptor 1189"
"454","ENSMUSG00000056883",0.657291207982267,3.85967214620301,7.06574615026115,0.00785715838121459,0.333022636003788,205,432,310,381,667,454,"Olfr533","olfactory receptor 533"
