"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"10","ENSMUSG00000075125",-6.7842716490974,-1.6859032820689,14.2803572306655,0.000157499898843383,0.153475124039138,44,6,1,0,0,0,"Olfr1181","olfactory receptor 1181"
"17","ENSMUSG00000045708",3.00794559031702,0.141390341592518,12.9681023449342,0.000316843002825614,0.153475124039138,6,2,11,24,52,104,"Olfr447","olfactory receptor 447"
"22","ENSMUSG00000061210",2.34906896840249,1.61003989616947,12.4508176953717,0.000417808867620159,0.153475124039138,35,16,30,87,217,219,"Olfr47","olfactory receptor 47"
"33","ENSMUSG00000059411",2.55926352472786,0.993895378815748,10.412239411992,0.00125182847090848,0.344878743735286,21,4,15,33,67,217,"Olfr434","olfactory receptor 434"
"53","ENSMUSG00000111021",-3.78070382871948,-1.39353443495788,8.91984986167362,0.00282087701135961,0.621721293303658,41,8,10,0,2,2,"Olfr50","olfactory receptor 50"
"149","ENSMUSG00000045150",-3.64554574245982,-2.20523786052783,5.72407890515391,0.0167338121913985,1,10,3,13,0,0,3,"Olfr1161","olfactory receptor 1161"
"180","ENSMUSG00000062186",-3.46445102034766,-2.09639608312312,5.22819718767367,0.0222235554602102,1,16,1,14,0,0,3,"Olfr395","olfactory receptor 395"
"195","ENSMUSG00000067522",-3.50336770801828,-0.360354411086092,5.07195535869305,0.0243159400040564,1,29,7,43,0,0,50,"Olfr76","olfactory receptor 76"
"222","ENSMUSG00000095831",-2.21183935485897,-0.684959514684339,4.92292358442406,0.0265026325675106,1,51,5,39,3,10,6,"Olfr453","olfactory receptor 453"
"235","ENSMUSG00000094182",-2.32986101121261,-0.727026281152177,4.85208143098466,0.0276127923343511,1,55,12,20,1,12,8,"Olfr937","olfactory receptor 937"
"267","ENSMUSG00000066240",-3.55563112547652,-2.21003987179087,4.60755423994984,0.0318314010792663,1,7,6,10,0,0,4,"Olfr517","olfactory receptor 517"
"272","ENSMUSG00000044040",-1.82572205592043,-0.374388203332051,4.59000721562996,0.032158878862548,1,33,14,53,4,18,13,"Olfr1497","olfactory receptor 1497"
