"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000046678",2.94602873207851,4.38528262849964,179.653732261724,5.76799673175983e-41,6.35633239839933e-38,93,187,117,1092,872,939,"Olfr981","olfactory receptor 981"
"3","ENSMUSG00000063867",2.50183565369485,3.92053725145229,168.502211944525,1.5714719156017e-38,8.65881025496537e-36,127,119,118,890,746,457,"Olfr1511","olfactory receptor 1511"
"5","ENSMUSG00000060254",3.18525033650902,2.69148819704016,110.385653943401,8.06667522766832e-26,2.96315870029683e-23,25,57,26,355,328,243,"Olfr980","olfactory receptor 980"
"8","ENSMUSG00000071185",1.77618507782461,2.69844445615611,50.883574018614,9.80103713967499e-13,2.62802187981649e-10,87,94,54,367,301,152,"Olfr1357","olfactory receptor 1357"
"9","ENSMUSG00000051528",2.40503486301956,1.75021391437296,50.4987825113356,1.19238742278425e-12,2.62802187981649e-10,24,38,23,175,123,142,"Olfr424","olfactory receptor 424"
"11","ENSMUSG00000044213",2.27154479752041,1.42215198853319,44.730613073362,2.26094546773963e-11,4.15260317574845e-09,27,22,23,131,102,110,"Olfr1094","olfactory receptor 1094"
"22","ENSMUSG00000059473",1.57991340160315,2.45060360878262,28.4473820966666,9.6279866766604e-08,1.51572018823997e-05,46,98,81,275,258,132,"Olfr979","olfactory receptor 979"
"37","ENSMUSG00000101750",-1.13473322950876,4.34241540143168,21.37176973187,3.78300606599949e-06,0.00052110908559143,463,523,1326,448,240,263,"Olfr1392","olfactory receptor 1392"
"57","ENSMUSG00000043331",2.84040171434279,-0.296350145640832,17.3725844978014,3.07225655650201e-05,0.00376180747251691,8,6,1,33,30,40,"Olfr975","olfactory receptor 975"
"79","ENSMUSG00000044292",1.53664705410225,1.0674848254798,14.41444683417,0.000146672761837112,0.0161633383544497,30,38,17,92,65,81,"Olfr978","olfactory receptor 978"
"85","ENSMUSG00000096000",-5.89005580150456,-2.06875226897567,14.0389476722981,0.000179063116092416,0.0164014795430427,0,11,16,0,0,0,"Olfr773","olfactory receptor 773"
"87","ENSMUSG00000052508",-0.526961935256642,6.47406819656056,13.9046881004717,0.000192318173985325,0.0164014795430427,2439,4222,2015,2862,2265,1001,"Olfr536","olfactory receptor 536"
"90","ENSMUSG00000096477",-0.90688182147736,2.71428175637788,13.8933301199385,0.000193483878456947,0.0164014795430427,201,194,291,146,107,103,"Olfr92","olfactory receptor 92"
"97","ENSMUSG00000040328",-0.945359119382463,2.74746561602439,13.2747294801274,0.000269007701611305,0.0205753631328893,226,156,320,176,91,92,"Olfr56","olfactory receptor 56"
"99","ENSMUSG00000094200",-1.08477770582419,1.80948729009709,13.1992315684486,0.000280063926491234,0.0205753631328893,125,159,95,87,52,41,"Olfr237","olfactory receptor 237"
"105","ENSMUSG00000075427",-0.960757209495734,2.2778540172452,12.9251148910179,0.000324202755824366,0.0223294648074032,90,180,250,63,71,114,"Olfr288","olfactory receptor 288"
"115","ENSMUSG00000075068",-0.607563000436648,6.60143813200429,12.302044900121,0.000452462297554382,0.0293302030532311,2733,3137,3482,3360,1973,1186,"Olfr140","olfactory receptor 140"
"120","ENSMUSG00000096068",-5.63821981439112,-2.47872600131255,12.1494256890355,0.000491029825955956,0.0300619371224146,11,4,2,0,0,0,"Olfr486","olfactory receptor 486"
"124","ENSMUSG00000095917",-0.605441513875861,5.30631049003321,11.9646524444907,0.000542193213778209,0.0314472063991361,955,1237,1654,1148,576,783,"Olfr740","olfactory receptor 740"
"133","ENSMUSG00000057564",-1.01380157300311,1.63814716289197,11.5452170257858,0.000679237710084686,0.0369246163656856,68,135,136,51,55,51,"Olfr1508","olfactory receptor 1508"
"136","ENSMUSG00000050023",-0.909599580817088,2.1899672049097,11.4376338452376,0.000719713825607013,0.0369246163656856,171,200,106,96,114,47,"Olfr1176","olfactory receptor 1176"
"138","ENSMUSG00000096151",-0.568903054884792,4.09166111588645,11.3931555207137,0.000737152050857608,0.0369246163656856,428,376,846,418,253,371,"Olfr477","olfactory receptor 477"
"143","ENSMUSG00000044170",-0.665567865473185,3.97584235981275,11.2983804233561,0.000775747303556262,0.0371684142834348,438,575,547,424,404,185,"Olfr1384","olfactory receptor 1384"
"152","ENSMUSG00000051392",-2.56064625919269,-0.797696596280458,11.0862472469825,0.000869703074085308,0.0399338661517504,24,19,23,12,0,3,"Olfr1402","olfactory receptor 1402"
"166","ENSMUSG00000108167",-0.577753131955727,4.32542869418517,10.817856981339,0.00100525779381246,0.0443117635512532,542,664,738,580,441,290,"Olfr1386","olfactory receptor 1386"
"179","ENSMUSG00000059610",-0.493999579536182,5.52042925962923,10.2737077374643,0.00134939352810372,0.0571935256911654,1470,1075,1770,1306,949,757,"Olfr222","olfactory receptor 222"
"186","ENSMUSG00000059729",-0.783108204631045,2.66471241619444,10.1257969742712,0.00146208425351177,0.0595769156927766,214,184,237,175,108,90,"Olfr1385","olfactory receptor 1385"
"189","ENSMUSG00000073927",-1.31178177312868,0.438626318863979,10.0401977273463,0.00153160762552319,0.0595769156927766,56,53,39,24,20,15,"Olfr652","olfactory receptor 652"
"195","ENSMUSG00000046300",-0.810268597872219,2.39456618104514,9.90459215496926,0.00164866861714383,0.0595769156927766,194,180,156,137,112,61,"Olfr1412","olfactory receptor 1412"
"199","ENSMUSG00000060030",-1.52793947896026,0.151520140549482,9.87843634895816,0.00167226989782944,0.0595769156927766,60,41,23,17,19,7,"Olfr317","olfactory receptor 317"
"200","ENSMUSG00000062037",-0.53367980052872,4.25688310674309,9.87440412376704,0.00167593864471513,0.0595769156927766,447,565,823,497,319,404,"Olfr285","olfactory receptor 285"
"214","ENSMUSG00000071494",-0.498920582951265,4.66757036955301,9.5851811138861,0.00196154088487333,0.0675505642228253,680,880,850,783,561,382,"Olfr455","olfactory receptor 455"
"229","ENSMUSG00000073922",-1.09547051002894,1.03989398942789,9.34498951343658,0.00223595932681608,0.073590186111137,66,98,57,49,30,24,"Olfr659","olfactory receptor 659"
"231","ENSMUSG00000047286",-0.645188382648858,3.2640476584519,9.31691654134195,0.00227047761141439,0.073590186111137,306,347,292,224,223,152,"Olfr370","olfactory receptor 370"
"254","ENSMUSG00000063583",-1.08132896264753,0.987856893473561,9.09886149369931,0.00255768650494216,0.080530586527036,70,83,55,42,49,14,"Olfr1410","olfactory receptor 1410"
"275","ENSMUSG00000092077",0.588800647745724,3.75912928481065,8.82269607234201,0.0029750677695686,0.0910701300573499,300,250,319,450,442,384,"Olfr101","olfactory receptor 101"
"292","ENSMUSG00000049372",-1.15629928304753,0.749722561689374,8.59066763560556,0.0033789010462751,0.100636458189058,41,111,37,32,33,14,"Olfr1183","olfactory receptor 1183"
"300","ENSMUSG00000062914",-0.786858114768944,2.09493160337968,8.49060711040146,0.00356984663216327,0.103169139732514,142,150,137,104,72,71,"Olfr777","olfactory receptor 777"
"306","ENSMUSG00000061561",-0.915204690251408,1.8104331967955,8.44362229908289,0.00366325848749591,0.103169139732514,143,83,134,81,67,41,"Olfr373","olfactory receptor 373"
"310","ENSMUSG00000075377",-0.740780056832139,2.54008212014392,8.40359534461413,0.00374479636052682,0.103169139732514,133,195,263,124,96,115,"Olfr362","olfactory receptor 362"
"320","ENSMUSG00000070821",-0.775972932552565,3.47527945576528,8.26642053378371,0.0040385049672799,0.108547133510791,376,362,366,265,340,100,"Olfr1340","olfactory receptor 1340"
"331","ENSMUSG00000046450",-1.0733953208227,0.992136914260173,8.20537661228984,0.0041766438824573,0.109587179963522,74,52,74,69,17,22,"Olfr71","olfactory receptor 71"
"375","ENSMUSG00000054498",-0.911432987208015,1.53463759947086,7.77113738533209,0.00530876115812045,0.136052437122064,77,96,129,65,59,34,"Olfr308","olfactory receptor 308"
"385","ENSMUSG00000095483",-0.827027109156687,1.75518378057724,7.68429386165321,0.00557034714295532,0.137951003217024,64,144,148,62,76,49,"Olfr776","olfactory receptor 776"
"388","ENSMUSG00000050366",-0.739465065464423,3.589634452803,7.6640446685429,0.00563320793535944,0.137951003217024,274,459,487,379,186,175,"Olfr524","olfactory receptor 524"
"404","ENSMUSG00000043892",-0.51581264085115,3.99629797691664,7.58653453549301,0.00588058844941651,0.139462367060091,439,488,586,482,346,239,"Olfr1018","olfactory receptor 1018"
"407","ENSMUSG00000043911",-2.04758612625316,-1.11841351091984,7.56597949060292,0.00594803198895125,0.139462367060091,14,16,20,8,4,1,"Olfr922","olfactory receptor 922"
"435","ENSMUSG00000052417",-0.873545562906258,1.831695118928,7.37740819305004,0.0066048287060792,0.148636952268093,97,170,100,110,67,33,"Olfr720","olfactory receptor 720"
"438","ENSMUSG00000073111",-0.70595797270312,2.28425563886836,7.37624989307287,0.00660908408451593,0.148636952268093,191,165,118,145,111,49,"Olfr446","olfactory receptor 446"
"463","ENSMUSG00000057464",-0.763286939184658,1.83410773345024,7.17927033363024,0.0073750695403462,0.158328239698123,126,140,86,104,84,32,"Olfr1415","olfactory receptor 1415"
"465","ENSMUSG00000109801",-1.98623270404256,-0.906705267693709,7.15714209373683,0.00746660691495413,0.158328239698123,20,23,13,15,3,1,"Olfr1316","olfactory receptor 1316"
"466","ENSMUSG00000058114",-1.08598789003052,0.868506009379723,7.15608132830615,0.00747102401479344,0.158328239698123,40,103,58,39,25,24,"Olfr127","olfactory receptor 127"
"480","ENSMUSG00000043314",-0.479898241948416,3.80902115243768,7.09918788306776,0.00771188863532187,0.158334277878542,442,543,339,374,395,190,"Olfr30","olfactory receptor 30"
"484","ENSMUSG00000073938",-1.10897522332419,0.592759925165901,7.0851762337234,0.00777241753977807,0.158334277878542,45,71,42,42,25,11,"Olfr632","olfactory receptor 632"
"498","ENSMUSG00000051509",-0.717492310600084,2.14647749861402,7.03989112872948,0.00797138769479551,0.158334277878542,157,145,130,132,94,49,"Olfr414","olfactory receptor 414"
"503","ENSMUSG00000070378",-1.37227241485793,0.209007577471893,7.0114120982966,0.00809917744853532,0.158334277878542,48,55,21,34,8,10,"Olfr403","olfactory receptor 403"
"508","ENSMUSG00000063106",0.865486503870989,1.4254244898147,6.99151423480314,0.00818970402820046,0.158334277878542,48,57,45,90,84,93,"Olfr1510","olfactory receptor 1510"
"526","ENSMUSG00000050128",1.69127926374482,-0.431080504414415,6.89159308234466,0.00866020543370779,0.164543903240448,12,16,1,35,28,17,"Olfr1023","olfactory receptor 1023"
"543","ENSMUSG00000043354",-0.808415041478752,1.82147208115793,6.81709382082505,0.00902893789390484,0.168642195916663,95,161,107,61,65,72,"Olfr577","olfactory receptor 577"
"570","ENSMUSG00000075111",-0.646144404389432,3.13298644147975,6.71241796950884,0.00957438155103571,0.175849474487356,175,430,297,204,196,138,"Olfr1213","olfactory receptor 1213"
"574","ENSMUSG00000075079",-2.11231803042994,-0.421279111868987,6.68163782096669,0.00974110797906407,0.175978704802108,13,35,38,19,5,1,"Olfr1249","olfactory receptor 1249"
"606","ENSMUSG00000059189",-1.0063939341214,1.01680730314636,6.57851461589682,0.0103216990505472,0.183459876672629,56,43,117,41,33,24,"Olfr913","olfactory receptor 913"
"648","ENSMUSG00000067524",-0.678517142426379,2.47082524020333,6.44388694934244,0.0111334775278886,0.194747495805289,152,235,163,157,132,63,"Olfr1428","olfactory receptor 1428"
"655","ENSMUSG00000108674",-0.925580621294,1.5215365553184,6.41424504343431,0.011320844830718,0.194930796928926,82,120,87,103,46,23,"Olfr1359","olfactory receptor 1359"
"669","ENSMUSG00000059429",-0.677513136791704,2.12305497804953,6.37091594859567,0.0116005703806235,0.196674285529955,118,118,192,109,70,80,"Olfr365","olfactory receptor 365"
"684","ENSMUSG00000090129",-0.843932957363442,2.32290246653675,6.31779553640703,0.0119532140846823,0.199582453353332,80,260,205,109,78,83,"Olfr287","olfactory receptor 287"
"708","ENSMUSG00000055838",-0.821492405433579,1.34887844242769,6.24103153362524,0.0124823752795949,0.204071087493991,65,90,102,63,35,45,"Olfr357","olfactory receptor 357"
