"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"9","ENSMUSG00000066273",2.75402729378146,3.24247094133207,20.0841865175291,7.41068918440883e-06,0.00816657948121853,76,88,55,285,447,739,"Olfr33","olfactory receptor 33"
"45","ENSMUSG00000051340",2.45270912754127,0.318551392075673,12.090873479917,0.00050669231226627,0.217344271377641,21,19,2,78,62,37,"Olfr645","olfactory receptor 645"
"66","ENSMUSG00000056853",3.14471054980357,-1.25620332740142,10.6800704135231,0.00108295938868253,0.217344271377641,2,2,2,18,33,8,"Olfr765","olfactory receptor 765"
"77","ENSMUSG00000044814",2.68666837339343,-0.855195202063386,10.1360207348029,0.00145399705312556,0.217344271377641,5,6,2,31,22,24,"Olfr543","olfactory receptor 543"
"84","ENSMUSG00000059873",2.24331191766502,0.442429029322571,9.88069163721604,0.00167022145805111,0.217344271377641,7,15,19,52,115,29,"Olfr1029","olfactory receptor 1029"
"92","ENSMUSG00000066272",2.11284819618447,0.792277033636872,9.54440674674379,0.00200559639296184,0.217344271377641,14,15,18,22,62,167,"Olfr559","olfactory receptor 559"
"107","ENSMUSG00000094764",1.94972803782612,1.14230440510564,9.27137051673041,0.00232763468175536,0.217344271377641,52,43,6,147,84,67,"Olfr346","olfactory receptor 346"
"116","ENSMUSG00000096757",2.0575101828751,0.25026393486277,9.06473377857348,0.00260586471822192,0.217344271377641,25,13,7,62,42,58,"Olfr251","olfactory receptor 251"
"134","ENSMUSG00000049573",2.24805924706098,-0.259357712205505,8.57761703818634,0.00340320462119593,0.217344271377641,14,3,11,46,36,32,"Olfr780","olfactory receptor 780"
"137","ENSMUSG00000049806",2.05453774076092,0.514652080643502,8.56044686696097,0.00343545084501991,0.217344271377641,22,15,9,102,20,84,"Olfr466","olfactory receptor 466"
"139","ENSMUSG00000049926",1.95223732482911,0.993948307299096,8.49088304322881,0.00356930525657432,0.217344271377641,69,15,12,94,96,69,"Olfr921","olfactory receptor 921"
"141","ENSMUSG00000073972",1.82094506131908,2.05795060461551,8.47607249451996,0.00359848165816032,0.217344271377641,94,87,19,178,215,162,"Olfr553","olfactory receptor 553"
"174","ENSMUSG00000095903",1.85938392561104,0.320171450381977,7.88938135553387,0.00497258703820526,0.217344271377641,19,16,12,70,28,73,"Olfr968","olfactory receptor 968"
"176","ENSMUSG00000070855",2.70418955353628,-0.589826692678338,7.86425955154636,0.00504214699515154,0.217344271377641,11,8,0,29,29,33,"Olfr1116","olfactory receptor 1116"
"177","ENSMUSG00000066749",1.73863765425726,0.431838485021578,7.85687944387315,0.00506276967502792,0.217344271377641,17,28,14,63,56,59,"Olfr877","olfactory receptor 877"
"179","ENSMUSG00000074955",2.06021298694872,-0.460961759124192,7.84944507168259,0.00508363090395282,0.217344271377641,11,6,8,37,32,28,"Olfr1305","olfactory receptor 1305"
"181","ENSMUSG00000070375",1.9385203524822,0.926362432023437,7.82018434223554,0.00516659257740615,0.217344271377641,50,23,9,77,67,110,"Olfr406","olfactory receptor 406"
"183","ENSMUSG00000095030",1.7526864112877,0.475547805315753,7.77967130683242,0.00528374100014263,0.217344271377641,34,19,10,72,57,53,"Olfr1513","olfactory receptor 1513"
"187","ENSMUSG00000073925",1.99669734866696,0.389629386580482,7.73483417980342,0.00541655373949062,0.217344271377641,44,9,6,76,31,64,"Olfr654","olfactory receptor 654"
"196","ENSMUSG00000060827",1.60799340036,2.07793630296394,7.6253226553065,0.00575543719358744,0.217344271377641,116,67,32,230,148,176,"Olfr1193","olfactory receptor 1193"
"199","ENSMUSG00000094119",1.93980298656954,0.421542176193448,7.57310836903086,0.00592455236480642,0.217344271377641,41,9,10,60,45,69,"Olfr612","olfactory receptor 612"
"205","ENSMUSG00000056564",2.07501171298978,0.0580655723104759,7.50477292058099,0.00615356984737081,0.217344271377641,34,9,3,58,54,23,"Olfr324","olfactory receptor 324"
"206","ENSMUSG00000075115",1.60961490641292,1.44013106328001,7.48891851974081,0.00620798285733018,0.217344271377641,49,65,21,122,113,119,"Olfr1200","olfactory receptor 1200"
"211","ENSMUSG00000073920",1.81541967041636,0.827959268427931,7.43884137085402,0.006383097070176,0.217344271377641,62,14,13,81,73,72,"Olfr661","olfactory receptor 661"
"229","ENSMUSG00000045708",2.71276377711446,-0.840025369139725,7.22352567383035,0.00719542440209998,0.217344271377641,5,11,0,26,21,28,"Olfr447","olfactory receptor 447"
"236","ENSMUSG00000094080",1.58922826275855,0.555956484595067,7.14870990164031,0.00750179300234014,0.217344271377641,36,23,11,97,57,38,"Olfr8","olfactory receptor 8"
"237","ENSMUSG00000051180",1.67263416880392,3.5659524608608,7.13095692844774,0.00757642823753601,0.217344271377641,428,225,40,641,537,318,"Olfr522","olfactory receptor 522"
"238","ENSMUSG00000045812",2.09957990954234,0.356948390429742,7.11276264047633,0.007653706655847,0.217344271377641,33,21,2,57,57,54,"Olfr984","olfactory receptor 984"
"245","ENSMUSG00000056995",1.46738927636597,0.994790731626732,7.08438611773043,0.00777584519409747,0.217344271377641,46,34,21,112,84,61,"Olfr1178","olfactory receptor 1178"
"247","ENSMUSG00000073974",2.12889616448018,-0.753371471369036,7.0625351023866,0.00787125349526587,0.217344271377641,11,4,4,40,12,27,"Olfr551","olfactory receptor 551"
"248","ENSMUSG00000057464",1.92969170963466,1.72241175685848,7.04894230513349,0.00793120700209355,0.217344271377641,89,71,7,146,154,130,"Olfr1415","olfactory receptor 1415"
"249","ENSMUSG00000067064",1.49014225100323,1.27054296758489,7.03139124512061,0.00800931059741599,0.217344271377641,57,49,20,120,108,81,"Olfr1416","olfactory receptor 1416"
"259","ENSMUSG00000068815",1.97814414346749,-0.0761260459991601,6.9348854719765,0.00845304755329054,0.217344271377641,17,14,5,37,37,52,"Olfr1143","olfactory receptor 1143"
"261","ENSMUSG00000049864",1.5642323946275,1.33031716907384,6.914540287822,0.00854976193057954,0.217344271377641,60,51,18,109,110,104,"Olfr250","olfactory receptor 250"
"267","ENSMUSG00000050763",1.64285880960677,3.15640628232287,6.88213328961497,0.00870615888849894,0.217344271377641,213,210,48,405,370,388,"Olfr1395","olfactory receptor 1395"
"279","ENSMUSG00000075066",1.56300479689896,1.38804146477665,6.82566041339377,0.00898573235980052,0.217344271377641,92,27,23,138,83,109,"Olfr32","olfactory receptor 32"
"280","ENSMUSG00000052537",1.96766317145836,-0.457478847783382,6.82462702696343,0.00899093298790247,0.217344271377641,3,12,12,19,26,49,"Olfr198","olfactory receptor 198"
"281","ENSMUSG00000095248",1.5654727203342,1.41308388956119,6.82414972073913,0.00899333612302731,0.217344271377641,73,50,17,135,102,104,"Olfr681","olfactory receptor 681"
"295","ENSMUSG00000075218",2.74186688972072,-1.11177330284184,6.74189311729643,0.00941746367683048,0.217344271377641,7,0,4,11,12,38,"Olfr995","olfactory receptor 995"
"315","ENSMUSG00000063350",1.52383481024536,1.07660300298867,6.5991626522512,0.0102026738551042,0.217344271377641,52,27,26,78,89,103,"Olfr874","olfactory receptor 874"
"318","ENSMUSG00000075194",3.79905023928725,-1.56963508805053,6.58371944971591,0.0102915623370844,0.217344271377641,4,0,0,5,10,30,"Olfr1049","olfactory receptor 1049"
"319","ENSMUSG00000043925",1.58966165025973,2.63589456815023,6.58019969921473,0.0103119322914133,0.217344271377641,191,71,64,238,312,253,"Olfr544","olfactory receptor 544"
"322","ENSMUSG00000049057",1.6332394228201,2.62855370734542,6.57176182115436,0.0103609335694767,0.217344271377641,154,108,45,228,251,335,"Olfr1257","olfactory receptor 1257"
"325","ENSMUSG00000049315",2.07332773249263,-0.369539808612454,6.55227938430139,0.0104749880207523,0.217344271377641,20,5,5,31,28,41,"Olfr348","olfactory receptor 348"
"337","ENSMUSG00000059595",2.13062341046212,-0.840108747252605,6.46464675903438,0.0110041513539074,0.217344271377641,8,2,9,27,23,22,"Olfr935","olfactory receptor 935"
"340","ENSMUSG00000073937",1.48584496236034,1.56035684044654,6.44517528273612,0.011125406468805,0.217344271377641,90,38,29,137,153,86,"Olfr633","olfactory receptor 633"
"341","ENSMUSG00000073111",1.51223999452988,1.9204582793596,6.4333561363379,0.0111996758997243,0.217344271377641,97,63,35,158,137,194,"Olfr446","olfactory receptor 446"
"343","ENSMUSG00000069823",1.63563322025669,1.80074104420386,6.41730532448224,0.0113013518169839,0.217344271377641,114,64,15,171,140,129,"Olfr1","olfactory receptor 1"
"344","ENSMUSG00000111715",1.88003907719817,0.497563770863115,6.40674176288119,0.0113687844873941,0.217344271377641,48,12,8,54,53,72,"Olfr1246","olfactory receptor 1246"
"347","ENSMUSG00000046493",1.67246617826157,1.40102423261982,6.39976726032379,0.0114135325437313,0.217344271377641,84,33,17,110,87,142,"Olfr1352","olfactory receptor 1352"
"350","ENSMUSG00000109631",2.680705381809,-1.07419943367249,6.39672630747324,0.0114330996985285,0.217344271377641,15,2,0,27,14,18,"Olfr494","olfactory receptor 494"
"351","ENSMUSG00000073952",1.69777714511855,3.29020486691374,6.39501467244476,0.0114441284357479,0.217344271377641,249,117,85,271,371,671,"Olfr597","olfactory receptor 597"
"357","ENSMUSG00000075196",1.59724321550262,0.243850291462046,6.33871735583821,0.011813027386367,0.217344271377641,24,17,13,57,61,35,"Olfr1047","olfactory receptor 1047"
"360","ENSMUSG00000049018",1.69761567246641,0.0296971729635172,6.32855337297937,0.0118809190837341,0.217344271377641,13,12,18,32,54,46,"Olfr368","olfactory receptor 368"
"377","ENSMUSG00000060114",1.49742623422408,0.984477611584402,6.25737921899771,0.0123677031386712,0.217344271377641,53,17,32,76,69,104,"Olfr910","olfactory receptor 910"
"392","ENSMUSG00000049098",1.46381965913255,0.877300546528952,6.17442231954335,0.0129610223432306,0.217344271377641,39,21,29,64,55,116,"Olfr147","olfactory receptor 147"
"396","ENSMUSG00000075085",1.41779614527293,1.71249656271904,6.16502518532012,0.0130300518398793,0.217344271377641,64,73,35,107,161,150,"Olfr1242","olfactory receptor 1242"
"405","ENSMUSG00000073959",1.71371510792446,1.00276900300481,6.14773515439505,0.0131580500955503,0.217344271377641,70,28,9,78,92,80,"Olfr584","olfactory receptor 584"
"407","ENSMUSG00000048745",1.51981666635875,2.23817468855065,6.14204611992481,0.0132004481286835,0.217344271377641,145,75,36,217,166,219,"Olfr820","olfactory receptor 820"
"410","ENSMUSG00000043383",1.69301660944795,1.22296888011959,6.13479427560865,0.0132546968561666,0.217344271377641,62,69,4,118,112,58,"Olfr1342","olfactory receptor 1342"
"429","ENSMUSG00000057444",2.80770988668961,-2.14946066235419,6.04461799271452,0.0139487507362914,0.217344271377641,3,0,1,14,8,4,"Olfr915","olfactory receptor 915"
"432","ENSMUSG00000061614",2.80473773164775,-2.14832422009433,6.03902686449598,0.0139929953765472,0.217344271377641,3,0,1,15,2,9,"Olfr845","olfactory receptor 845"
"434","ENSMUSG00000052818",1.55277089558601,0.67975170047557,6.03801321622376,0.0140010321945688,0.217344271377641,50,24,10,87,51,63,"Olfr813","olfactory receptor 813"
"436","ENSMUSG00000070383",1.40505139474554,1.16058763353609,6.03493655264372,0.0140254549450089,0.217344271377641,66,36,21,109,93,77,"Olfr389","olfactory receptor 389"
"440","ENSMUSG00000064223",1.47533828224851,0.719005693906583,6.01380291318525,0.0141944041464032,0.217344271377641,30,29,20,84,42,87,"Olfr694","olfactory receptor 694"
"445","ENSMUSG00000100923",2.59251769093392,-1.92295115711517,5.99014521949121,0.0143860179936581,0.217344271377641,3,1,1,14,15,3,"Olfr10","olfactory receptor 10"
"450","ENSMUSG00000075086",1.66330847179102,1.0501186013595,5.96978727911703,0.0145530362804988,0.217344271377641,59,44,7,108,71,83,"Olfr1241","olfactory receptor 1241"
"451","ENSMUSG00000059031",1.96984233117354,-0.586168255867698,5.96563078277658,0.0145873811767152,0.217344271377641,14,3,8,25,19,41,"Olfr482","olfactory receptor 482"
"452","ENSMUSG00000059397",1.40177609314012,0.745092151144463,5.96357990256759,0.0146043582153456,0.217344271377641,33,37,18,72,76,62,"Olfr54","olfactory receptor 54"
"459","ENSMUSG00000073954",1.54445901814895,2.17863195499773,5.93588734704497,0.0148355971863937,0.217344271377641,80,72,50,106,168,333,"Olfr594","olfactory receptor 594"
