"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"9","ENSMUSG00000075074",2.15205831694224,1.85122360325182,54.7030326386912,1.4018979642251e-13,1.54489155657606e-10,35,54,35,155,305,118,"Olfr1254","olfactory receptor 1254"
"50","ENSMUSG00000048745",1.03688443668021,2.59821449458636,18.8890904277233,1.38542713539485e-05,0.00763370351602562,120,170,99,326,300,177,"Olfr820","olfactory receptor 820"
"124","ENSMUSG00000093839",1.07579611456062,1.40841269558042,12.7712547550521,0.000351986649528362,0.120626864660259,46,66,53,142,98,109,"Olfr462","olfactory receptor 462"
"153","ENSMUSG00000095765",0.64911500115426,4.52043078282889,12.0177467126024,0.000526963714297269,0.120626864660259,636,658,425,759,1431,626,"Olfr741","olfactory receptor 741"
"156","ENSMUSG00000035626",0.688945815554759,3.21343633951645,11.9471552500615,0.000547308823322411,0.120626864660259,286,220,194,456,321,349,"Olfr1509","olfactory receptor 1509"
"189","ENSMUSG00000057564",0.912459657198279,2.00928599311279,10.8488373524818,0.000988578058345233,0.181568836716074,70,75,128,201,120,188,"Olfr1508","olfactory receptor 1508"
"220","ENSMUSG00000111159",-5.28021122722713,-2.87263674063715,10.2342131592225,0.00137859408547431,0.217030097456098,1,6,8,0,0,0,"Olfr1337","olfactory receptor 1337"
"293","ENSMUSG00000045030",0.778275878477356,4.06156699750461,9.05206847536454,0.00262397786820515,0.361452951345259,398,390,334,539,1238,392,"Olfr1443","olfactory receptor 1443"
"366","ENSMUSG00000059503",3.89126177032439,-2.62603168241694,8.43041825372175,0.00368995458999424,0.451814439797073,0,0,1,4,2,13,"Olfr248","olfactory receptor 248"
"385","ENSMUSG00000043366",-0.882026427170889,1.35061848046741,8.19278800738463,0.00420572411452147,0.463470797420266,94,106,118,59,72,43,"Olfr78","olfactory receptor 78"
"408","ENSMUSG00000107711",-2.29883758422922,-1.4443956721757,8.01954271293496,0.00462752531322125,0.463593899560892,13,30,8,6,3,1,"Olfr320","olfactory receptor 320"
"457","ENSMUSG00000075075",0.792551629779827,1.50376557162065,7.68984296685165,0.00555324592129232,0.477378107085931,48,88,68,113,114,118,"Olfr1253","olfactory receptor 1253"
"460","ENSMUSG00000060759",4.74752471940161,-3.16946098251223,7.6645910944472,0.00563150217070518,0.477378107085931,0,0,0,5,4,1,"Olfr503","olfactory receptor 503"
"485","ENSMUSG00000063660",-4.62372026511727,-3.23644589951626,7.50707456664756,0.00614571105286252,0.483755255732464,3,4,2,0,0,0,"Olfr98","olfactory receptor 98"
"513","ENSMUSG00000062245",0.645572402347197,2.40583469530511,7.3058600702786,0.00687300914709024,0.50493707200623,160,131,113,244,168,221,"Olfr170","olfactory receptor 170"
"562","ENSMUSG00000060480",0.728928771013389,2.74140529247384,7.00020273446751,0.00815004852741886,0.561334592325974,202,134,151,277,360,187,"Olfr171","olfactory receptor 171"
"592","ENSMUSG00000045341",0.547658296007412,2.94579550378074,6.88536221302451,0.00869044554632242,0.563345352473371,173,242,200,260,350,286,"Olfr167","olfactory receptor 167"
"656","ENSMUSG00000109547",0.680379649426454,2.26584079807294,6.59890626679819,0.0102041431234512,0.595962572243212,86,154,107,125,330,137,"Olfr1294","olfactory receptor 1294"
"660","ENSMUSG00000075198",0.840830581526979,1.64594138196,6.5865489914943,0.010275216762814,0.595962572243212,62,63,91,152,151,88,"Olfr1045","olfactory receptor 1045"
"731","ENSMUSG00000109631",1.50275116120058,-0.698287282528618,6.36496751269785,0.0116395226312723,0.63521034723385,5,19,7,22,30,27,"Olfr494","olfactory receptor 494"
"772","ENSMUSG00000066061",2.75877158671913,-2.45983147560588,6.2230819970187,0.0126095426563169,0.63521034723385,2,1,0,10,9,2,"Olfr1335","olfactory receptor 1335"
"777","ENSMUSG00000094986",-1.18413070842819,-0.042565105513773,6.21305633486148,0.0126811503077538,0.63521034723385,47,41,37,14,22,19,"Olfr1454","olfactory receptor 1454"
"838","ENSMUSG00000064006",0.970217405930145,0.804273331810881,6.05947564830118,0.0138318747323737,0.65118752199774,57,35,21,67,111,43,"Olfr190","olfactory receptor 190"
"849","ENSMUSG00000110171",1.9758524671714,-1.01953669864754,6.01535287250625,0.0141819424028546,0.65118752199774,2,14,3,37,18,12,"Olfr484","olfactory receptor 484"
"894","ENSMUSG00000099486",0.41226675707306,4.06457922253671,5.88254495289566,0.0152917033945903,0.669961000639088,495,489,425,678,504,706,"Olfr1228","olfactory receptor 1228"
"937","ENSMUSG00000049456",0.607970622396156,2.0181935463206,5.79346334754554,0.01608586843365,0.669961000639088,77,120,118,143,174,156,"Olfr1404","olfactory receptor 1404"
"1080","ENSMUSG00000073973",0.656261405150652,2.3227619801477,5.47225385379927,0.0193206935478741,0.669961000639088,88,126,171,226,184,181,"Olfr552","olfactory receptor 552"
"1083","ENSMUSG00000067525",0.368086227288562,4.85731536500834,5.47077705573259,0.0193370260564709,0.669961000639088,879,1010,632,939,1154,1113,"Olfr1427","olfactory receptor 1427"
"1114","ENSMUSG00000063583",0.809089491808227,0.809094841105768,5.39152382113643,0.0202347929396079,0.669961000639088,25,65,36,60,83,66,"Olfr1410","olfactory receptor 1410"
"1116","ENSMUSG00000050030",0.626428930603227,2.05606898682291,5.38146318833301,0.0203518023433111,0.669961000639088,96,141,85,150,152,187,"Olfr728","olfactory receptor 728"
