"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000047050",2.9153811189057,1.24907574647514,48.9241376912761,2.66056320769199e-12,2.93194065487657e-09,23,14,15,76,140,165,"Olfr914","olfactory receptor 914"
"7","ENSMUSG00000095910",2.20465178306348,1.64598764868315,26.1394918470313,3.17620903218093e-07,0.000175009117673169,21,38,25,70,367,56,"Olfr469","olfactory receptor 469"
"31","ENSMUSG00000059189",1.49125870974914,1.3317358081907,15.8104869722912,7.00133778914317e-05,0.0257182474787859,30,59,26,41,229,80,"Olfr913","olfactory receptor 913"
"111","ENSMUSG00000060583",1.68754729264533,1.16187094111708,10.8166397696534,0.00100591891663055,0.277130661531717,27,24,28,36,237,58,"Olfr881","olfactory receptor 881"
"156","ENSMUSG00000062186",-3.43356923212028,-2.2300615325073,9.7665828174428,0.00177712451583167,0.3916782432893,10,11,6,0,1,1,"Olfr395","olfactory receptor 395"
"230","ENSMUSG00000062314",1.32030152158911,1.56648674316388,8.55075592730792,0.00345378774799933,0.561356797457821,37,42,59,48,272,89,"Olfr1505","olfactory receptor 1505"
"268","ENSMUSG00000059503",3.76054238848331,-2.71392891944073,8.12513182404333,0.00436558096136525,0.561356797457821,0,0,1,6,4,6,"Olfr248","olfactory receptor 248"
"290","ENSMUSG00000056184",1.67502396450351,-0.356244081676687,7.74970820845804,0.00537212203532353,0.561356797457821,5,18,13,33,34,33,"Olfr283","olfactory receptor 283"
"296","ENSMUSG00000066242",1.11452681512193,0.792818732102496,7.67661291521336,0.00559410692547248,0.561356797457821,34,31,36,40,96,79,"Olfr467","olfactory receptor 467"
"303","ENSMUSG00000073953",0.896753610460228,1.24943110439364,7.58928356828555,0.00587162788311481,0.561356797457821,34,74,50,48,137,97,"Olfr596","olfactory receptor 596"
"305","ENSMUSG00000066122",0.790907801705825,2.21720682746048,7.57990320339712,0.00590226096155936,0.561356797457821,137,99,98,175,203,157,"Olfr45","olfactory receptor 45"
"316","ENSMUSG00000075085",0.890106425151004,2.55414933023863,7.51675256195886,0.00611277819373308,0.561356797457821,159,124,107,185,366,160,"Olfr1242","olfactory receptor 1242"
"348","ENSMUSG00000095484",1.99541589805888,0.184016342177619,7.19663589990439,0.00730403754191637,0.619157643937834,25,13,5,16,76,68,"Olfr1480","olfactory receptor 1480"
"378","ENSMUSG00000096151",-0.654438958851365,4.40376841189005,7.01852628528993,0.00806705996124877,0.63499286266401,1065,759,723,368,652,499,"Olfr477","olfactory receptor 477"
"434","ENSMUSG00000075064",-4.99196402018358,-2.78351122963554,6.54074660849992,0.0105431092522609,0.771881077469284,0,16,0,0,0,0,"Olfr1506","olfactory receptor 1506"
"456","ENSMUSG00000055971",-1.31069573536136,-0.0633030135124189,6.43219735796815,0.0112069847908426,0.771881077469284,35,40,48,9,14,26,"Olfr378","olfactory receptor 378"
"517","ENSMUSG00000094200",0.675207919635511,2.14092428821991,6.02397726674089,0.0141128071879466,0.914841971830421,73,108,150,107,168,217,"Olfr237","olfactory receptor 237"
"565","ENSMUSG00000067513",-4.34961887224318,-3.25669619720853,5.75479602122247,0.0164437046788124,0.92026406661509,4,0,4,0,0,0,"Olfr1436","olfactory receptor 1436"
"572","ENSMUSG00000073973",0.649157372938861,2.37254274225935,5.73072540969922,0.0166705949931658,0.92026406661509,88,126,171,115,171,297,"Olfr552","olfactory receptor 552"
"575","ENSMUSG00000044798",0.678660416111415,1.98543290038874,5.72745110478709,0.016701707198096,0.92026406661509,58,123,119,97,176,167,"Olfr923","olfactory receptor 923"
"600","ENSMUSG00000109449",0.897382515296143,1.5821563279225,5.63758258241521,0.0175794297081069,0.922501501825419,65,58,68,86,201,77,"Olfr1280","olfactory receptor 1280"
"657","ENSMUSG00000049456",0.653766569319825,2.06776164317309,5.44072829039178,0.0196724651799339,0.970964031440974,77,120,118,100,191,178,"Olfr1404","olfactory receptor 1404"
"678","ENSMUSG00000058244",1.00217695720358,1.27102252300088,5.38890967284576,0.0202651295128334,0.970964031440974,27,39,79,34,174,91,"Olfr506","olfactory receptor 506"
"738","ENSMUSG00000059251",-2.73075217338576,-2.3384099792496,5.20043546466874,0.0225812304722635,1,2,13,7,0,4,0,"Olfr345","olfactory receptor 345"
"776","ENSMUSG00000063615",0.778656758995198,1.07958430456486,5.05182295076997,0.0246000437635787,1,27,84,45,54,101,80,"Olfr64","olfactory receptor 64"
"816","ENSMUSG00000062987",0.845487611388302,1.01788385701068,4.95135281772198,0.0260702609076361,1,35,55,39,38,147,59,"Olfr715b","olfactory receptor 715B"
"846","ENSMUSG00000075175",1.48625523560813,-1.15921569887924,4.86380213055649,0.0274258318824998,1,6,6,8,14,19,20,"Olfr1086","olfactory receptor 1086"
"921","ENSMUSG00000075179",0.69803590245408,1.52026514595522,4.71440110545539,0.0299109827754025,1,46,110,58,59,131,131,"Olfr1079","olfactory receptor 1079"
"950","ENSMUSG00000047511",0.64706905909863,2.63465769803026,4.63055911544329,0.0314073270648672,1,145,142,172,130,277,299,"Olfr1396","olfactory receptor 1396"
