"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000091601",2.69881287865263,4.71303978940213,209.871940291376,1.46488942478784e-47,1.6143081461162e-44,251,177,115,1260,1166,848,"Olfr93","olfactory receptor 93"
"6","ENSMUSG00000052537",3.25324522329238,1.96918749731531,103.87349690084,2.15655024822375e-24,1.18825918677129e-21,27,17,12,191,195,120,"Olfr198","olfactory receptor 198"
"12","ENSMUSG00000045148",2.111894227407,2.74692031748294,66.5554067900011,3.40195675243867e-16,1.24965211372914e-13,56,75,57,267,318,199,"Olfr1255","olfactory receptor 1255"
"14","ENSMUSG00000050813",1.49729799778329,4.48452417398268,61.3699504803497,4.72974306493873e-15,1.30304421439062e-12,358,300,205,1221,653,538,"Olfr332","olfactory receptor 332"
"15","ENSMUSG00000107417",1.19300343446353,4.26968394429919,46.2070911094182,1.06391223089621e-11,2.34486255689525e-09,305,330,249,673,711,546,"Olfr1383","olfactory receptor 1383"
"16","ENSMUSG00000095377",1.83683343941332,2.43542917738243,42.9037275933689,5.75009901039646e-11,1.05610151824282e-08,67,71,40,240,187,173,"Olfr91","olfactory receptor 91"
"104","ENSMUSG00000044170",0.386508927384763,6.23789414399628,13.1451229957826,0.000288268592195919,0.045381712657129,1922,1644,1374,2344,2061,1749,"Olfr1384","olfactory receptor 1384"
"144","ENSMUSG00000096000",-5.60509447819905,-2.21051353364348,11.3908960983669,0.000738049190525454,0.101666275994881,16,4,0,0,0,0,"Olfr773","olfactory receptor 773"
"164","ENSMUSG00000096477",0.883309666034021,2.32227559688366,10.7552616113613,0.00103983267427353,0.127321734116603,105,86,71,142,184,135,"Olfr92","olfactory receptor 92"
"201","ENSMUSG00000075220",-5.41810975415766,-2.30292857122088,9.84629063811112,0.00170174554451771,0.187532359005852,15,3,0,0,0,0,"Olfr993","olfactory receptor 993"
"234","ENSMUSG00000096409",-2.24205893993841,-0.805269395399996,9.19863389667391,0.00242195806939393,0.225078682251715,21,25,13,8,6,0,"Olfr890","olfactory receptor 890"
"237","ENSMUSG00000060112",0.711235046704196,3.27034693192112,9.17685552646212,0.0024509475381312,0.225078682251715,205,181,156,296,388,191,"Olfr60","olfactory receptor 60"
"316","ENSMUSG00000043226",0.99451797643867,2.13897203757565,8.22228283552514,0.00413791142785881,0.350767568730801,67,72,66,168,214,57,"Olfr1009","olfactory receptor 1009"
"332","ENSMUSG00000095075",-1.82389880791115,-0.567071950978503,8.05664031360781,0.00453371770043043,0.356868350419595,33,16,18,15,4,2,"Olfr782","olfactory receptor 782"
"346","ENSMUSG00000107677",1.07250699013766,0.71360040235747,7.91998098033682,0.00488917863764257,0.359191657245474,40,25,13,72,45,35,"Olfr316","olfactory receptor 316"
"409","ENSMUSG00000055838",0.72454901485764,2.30728417261899,7.49207817000542,0.00619709975445641,0.426825245588185,54,120,105,102,169,159,"Olfr357","olfactory receptor 357"
"419","ENSMUSG00000070311",-2.83100332097787,-1.92244316049507,7.37103463876884,0.00662827866450539,0.429668416957938,12,8,4,2,0,1,"Olfr894","olfactory receptor 894"
"509","ENSMUSG00000094182",1.26737789363921,0.0908101282024267,6.89313439857379,0.00865274163415924,0.529740071157971,11,13,20,36,35,29,"Olfr937","olfactory receptor 937"
"543","ENSMUSG00000075068",0.301397336880611,7.19222701458109,6.77058652079313,0.00926723742247217,0.537499770503386,4207,3452,2339,4733,3780,3099,"Olfr140","olfactory receptor 140"
"587","ENSMUSG00000049528",-0.856438489965755,1.22928238613497,6.54380880351917,0.0105249774518844,0.57992625759883,81,64,73,34,53,30,"Olfr429","olfactory receptor 429"
"655","ENSMUSG00000057444",4.4190451355532,-2.87844254417575,6.25870979439845,0.0123584174708181,0.588355390853215,0,0,0,5,0,3,"Olfr915","olfactory receptor 915"
"685","ENSMUSG00000075427",0.810312571076082,2.16090322664353,6.19740610334435,0.012793767465092,0.588355390853215,77,139,41,142,140,110,"Olfr288","olfactory receptor 288"
"711","ENSMUSG00000094755",-4.25415552129312,-2.95725325812489,6.10801543615388,0.0134570149171588,0.588355390853215,3,3,1,0,0,0,"Olfr1453","olfactory receptor 1453"
"719","ENSMUSG00000109813",2.4057686107113,-1.65166011897156,6.09216129828047,0.013578289245042,0.588355390853215,1,6,0,10,13,5,"Olfr1279","olfactory receptor 1279"
"739","ENSMUSG00000061798",1.19486812860073,0.188184029613905,6.03652082536502,0.0140128734184273,0.588355390853215,23,16,10,27,50,30,"Olfr1204","olfactory receptor 1204"
"760","ENSMUSG00000067971",0.760427819426551,2.82702214788297,5.98823905039894,0.0144015723069456,0.588355390853215,160,201,58,262,197,161,"Olfr1321","olfactory receptor 1321"
"762","ENSMUSG00000073909",-4.48011241462931,-2.81461510711277,5.98656571421257,0.0144152409737176,0.588355390853215,2,7,0,0,0,0,"Olfr688","olfactory receptor 688"
"813","ENSMUSG00000045514",-1.18387219968521,-0.0690803167697767,5.81958331886973,0.0158486990763583,0.592517634018761,22,42,27,9,17,12,"Olfr460","olfactory receptor 460"
"841","ENSMUSG00000111273",0.583864528123841,2.97965480220216,5.73255733717423,0.0166532142337126,0.592517634018761,146,172,151,254,258,169,"Olfr789","olfactory receptor 789"
"845","ENSMUSG00000058188",-1.32290861294336,-0.30150289078638,5.72168479920571,0.0167566438821973,0.592517634018761,37,23,19,9,9,11,"Olfr746","olfactory receptor 746"
"872","ENSMUSG00000073998",1.14930963583891,0.0276003420086841,5.64044418098032,0.0175507601454006,0.592517634018761,22,16,7,36,41,17,"Olfr520","olfactory receptor 520"
"875","ENSMUSG00000110621",-3.0157650046073,-2.15094311585569,5.62951233329636,0.0176605439601929,0.592517634018761,2,1,16,0,0,2,"Olfr837","olfactory receptor 837"
"886","ENSMUSG00000062142",-0.968329856010242,1.05333543217665,5.59014951739439,0.0180617543838887,0.592517634018761,89,53,50,47,50,9,"Olfr569","olfactory receptor 569"
"896","ENSMUSG00000089892",1.49901245800705,-0.618806996831154,5.56902442580975,0.018280943336332,0.592517634018761,4,17,4,16,26,17,"Olfr1199","olfactory receptor 1199"
"938","ENSMUSG00000075062",-0.60967127628118,2.52425156303007,5.47565953119035,0.0192830831110508,0.607141645382228,210,193,111,125,158,54,"Olfr1271","olfactory receptor 1271"
"994","ENSMUSG00000056600",0.656336713168303,1.9794835354268,5.31872261471852,0.021097471719995,0.639535706377866,95,69,61,125,87,126,"Olfr90","olfactory receptor 90"
"1022","ENSMUSG00000075166",-0.504054030426624,3.67412856252117,5.25709305876518,0.0218574970971864,0.639535706377866,462,399,249,333,343,119,"Olfr1104","olfactory receptor 1104"
"1028","ENSMUSG00000090824",-1.47813547473527,-0.400842018125091,5.24160216625491,0.0220529553923402,0.639535706377866,25,30,18,16,3,8,"Olfr1344","olfactory receptor 1344"
"1097","ENSMUSG00000063660",3.1140305040334,-1.9396505378435,5.11538619474371,0.0237145874849798,0.668970897387743,0,2,0,3,2,19,"Olfr98","olfactory receptor 98"
"1163","ENSMUSG00000078118",-1.38586944762411,-0.53874799832653,4.99138841965102,0.025473761533289,0.668970897387743,17,29,19,12,10,3,"Olfr483","olfactory receptor 483"
"1179","ENSMUSG00000063221",-1.3650473127918,-0.702604172170032,4.96355376640965,0.0258869543196091,0.668970897387743,25,20,13,6,9,6,"Olfr930","olfactory receptor 930"
"1187","ENSMUSG00000064006",0.691541806811762,1.27237949671886,4.94528887129129,0.0261618666147765,0.668970897387743,65,40,29,107,68,37,"Olfr190","olfactory receptor 190"
"1204","ENSMUSG00000062873",-1.91427435837966,-1.30155747229271,4.90970066328388,0.0267062689379191,0.668970897387743,11,21,7,4,1,4,"Olfr1355","olfactory receptor 1355"
"1219","ENSMUSG00000056822",0.440664969188494,4.43866114308492,4.88578584277191,0.0270787049923762,0.668970897387743,549,528,324,562,627,586,"Olfr166","olfactory receptor 166"
"1227","ENSMUSG00000049018",-0.936357121830298,0.319846349853357,4.87064278796358,0.0273173233960512,0.668970897387743,44,39,32,19,25,14,"Olfr368","olfactory receptor 368"
"1275","ENSMUSG00000069816",1.12200947446777,-0.0471916882479869,4.77629172945131,0.02885419197331,0.672893969498844,11,16,14,32,42,16,"Olfr23","olfactory receptor 23"
"1285","ENSMUSG00000050028",-0.492040035803925,3.74428400720646,4.76227364405528,0.0290900969141712,0.672893969498844,355,468,343,338,309,169,"Olfr745","olfactory receptor 745"
"1301","ENSMUSG00000050030",0.598662022437367,1.98254435469727,4.73025736184544,0.0296364503780856,0.672893969498844,86,94,55,106,127,102,"Olfr728","olfactory receptor 728"
"1314","ENSMUSG00000075132",-0.952831798237127,0.519567174725841,4.71108402834197,0.029968748444354,0.672893969498844,43,48,40,29,32,9,"Olfr1173","olfactory receptor 1173"
"1366","ENSMUSG00000095194",-2.07986140366493,-1.84969158312725,4.60829443151085,0.0318176637131293,0.672893969498844,13,5,6,1,3,1,"Olfr936","olfactory receptor 936"
"1395","ENSMUSG00000043366",-0.671447886703935,1.29049584685034,4.56763959452458,0.0325814283924012,0.672893969498844,113,78,33,60,46,24,"Olfr78","olfactory receptor 78"
"1404","ENSMUSG00000095804",-0.88290217468031,0.437252144886601,4.55257781835293,0.0328692247265588,0.672893969498844,48,35,41,21,25,18,"Olfr824","olfactory receptor 824"
"1406","ENSMUSG00000111259",-0.599099386337565,2.49265372215181,4.55006927085083,0.032917414649845,0.672893969498844,164,199,138,146,91,84,"Olfr1328","olfactory receptor 1328"
"1426","ENSMUSG00000075144",-3.04448341568843,-2.61787564858882,4.5282142016747,0.0333403916010496,0.672893969498844,2,3,6,0,1,0,"Olfr1156","olfactory receptor 1156"
"1435","ENSMUSG00000062314",0.746187414641744,0.860378898234805,4.51577656405404,0.0335836373161855,0.672893969498844,37,31,29,66,42,49,"Olfr1505","olfactory receptor 1505"
"1503","ENSMUSG00000109449",0.734737897226805,1.77342520189963,4.40000911568887,0.0359387384754461,0.691114966352865,43,101,51,120,87,88,"Olfr1280","olfactory receptor 1280"
"1517","ENSMUSG00000075136",-2.44391461403999,-2.44825832793172,4.38395373511455,0.0362787515776515,0.691114966352865,3,5,5,1,0,1,"Olfr1164","olfactory receptor 1164"
"1526","ENSMUSG00000068574",-1.60803181941956,-0.665663000061953,4.37055832927565,0.0365650092965582,0.691114966352865,12,24,24,14,4,3,"Olfr458","olfactory receptor 458"
"1544","ENSMUSG00000095286",0.560901906369773,2.27866536430407,4.3503372623017,0.0370016179807795,0.691114966352865,102,116,74,116,165,129,"Olfr117","olfactory receptor 117"
"1580","ENSMUSG00000109547",0.637683447574408,2.0854352793658,4.29570613817589,0.0382087261133571,0.701766936281992,118,85,50,119,121,119,"Olfr1294","olfactory receptor 1294"
"1655","ENSMUSG00000075210",-0.793091832612365,1.09607445703221,4.23669453271399,0.0395591153789182,0.708884936003252,79,60,50,57,50,11,"Olfr1012","olfactory receptor 1012"
"1660","ENSMUSG00000049573",-0.879807689887067,0.446328999537615,4.22286272209338,0.0398828185410178,0.708884936003252,47,37,40,15,27,23,"Olfr780","olfactory receptor 780"
"1694","ENSMUSG00000075141",-1.19631740118099,-0.0965054124653357,4.18728654849071,0.0407282365845918,0.712420900257463,28,31,26,14,25,3,"Olfr1160","olfactory receptor 1160"
"1732","ENSMUSG00000110912",0.712442556341064,0.879779206446491,4.13437642153186,0.0420205464970158,0.722615076926675,52,31,19,79,45,34,"Olfr1080","olfactory receptor 1080"
"1754","ENSMUSG00000073931",1.32625197894834,-0.699123235716071,4.11031249069811,0.042622486388597,0.722615076926675,7,14,3,27,18,10,"Olfr646","olfactory receptor 646"
"1815","ENSMUSG00000058244",-0.708333280770583,1.39112619593835,4.05587793055583,0.0440178248126239,0.734964287022902,87,54,95,61,50,28,"Olfr506","olfactory receptor 506"
"1932","ENSMUSG00000108534",0.78152696172206,0.611553093221912,3.96504094752199,0.0464543920889408,0.757559774873666,24,32,23,28,56,49,"Olfr1360","olfactory receptor 1360"
"1958","ENSMUSG00000073955",-2.39842180117971,-2.45124723294035,3.95450822036718,0.0467459752190647,0.757559774873666,3,8,2,0,1,1,"Olfr593","olfactory receptor 593"
"2040","ENSMUSG00000094254",-0.637194972579116,1.24965335991055,3.87628243219681,0.0489728825902626,0.778526986703767,69,86,55,58,44,29,"Olfr969","olfactory receptor 969"
"2077","ENSMUSG00000043692",-0.956772389119872,0.0222577570201585,3.85481375222805,0.049603433776434,0.778526986703767,29,30,33,19,17,10,"Olfr399","olfactory receptor 399"
"2097","ENSMUSG00000050654",0.830287259183527,0.668749567140557,3.83612966441811,0.0501591797241084,0.778526986703767,35,11,39,37,41,56,"Olfr215","olfactory receptor 215"
"2143","ENSMUSG00000049372",0.643929647914441,1.08142512822149,3.78302324451701,0.0517750326239126,0.792445638215996,52,38,31,60,62,56,"Olfr1183","olfactory receptor 1183"
