"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"15","ENSMUSG00000063350",2.40242556091289,2.52505107333843,23.8141272530169,1.06100873738461e-06,0.00091740500067127,34,85,39,115,297,345,"Olfr874","olfactory receptor 874"
"17","ENSMUSG00000049015",2.39695057562075,0.826965013729249,22.9473660754023,1.66498185239795e-06,0.00091740500067127,4,19,24,16,109,106,"Olfr1467","olfactory receptor 1467"
"21","ENSMUSG00000096409",2.55637180571021,0.699993262719378,19.567539675768,9.71051049379969e-06,0.00356699418805575,6,13,21,78,72,50,"Olfr890","olfactory receptor 890"
"37","ENSMUSG00000066750",1.84347528320559,1.61808513375081,15.4945342899534,8.27441672582483e-05,0.0227960180796474,28,41,38,53,122,211,"Olfr876","olfactory receptor 876"
"47","ENSMUSG00000060583",1.99608397349921,0.906560453260006,13.6079550564833,0.000225229092926293,0.049640492080955,17,11,26,23,46,183,"Olfr881","olfactory receptor 881"
"59","ENSMUSG00000094612",1.56591767634096,3.47112936814706,12.1348272349118,0.000494888529743659,0.0908945266295854,127,216,147,362,371,539,"Olfr491","olfactory receptor 491"
"68","ENSMUSG00000095212",1.55704999165173,1.51861656605662,11.3131650707937,0.000769594759379506,0.121156203548031,17,34,63,25,99,235,"Olfr473","olfactory receptor 473"
"75","ENSMUSG00000092077",1.34657771912311,3.85913349354947,10.3339857710667,0.00130602869843377,0.179905453209252,184,230,296,357,524,762,"Olfr101","olfactory receptor 101"
"112","ENSMUSG00000096705",4.18474675552812,-2.11760374969634,8.45123453516823,0.00364795731835238,0.446672107202703,0,1,0,0,20,4,"Olfr1329","olfactory receptor 1329"
"175","ENSMUSG00000058628",1.38728336733729,0.619016504641188,7.1893053104202,0.00733393686983022,0.80819984305529,8,35,30,26,44,100,"Olfr875","olfactory receptor 875"
"206","ENSMUSG00000096000",5.05009189312919,-2.51694676078547,6.78459048081114,0.00919481219080942,0.822731889785468,0,0,0,0,16,0,"Olfr773","olfactory receptor 773"
"224","ENSMUSG00000042801",-1.31140415359459,0.433023081506625,6.55963245537278,0.0104317910379454,0.822731889785468,33,67,54,12,33,13,"Olfr769","olfactory receptor 769"
"227","ENSMUSG00000062629",2.26745647358305,-1.66400546178496,6.54620293005704,0.0105108236792102,0.822731889785468,2,3,2,11,7,14,"Olfr114","olfactory receptor 114"
"243","ENSMUSG00000046913",-2.07796678455793,-1.24073091574507,6.42421179308875,0.0112574863021331,0.822731889785468,9,18,21,1,7,3,"Olfr1451","olfactory receptor 1451"
"248","ENSMUSG00000095484",2.03670991082904,-1.17738031168571,6.34635683696968,0.011762260753877,0.822731889785468,2,6,4,7,12,30,"Olfr1480","olfactory receptor 1480"
"261","ENSMUSG00000045479",-1.8072325228986,-0.569293067798829,6.26296650686135,0.0123287592887943,0.822731889785468,14,39,21,2,20,3,"Olfr459","olfactory receptor 459"
"283","ENSMUSG00000073893",1.30797872942442,3.66501266469256,6.13903330800527,0.0132229582385813,0.822731889785468,122,238,234,641,446,260,"Olfr472","olfactory receptor 472"
"289","ENSMUSG00000096747",-3.37703588879285,-0.954958078060742,6.11045512813983,0.0134384519202708,0.822731889785468,24,13,22,0,15,0,"Olfr823","olfactory receptor 823"
"304","ENSMUSG00000061626",-1.44121329635853,-0.0604593447368897,5.98755471476751,0.0144071606978658,0.835615320476216,21,48,44,12,13,10,"Olfr68","olfactory receptor 68"
