"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"6","ENSMUSG00000063020",4.06835988472632,0.533381020263927,49.1296685406595,2.39588863090746e-12,1.85517312065917e-09,4,2,5,59,30,104,"Olfr194","olfactory receptor 194"
"7","ENSMUSG00000060583",3.45032154176287,1.68677795634131,48.4623455054178,3.36692036417273e-12,1.85517312065917e-09,5,17,17,119,85,226,"Olfr881","olfactory receptor 881"
"8","ENSMUSG00000044798",3.14811639212765,3.23871005125445,46.1212140681235,1.11158289418302e-11,4.08321449796563e-09,34,50,43,406,180,683,"Olfr923","olfactory receptor 923"
"17","ENSMUSG00000049334",4.20160844472353,-0.631173655932173,29.7313351643179,4.96261368907799e-08,1.36720007134099e-05,2,1,1,26,21,33,"Olfr902","olfactory receptor 902"
"19","ENSMUSG00000110947",2.36477865781871,1.30614855457655,28.8073576581394,7.99468234492524e-08,1.76202798882152e-05,27,12,18,99,58,142,"Olfr1333","olfactory receptor 1333"
"21","ENSMUSG00000059595",3.28641078177862,0.843725584471396,27.0768608698356,1.95524371693817e-07,3.59113096010977e-05,3,13,7,79,36,117,"Olfr935","olfactory receptor 935"
"22","ENSMUSG00000068182",2.58021171379156,1.11480488806788,25.486139338423,4.45572502512268e-07,7.01458425383599e-05,14,17,10,55,69,146,"Olfr203","olfactory receptor 203"
"27","ENSMUSG00000096365",1.6336411637502,3.77703492508767,22.561489812092,2.03523639833323e-06,0.000280353813870402,138,157,172,375,357,838,"Olfr1463","olfactory receptor 1463"
"39","ENSMUSG00000061342",1.99800883514226,0.456728302474706,16.9044403120875,3.93095205329373e-05,0.00481323240303299,11,14,13,50,43,61,"Olfr1168","olfactory receptor 1168"
"62","ENSMUSG00000109322",-1.59350297445952,0.88082307744161,12.0068920721836,0.000530041729006052,0.0584105985364669,58,99,37,28,20,14,"Olfr1283","olfactory receptor 1283"
"78","ENSMUSG00000095917",-1.01969463085995,4.43648833019282,10.6379980958237,0.00110787533670062,0.110988965549462,769,834,486,523,268,266,"Olfr740","olfactory receptor 740"
"89","ENSMUSG00000062037",-1.01048278241052,4.31756795387362,10.1475407054236,0.00144493878099375,0.132693544721259,492,1058,399,389,358,184,"Olfr285","olfactory receptor 285"
"98","ENSMUSG00000096356",1.60061024566717,0.200023608132472,9.41920441908155,0.00214724661529935,0.18202044385076,9,14,16,43,27,50,"Olfr889","olfactory receptor 889"
"110","ENSMUSG00000059251",4.86987069877868,-2.69154280631587,9.01090032200572,0.00268374186209009,0.211248823715949,0,0,0,6,3,2,"Olfr345","olfactory receptor 345"
"122","ENSMUSG00000094285",-0.976366107754259,5.07817581428005,8.79671787890584,0.00301772951120147,0.221702528089601,920,1631,761,605,452,543,"Olfr743","olfactory receptor 743"
"137","ENSMUSG00000075196",1.50641339716357,0.116554752508446,8.21051218513047,0.00416483933262204,0.286853309034343,9,17,13,36,32,42,"Olfr1047","olfactory receptor 1047"
"154","ENSMUSG00000075068",-0.851386851979727,6.23606413328835,7.93426675521835,0.00485072794482952,0.314441305600125,2259,2664,1987,2207,864,1066,"Olfr140","olfactory receptor 140"
