"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000075159",2.92934582603498,4.60227017642432,216.71698004808,4.70454843026883e-49,5.18441237015625e-46,108,108,114,1364,602,838,"Olfr1110","olfactory receptor 1110"
"4","ENSMUSG00000094612",2.18281999314475,3.45211017529071,101.734060770265,6.34990884028968e-24,3.49879977099961e-21,80,74,80,529,288,340,"Olfr491","olfactory receptor 491"
"5","ENSMUSG00000059189",3.20823944842815,2.16388536324808,95.9605047926655,1.1719833422082e-22,4.30508547704479e-20,30,13,7,338,81,95,"Olfr913","olfactory receptor 913"
"17","ENSMUSG00000057349",3.19329335691658,2.53675581220341,60.5080918284859,7.32766382042107e-15,2.01877138252600e-12,13,19,35,333,176,153,"Olfr948","olfactory receptor 948"
"23","ENSMUSG00000044205",1.73859108659304,2.82584411823415,44.2060161248087,2.95571499155368e-11,6.51439584138431e-09,75,68,48,356,142,209,"Olfr983","olfactory receptor 983"
"42","ENSMUSG00000095804",1.92986104204297,1.45255802515542,32.9660816583812,9.37807887286796e-09,1.72244048631675e-06,25,24,16,135,73,62,"Olfr824","olfactory receptor 824"
"44","ENSMUSG00000051611",2.74181771886077,1.60517914320767,32.2183908374813,1.37780411536031e-08,2.1690573358958e-06,6,22,16,182,57,97,"Olfr112","olfactory receptor 112"
"55","ENSMUSG00000063777",3.65028757689711,0.144696369673882,27.8013615618714,1.34431470902997e-07,1.85179351168878e-05,0,6,3,55,28,37,"Olfr1469","olfactory receptor 1469"
"58","ENSMUSG00000048810",2.35019318785407,2.28218483466674,27.5638393718767,1.51993921955082e-07,1.86108113327223e-05,16,37,33,312,104,109,"Olfr202","olfactory receptor 202"
"61","ENSMUSG00000096320",1.95291325172872,1.06678146594817,26.6297753398999,2.464167453374e-07,2.71551253361815e-05,24,14,11,105,38,64,"Olfr1471","olfactory receptor 1471"
