"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000044798",3.79461963693069,3.96964493143109,126.754788891733,2.10205471392547e-29,2.31646429474587e-26,34,50,43,181,1290,844,"Olfr923","olfactory receptor 923"
"7","ENSMUSG00000060583",3.4068620118265,1.80846405084577,88.0778248482863,6.29291704176705e-21,3.46739729001364e-18,5,17,17,27,309,157,"Olfr881","olfactory receptor 881"
"8","ENSMUSG00000058244",2.51197917889618,2.1589504481818,71.610780345927,2.62120666034641e-17,9.62856579900581e-15,17,43,28,78,374,136,"Olfr506","olfactory receptor 506"
"16","ENSMUSG00000096365",1.66772019494722,3.86242527698695,35.2894886001165,2.84161594316523e-09,7.82865192342021e-07,138,157,172,218,875,684,"Olfr1463","olfactory receptor 1463"
"21","ENSMUSG00000058014",1.77049803307347,1.47919563745522,31.1838759868603,2.34707499036345e-08,4.7894814637434e-06,16,41,29,37,177,117,"Olfr502","olfactory receptor 502"
"22","ENSMUSG00000049334",4.23125298352117,-0.377992528298273,30.9794844495149,2.60770315630312e-08,4.7894814637434e-06,2,1,1,8,63,31,"Olfr902","olfactory receptor 902"
"25","ENSMUSG00000059595",2.6371029290112,0.416923191538407,29.62174937586,5.25124042040174e-08,8.26695277611817e-06,3,13,7,29,117,23,"Olfr935","olfactory receptor 935"
"33","ENSMUSG00000096356",2.00530382044632,0.530616565123812,23.7114567037462,1.11914330625495e-06,0.000154161990436619,9,14,16,27,71,73,"Olfr889","olfactory receptor 889"
"36","ENSMUSG00000075196",2.0302793065551,0.665055496125292,23.3336197159741,1.36198441034281e-06,0.00016676742446642,9,17,13,24,122,46,"Olfr1047","olfactory receptor 1047"
"37","ENSMUSG00000063020",2.97816273030146,-0.287970052459843,22.1101682008309,2.57442485880643e-06,0.000283701619440469,4,2,5,11,33,59,"Olfr194","olfactory receptor 194"
"42","ENSMUSG00000096465",1.37509700011143,1.46818476720525,20.5173980728104,5.90916957118129e-06,0.000591991351585617,30,43,32,70,167,68,"Olfr488","olfactory receptor 488"
"54","ENSMUSG00000061210",1.26544446436449,1.58292324871448,17.658407350087,2.64344202057049e-05,0.0024275609222239,19,44,61,35,158,134,"Olfr47","olfactory receptor 47"
"71","ENSMUSG00000095903",1.45730704605528,0.683000099297265,15.5414608595776,8.07154008484363e-05,0.00684218244115206,13,27,19,38,89,47,"Olfr968","olfactory receptor 968"
"80","ENSMUSG00000110947",1.66435161405292,0.816977776066545,14.0617776315373,0.000176902504608512,0.0139247542913272,27,12,18,47,107,46,"Olfr1333","olfactory receptor 1333"
"89","ENSMUSG00000061342",1.62872485477105,0.269123923208202,13.3727570602966,0.000255305767941767,0.0187564637514551,11,14,13,27,75,32,"Olfr1168","olfactory receptor 1168"
"114","ENSMUSG00000059873",1.66886421973713,0.365106072517164,11.6239765826023,0.000651070543124519,0.0448424836577012,3,17,27,35,34,70,"Olfr1029","olfactory receptor 1029"
