"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"71","ENSMUSG00000049498",2.07211153608864,-0.47141991946822,10.8103912390948,0.00100931970547498,1,4,5,9,21,27,39,"Olfr1449","olfactory receptor 1449"
"88","ENSMUSG00000095484",-2.66790923165854,-1.80066912147013,9.4268762623633,0.0021382820882156,1,10,10,8,2,2,1,"Olfr1480","olfactory receptor 1480"
"144","ENSMUSG00000073955",4.93718011353034,-2.79715739711394,7.60815924340373,0.00581047695817941,1,0,0,0,0,4,7,"Olfr593","olfactory receptor 593"
"145","ENSMUSG00000073960",4.70905966644525,-2.83152282668867,7.56015117316603,0.00596729861950464,1,0,0,0,6,3,2,"Olfr583","olfactory receptor 583"
"153","ENSMUSG00000096705",-3.02749578953543,-2.30907596699646,7.3248945108814,0.00680059556975153,1,2,5,11,0,1,1,"Olfr1329","olfactory receptor 1329"
"155","ENSMUSG00000060254",1.63500749703708,-0.065680700055827,7.30478767841617,0.00687711225483702,1,1,19,17,21,39,45,"Olfr980","olfactory receptor 980"
"224","ENSMUSG00000060759",4.60511535893585,-2.93002325940217,6.32291383762278,0.0119187618208721,1,0,0,0,0,2,7,"Olfr503","olfactory receptor 503"
"250","ENSMUSG00000096273",1.65907595284357,-0.625317003406896,6.02173998848008,0.0141307083668254,1,5,3,11,13,14,46,"Olfr1474","olfactory receptor 1474"
"273","ENSMUSG00000075139",1.64092409459179,-0.396709723161773,5.87687976967078,0.0153409847763689,1,0,14,16,14,34,32,"Olfr1162","olfactory receptor 1162"
"336","ENSMUSG00000094986",1.37620585312303,-0.40903177675172,5.38019576155226,0.0203665926121148,1,5,12,11,22,26,34,"Olfr1454","olfactory receptor 1454"
"468","ENSMUSG00000078116",-2.63078824585909,-2.54264336510193,4.67177809199008,0.0306621665122897,1,7,3,3,0,1,1,"Olfr828","olfactory receptor 828"
"508","ENSMUSG00000096254",1.7544126283349,-1.11829631972232,4.50065027683951,0.0338819664833365,1,0,5,11,14,19,14,"Olfr724","olfactory receptor 724"
"553","ENSMUSG00000096229",3.80591716862285,-3.23723541808732,4.43252646655242,0.0352602775470588,1,0,0,0,0,4,1,"Olfr774","olfactory receptor 774"
"595","ENSMUSG00000063615",0.933718578679911,0.783597857214787,4.26060230970424,0.0390060890410625,1,18,24,43,50,64,67,"Olfr64","olfactory receptor 64"
"639","ENSMUSG00000095903",1.16555867063598,-0.119412707306926,4.15600538185206,0.0414871376911798,1,13,14,10,26,43,30,"Olfr968","olfactory receptor 968"
