"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000075159",2.83032558629407,4.48846914414945,254.970312024926,2.14243939625895e-57,2.36096821467736e-54,108,108,114,1063,744,634,"Olfr1110","olfactory receptor 1110"
"3","ENSMUSG00000058820",3.58564840414008,3.26928119558985,133.156071910437,8.35763650612095e-31,4.60505771487264e-28,22,37,23,519,436,146,"Olfr146","olfactory receptor 146"
"4","ENSMUSG00000059595",3.50419770257777,1.3868165458976,89.7943840597574,2.64243292240888e-21,9.70653693498195e-19,6,12,6,100,142,46,"Olfr935","olfactory receptor 935"
"5","ENSMUSG00000057349",3.06140323860655,2.34405233470349,88.0547007596732,6.36691613421323e-21,1.75408539497574e-18,13,19,35,193,195,163,"Olfr948","olfactory receptor 948"
"8","ENSMUSG00000096109",2.6935501391521,2.17710997444151,75.8767745908869,3.01930545273938e-18,6.65454921783759e-16,22,22,25,219,167,93,"Olfr1537","olfactory receptor 1537"
"9","ENSMUSG00000096485",2.84929539479555,1.31005126027602,67.8074122557962,1.80270525882735e-16,3.3109686587129e-14,10,17,8,91,117,52,"Olfr1466","olfactory receptor 1466"
"10","ENSMUSG00000094986",2.5241898466764,1.65660092734659,67.0725295942746,2.6169970733591e-16,4.11990110691675e-14,21,27,8,127,132,63,"Olfr1454","olfactory receptor 1454"
"11","ENSMUSG00000094182",2.64187397302294,1.56843149453581,60.0834626204358,9.09190487236531e-15,1.25240989616832e-12,17,15,13,142,126,42,"Olfr937","olfactory receptor 937"
"12","ENSMUSG00000059189",2.51352807961575,1.51063205637267,58.8921704067774,1.66553648396464e-14,2.03935689481004e-12,30,13,7,154,100,36,"Olfr913","olfactory receptor 913"
"13","ENSMUSG00000094764",2.04510743088415,2.69786512849036,57.8130569889548,2.88250003927932e-14,3.17651504328581e-12,52,44,53,159,290,195,"Olfr346","olfactory receptor 346"
"14","ENSMUSG00000095903",2.56985881141097,1.84612567643277,56.4390187781605,5.79685594359749e-14,5.80739568167676e-12,13,29,17,168,146,60,"Olfr968","olfactory receptor 968"
"15","ENSMUSG00000057503",2.53546060105554,2.1123328006873,55.322585446702,1.02286530748507e-13,9.39331307373789e-12,18,30,23,229,144,79,"Olfr1459","olfactory receptor 1459"
"16","ENSMUSG00000049498",4.13109259730494,0.457397117402844,43.7329325627421,3.76384613577441e-11,3.19058341663338e-09,0,3,5,57,63,30,"Olfr1449","olfactory receptor 1449"
"17","ENSMUSG00000046913",3.02135457960516,0.684935672033756,42.5504598167776,6.88820752166633e-11,5.42200334919735e-09,8,6,5,56,84,28,"Olfr1451","olfactory receptor 1451"
"18","ENSMUSG00000046881",2.40879214571367,1.82501046730888,40.3246420418493,2.15078985106367e-10,1.58011361058144e-08,20,14,31,149,145,68,"Olfr374","olfactory receptor 374"
"19","ENSMUSG00000096365",1.47605925508748,4.27462089170616,38.5520251915735,5.33134200531522e-10,3.67196180616086e-08,340,133,153,733,716,305,"Olfr1463","olfactory receptor 1463"
"21","ENSMUSG00000062314",1.65924948719732,2.09803055938288,36.4472878471805,1.56851231942283e-09,1.01676504470821e-07,49,40,33,111,170,115,"Olfr1505","olfactory receptor 1505"
"27","ENSMUSG00000051611",2.27028715112369,1.17687715009383,29.890271312256,4.57201160266719e-08,2.79908710341069e-06,6,22,16,76,114,34,"Olfr112","olfactory receptor 112"
"30","ENSMUSG00000070377",1.26015112736903,3.91141986978088,29.4430421382229,5.75844055175194e-08,3.33989552001613e-06,154,179,188,486,587,258,"Olfr43","olfactory receptor 43"
"31","ENSMUSG00000043314",1.08583934892281,4.45887422912789,28.0408538089915,1.18781168645416e-07,6.54484239236242e-06,197,332,305,535,960,386,"Olfr30","olfactory receptor 30"
"33","ENSMUSG00000094745",2.5479831058772,0.736999469758869,27.4829962556164,1.58481752857944e-07,8.31651864997401e-06,20,9,2,59,66,38,"Olfr954","olfactory receptor 954"
"46","ENSMUSG00000094449",1.74169145028199,1.96331154363876,23.4638278968198,1.27284544122672e-06,6.18570942712352e-05,32,34,27,122,218,38,"Olfr972","olfactory receptor 972"
"47","ENSMUSG00000070820",-1.45243536981569,1.55689022326398,23.4365403846623,1.29102828333794e-06,6.18570942712352e-05,109,76,70,32,41,22,"Olfr1339","olfactory receptor 1339"
"75","ENSMUSG00000043698",-1.61597593254248,1.03455793648691,20.2164802102926,6.91545979639171e-06,0.000317534862317653,81,55,44,21,27,12,"Olfr62","olfactory receptor 62"
"183","ENSMUSG00000068950",1.75054776710005,0.491452474774278,15.2530517163801,9.40247113425794e-05,0.0041446092759809,7,17,11,29,74,24,"Olfr338","olfactory receptor 338"
"294","ENSMUSG00000049864",-1.44490161353873,0.66347066866829,13.0562895423435,0.00030226765007906,0.0128114980918125,50,49,33,25,17,9,"Olfr250","olfactory receptor 250"
"306","ENSMUSG00000096840",0.899078667592979,3.33306411177026,12.8950597045077,0.000329450587053998,0.013446464701241,152,146,109,204,445,179,"Olfr136","olfactory receptor 136"
