"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000044040",2.67178656781935,2.1540329589297,97.7613603814727,4.71968077235722e-23,5.20108821113766e-20,25,44,29,247,302,191,"Olfr1497","olfactory receptor 1497"
"3","ENSMUSG00000054526",2.14599746564903,3.02300946428048,56.4575698797959,5.74242265133399e-14,3.16407488088503e-11,57,117,72,599,307,402,"Olfr1500","olfactory receptor 1500"
"5","ENSMUSG00000066242",2.64452616038511,2.17734343321406,53.0532192227052,3.24632511371355e-13,1.19248342510411e-10,17,55,30,370,208,177,"Olfr467","olfactory receptor 467"
"10","ENSMUSG00000050128",2.67220266125175,0.627028785807745,42.8828064268111,5.81192184144852e-11,1.60118446731907e-08,9,18,6,107,82,57,"Olfr1023","olfactory receptor 1023"
"49","ENSMUSG00000059366",1.89170067439805,3.34248126479941,20.9012339795802,4.83582974235855e-06,0.00106581687521582,56,148,119,995,290,339,"Olfr959","olfactory receptor 959"
"72","ENSMUSG00000075199",1.47273340434936,2.54939764754179,18.087643740092,2.10966043266015e-05,0.00387474299465248,47,134,72,440,238,170,"Olfr52","olfactory receptor 52"
"82","ENSMUSG00000044170",0.553189126537909,5.22920996161229,16.8923580695523,3.95605327255326e-05,0.00572935532976809,916,806,749,1878,964,1652,"Olfr1384","olfactory receptor 1384"
"83","ENSMUSG00000075200",1.68936490576882,2.05659831809233,16.7973010610395,4.15924161870642e-05,0.00572935532976809,31,78,44,351,107,171,"Olfr1044","olfactory receptor 1044"
"87","ENSMUSG00000096000",-5.78876783744421,-2.55943384818861,16.5547660545466,4.72650440926901e-05,0.00578734206557161,4,8,7,0,0,0,"Olfr773","olfactory receptor 773"
"98","ENSMUSG00000054236",1.49637822656451,2.27602925766199,15.053720187785,0.00010449409396981,0.0115152491554731,28,102,87,321,184,187,"Olfr481","olfactory receptor 481"
"122","ENSMUSG00000091531",1.25020301278181,1.45068048411655,13.4747870205477,0.000241790634721572,0.0242230254057429,37,41,41,221,68,94,"Olfr102","olfactory receptor 102"
"182","ENSMUSG00000075064",3.74595538172699,-1.97455225564492,11.2204534541515,0.000809007252570052,0.0709802725694285,0,0,2,1,16,16,"Olfr1506","olfactory receptor 1506"
"183","ENSMUSG00000075166",0.698963508455381,3.42405122195435,11.156593533005,0.000837335338840808,0.0709802725694285,220,332,137,574,405,321,"Olfr1104","olfactory receptor 1104"
"194","ENSMUSG00000090097",1.12316349923137,0.729796348807359,10.9419269119666,0.000940123456749374,0.0738713619412043,15,32,37,47,70,97,"Olfr1182","olfactory receptor 1182"
"200","ENSMUSG00000063583",0.999756876452883,1.17157317739162,10.8173952001228,0.00100550855636848,0.0738713619412043,39,55,28,93,107,85,"Olfr1410","olfactory receptor 1410"
"338","ENSMUSG00000058515",1.14677570895567,0.657107267596346,8.58143767919083,0.00339607126343272,0.214485926578175,22,23,30,41,93,72,"Olfr933","olfactory receptor 933"
"341","ENSMUSG00000047225",1.10453627113086,0.540558892818683,8.5586708642585,0.00343880392122232,0.214485926578175,23,39,13,52,78,53,"Olfr684","olfactory receptor 684"
"346","ENSMUSG00000062037",0.526394560013639,3.71963071876024,8.5247961530775,0.00350339988966166,0.214485926578175,303,349,231,616,573,353,"Olfr285","olfactory receptor 285"
"366","ENSMUSG00000090951",0.872285629396411,1.76726894984719,8.36394244278174,0.003827392970187,0.221988792270846,39,71,90,127,176,120,"Olfr181","olfactory receptor 181"
"447","ENSMUSG00000075139",0.936661527762726,0.842413180637527,7.7144419780528,0.00547807903826501,0.280031473927259,21,54,27,73,82,65,"Olfr1162","olfactory receptor 1162"
"452","ENSMUSG00000049028",0.797004813031409,1.61894545397237,7.68461183907902,0.00556936575178605,0.280031473927259,57,66,57,102,157,119,"Olfr873","olfactory receptor 873"
"454","ENSMUSG00000046790",0.594218599521971,3.09447119591678,7.67778809880709,0.00559046499673294,0.280031473927259,234,234,103,387,352,252,"Olfr1341","olfactory receptor 1341"
"485","ENSMUSG00000036744",0.689017722405782,1.91765039747669,7.38562229379276,0.00657473178524364,0.315015409884282,47,103,93,126,153,172,"Olfr701","olfactory receptor 701"
"523","ENSMUSG00000052508",0.28804232700202,6.20354866034993,7.1554936216491,0.00747347241526303,0.343156941734161,1314,2380,1953,2707,2811,2517,"Olfr536","olfactory receptor 536"
"534","ENSMUSG00000050023",0.612880732827069,2.6668741309961,7.02830995101714,0.00802310356028703,0.349933356566628,108,210,99,174,360,218,"Olfr1176","olfactory receptor 1176"
"545","ENSMUSG00000095218",1.01458186141556,0.290293871567712,6.97705395164483,0.00825614089903115,0.349933356566628,18,24,21,45,51,56,"Olfr1338","olfactory receptor 1338"
"663","ENSMUSG00000045381",0.617375387689395,2.48242802704842,6.42178369554835,0.0112728880889631,0.447497833034519,152,166,54,276,227,143,"Olfr433","olfactory receptor 433"
"678","ENSMUSG00000049168",0.446769234673559,3.63388195538553,6.3634933774999,0.0116491964816296,0.447497833034519,206,429,253,441,600,368,"Olfr449","olfactory receptor 449"
"687","ENSMUSG00000054498",0.656991032506142,1.69555313015869,6.34424700842971,0.0117762587640663,0.447497833034519,60,93,53,140,143,100,"Olfr308","olfactory receptor 308"
"718","ENSMUSG00000046678",0.662990986210988,2.184509459854,6.24454441311933,0.0124576421018226,0.457610719873617,60,173,73,185,203,143,"Olfr981","olfactory receptor 981"
"790","ENSMUSG00000066748",0.595894960438158,2.15097199973814,5.9667374968294,0.0145782283182515,0.497149237172128,90,103,94,203,181,140,"Olfr145","olfactory receptor 145"
"841","ENSMUSG00000075153",1.30237567235362,-0.676443660692614,5.81985055902223,0.0158462912488604,0.497149237172128,3,13,12,22,27,27,"Olfr1135","olfactory receptor 1135"
"862","ENSMUSG00000068817",0.896097665739773,0.724655198928631,5.74344366501949,0.0165503129059846,0.497149237172128,16,61,23,60,72,64,"Olfr1140","olfactory receptor 1140"
"865","ENSMUSG00000043383",0.825686374029301,1.87240881885543,5.72587822317731,0.0167166738896526,0.497149237172128,30,100,99,157,174,113,"Olfr1342","olfactory receptor 1342"
"868","ENSMUSG00000057349",0.795380987809534,0.736424087159459,5.71884241164027,0.0167837923880227,0.497149237172128,26,36,35,65,71,64,"Olfr948","olfactory receptor 948"
"892","ENSMUSG00000107417",0.640253837428705,2.942530889407,5.63399455117231,0.0176154455094813,0.497149237172128,156,159,146,520,148,298,"Olfr1383","olfactory receptor 1383"
"921","ENSMUSG00000095608",0.811772395345594,0.757195661208402,5.56261761162695,0.0183479603649691,0.497149237172128,15,42,45,54,65,82,"Olfr247","olfactory receptor 247"
