"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000096695",4.16545967554726,3.07495363215253,61.9122482026979,3.59108906116517e-15,3.95738014540402e-12,7,80,14,332,679,376,"Olfr196","olfactory receptor 196"
"11","ENSMUSG00000060114",3.00109143253281,2.70940981056289,54.6693076901917,1.42616277872045e-13,7.85815691074968e-11,41,66,15,256,569,220,"Olfr910","olfactory receptor 910"
"12","ENSMUSG00000047050",4.06440139234369,1.02181424265517,51.2100618375298,8.29921468390295e-13,3.04857819388702e-10,2,15,3,93,164,72,"Olfr914","olfactory receptor 914"
"17","ENSMUSG00000111448",2.79810557102221,2.32503386863035,44.1462462230155,3.04735617438303e-11,8.39546626042525e-09,23,67,18,201,392,178,"Olfr912","olfactory receptor 912"
"19","ENSMUSG00000075176",3.93275212792136,0.898136931079198,42.1992512356584,8.24315739971709e-11,1.81679189089765e-08,0,16,5,67,165,68,"Olfr1085","olfactory receptor 1085"
"25","ENSMUSG00000042774",2.77816407254498,2.01032311145966,40.5412053671211,1.92513087722688e-10,3.53582371117337e-08,15,38,28,188,223,187,"Olfr1353","olfactory receptor 1353"
"33","ENSMUSG00000049926",2.37632966700723,1.96024072469251,28.3929605847319,9.90247250070645e-08,1.55893209939693e-05,28,32,26,85,192,278,"Olfr921","olfactory receptor 921"
"36","ENSMUSG00000063881",2.04793692926733,3.40058667817096,25.6382772528287,4.11789463636895e-07,5.67239986159823e-05,104,191,47,278,727,488,"Olfr376","olfactory receptor 376"
"41","ENSMUSG00000047960",2.28021946766033,2.09683027181261,23.9613642119698,9.82884096057294e-07,0.000120348697095015,60,41,17,182,182,229,"Olfr186","olfactory receptor 186"
"75","ENSMUSG00000046493",2.56711436708668,2.90839946942372,15.9948524488604,6.35149438510017e-05,0.00699934681238039,46,138,18,287,260,488,"Olfr1352","olfactory receptor 1352"
