"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000057654",3.12746482235161,4.78697663612792,323.163615534926,2.96351888934594e-72,3.26579781605923e-69,276,252,157,2206,1726,2090,"Olfr328","olfactory receptor 328"
"2","ENSMUSG00000059279",2.72336000036324,4.85990089706396,251.587037566429,1.17072655843267e-56,6.45070333696401e-54,408,243,270,2239,1855,2017,"Olfr224","olfactory receptor 224"
"3","ENSMUSG00000050818",2.89460872011169,4.16846946983817,226.472402417223,3.50492036071792e-51,1.28747407917038e-48,186,160,153,1547,1027,1266,"Olfr330","olfactory receptor 330"
"5","ENSMUSG00000072707",2.58284980585191,3.89093737424777,153.066030264814,3.70545982083931e-35,1.02085418064123e-32,183,173,150,1051,1022,1024,"Olfr31","olfactory receptor 31"
"6","ENSMUSG00000064252",2.30764904795163,4.10940662534879,120.770133730216,4.29076257034074e-28,9.45684070503099e-26,254,233,183,1529,803,1149,"Olfr329","olfactory receptor 329"
"8","ENSMUSG00000050763",1.75004384171905,4.64627619211839,95.6008566455531,1.40545586525722e-22,2.58135393918909e-20,519,445,382,1454,1205,2069,"Olfr1395","olfactory receptor 1395"
"9","ENSMUSG00000056959",2.47596338119553,3.4610856407068,91.4729706296712,1.13126915248097e-21,1.7809408657629e-19,198,80,127,976,599,655,"Olfr315","olfactory receptor 315"
"10","ENSMUSG00000063823",2.68274021755406,2.02208436095226,80.785051541892,2.51654438406015e-19,3.46653988904286e-17,37,41,51,281,287,279,"Olfr532","olfactory receptor 532"
"11","ENSMUSG00000050158",2.28382034236015,1.64116654889557,60.6420404056485,6.84563094781442e-15,8.38209478276832e-13,54,42,29,227,159,234,"Olfr165","olfactory receptor 165"
"12","ENSMUSG00000060765",2.48753197694061,2.50888391177837,54.9435045808458,1.24044654423862e-13,1.36697209175096e-11,126,38,56,385,317,444,"Olfr325","olfactory receptor 325"
"13","ENSMUSG00000052417",1.88522865560653,2.92558016368015,51.4748221332762,7.25212272972146e-13,7.26530840741186e-11,151,143,94,434,447,575,"Olfr720","olfactory receptor 720"
"18","ENSMUSG00000059910",1.70222290176957,1.32665169548546,31.0603288399207,2.50131724055951e-08,2.29704299924715e-06,57,29,53,154,139,161,"Olfr1265","olfactory receptor 1265"
"24","ENSMUSG00000081836",2.97347414791463,-0.315070498087299,29.547090601484,5.4574511331424e-08,4.62623934517148e-06,12,7,2,48,45,70,"Olfr1180","olfactory receptor 1180"
"39","ENSMUSG00000075127",1.9931779536986,-0.17850514655972,20.8637420504688,4.93141459780251e-06,0.000388172777627026,16,14,10,44,68,52,"Olfr1179","olfactory receptor 1179"
"42","ENSMUSG00000061798",1.82237380351495,0.0142619927549758,19.6889101501348,9.11286773055078e-06,0.000669492015937797,21,17,12,52,51,81,"Olfr1204","olfactory receptor 1204"
"45","ENSMUSG00000094285",0.681884366554824,4.97714891845404,19.0324968941463,1.28511115178082e-05,0.00088512030578904,1389,619,871,1776,1041,1810,"Olfr743","olfactory receptor 743"
"52","ENSMUSG00000094858",1.18726726431047,1.73725881296394,16.8269387623212,4.09478873127722e-05,0.00265438657756912,96,80,64,143,203,216,"Olfr1297","olfactory receptor 1297"
"79","ENSMUSG00000052508",0.474329682208143,5.86604177170933,13.5665483040626,0.000230252405871973,0.0140965639594952,2523,1678,1607,3283,2246,2664,"Olfr536","olfactory receptor 536"
"96","ENSMUSG00000062245",0.975657804741724,2.1944009438409,11.9171937788684,0.000556182006662882,0.0322585563864472,153,93,110,210,173,354,"Olfr170","olfactory receptor 170"
"100","ENSMUSG00000061489",0.914705625443409,2.36107200437159,11.5013942321714,0.000695440057976878,0.036517683501085,118,166,135,270,212,334,"Olfr525","olfactory receptor 525"
"101","ENSMUSG00000075203",-4.15405604129712,-2.79873709426901,11.5001906444149,0.000695890520438099,0.036517683501085,6,9,7,0,0,1,"Olfr1040","olfactory receptor 1040"
"113","ENSMUSG00000089892",1.42744064026743,-0.238670029872955,11.1038489296595,0.000861487417708326,0.0431526879233898,21,15,15,39,42,62,"Olfr1199","olfactory receptor 1199"
"121","ENSMUSG00000090129",0.870491464095255,2.21662402284457,10.6582741945483,0.00109579590400046,0.0525029167916742,131,127,127,279,225,221,"Olfr287","olfactory receptor 287"
"157","ENSMUSG00000108534",1.17895760334438,0.387852715900883,9.98211138246191,0.00158068329257223,0.0725797078506082,55,26,16,78,53,77,"Olfr1360","olfactory receptor 1360"
