"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"30","ENSMUSG00000047545",-1.4495358534891,1.24049726008793,17.2852049109666,3.21681778133363e-05,0.0353631857448554,53,142,88,16,46,19,"Olfr629","olfactory receptor 629"
"37","ENSMUSG00000073956",-1.3313089445262,1.36914276407947,15.9751324773221,6.41800104262349e-05,0.0353631857448554,68,103,136,16,39,41,"Olfr592","olfactory receptor 592"
"48","ENSMUSG00000046881",-1.63360743326307,0.452202714731017,14.900910204155,0.000113308301837523,0.0416219162083168,42,64,59,9,16,16,"Olfr374","olfactory receptor 374"
"97","ENSMUSG00000055033",-1.18923344067774,1.24871457747406,12.1656272328267,0.000486782926960706,0.0855372345062266,51,116,110,23,37,30,"Olfr420","olfactory receptor 420"
"98","ENSMUSG00000073924",-1.10704196649706,1.49629073910452,12.1641087900745,0.000487179375913749,0.0855372345062266,86,118,116,25,49,42,"Olfr656","olfactory receptor 656"
"101","ENSMUSG00000049806",-1.54438713646202,0.333280862070061,12.0840783910358,0.000508542328735631,0.0855372345062266,38,55,56,10,16,13,"Olfr466","olfactory receptor 466"
"103","ENSMUSG00000069421",-1.31877142305374,1.22464745409102,11.9607156997246,0.000543339965103073,0.0855372345062266,49,114,107,14,54,21,"Olfr810","olfactory receptor 810"
"134","ENSMUSG00000046643",-1.54582209113943,0.280905815684754,10.9168588614172,0.000952930489861387,0.131266174978406,27,60,55,5,20,14,"Olfr218","olfactory receptor 218"
"176","ENSMUSG00000060084",-1.04231564974866,1.33366262767153,10.1146751972173,0.00147093354033394,0.180107640160889,40,129,116,16,48,41,"Olfr748","olfactory receptor 748"
"235","ENSMUSG00000060254",-1.82136252488318,0.396639119867511,9.26827360518055,0.00233157369043999,0.256939420686487,16,70,62,0,38,10,"Olfr980","olfactory receptor 980"
"306","ENSMUSG00000066747",-1.11221398265681,0.861274757407022,8.60963174966394,0.00334389904204004,0.299736439178781,30,68,109,11,28,33,"Olfr878","olfactory receptor 878"
"365","ENSMUSG00000094192",-0.950751645205024,1.4384548897803,8.21891099305724,0.0041456070864506,0.299736439178781,72,110,117,36,47,34,"Olfr452","olfactory receptor 452"
"374","ENSMUSG00000046486",-1.34157267977935,0.103483165600483,8.18868827888373,0.00421523908731586,0.299736439178781,23,53,45,6,16,15,"Olfr231","olfactory receptor 231"
"401","ENSMUSG00000111306",-1.05149669554884,0.817175137869676,8.00995267165092,0.00465209534996909,0.299736439178781,51,70,73,18,30,24,"Olfr1065","olfactory receptor 1065"
"402","ENSMUSG00000075195",-1.74507564735803,-0.531167272701151,8.00945011306786,0.00465338658125695,0.299736439178781,18,31,29,2,10,7,"Olfr1048","olfactory receptor 1048"
"403","ENSMUSG00000111259",-0.905303655866472,1.63919629695517,8.00895028547088,0.0046546711578321,0.299736439178781,104,114,120,49,54,36,"Olfr1328","olfactory receptor 1328"
"444","ENSMUSG00000050198",-1.31101309275451,0.293837181571914,7.73780728998401,0.00540764260114392,0.299736439178781,21,65,56,11,13,17,"Olfr768","olfactory receptor 768"
