"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000094422",3.16632458139783,3.22580635319388,182.098304498033,1.68767823725609e-41,1.85982141745621e-38,48,75,56,390,627,707,"Olfr205","olfactory receptor 205"
"2","ENSMUSG00000066257",3.35302334079423,2.72471762628398,106.593925202956,5.46404405314514e-25,3.01068827328297e-22,43,42,25,253,485,490,"Olfr206","olfactory receptor 206"
"3","ENSMUSG00000042774",2.57233534782891,2.68568815576181,102.150132660283,5.1469380604587e-24,1.8906419142085e-21,38,64,67,174,556,398,"Olfr1353","olfactory receptor 1353"
"6","ENSMUSG00000095928",2.49533002965671,2.04084623799716,75.0186013589358,4.6630002068232e-18,1.28465655697979e-15,29,27,69,182,246,276,"Olfr204","olfactory receptor 204"
"17","ENSMUSG00000062712",1.23836409562922,4.2793474843101,48.971735596068,2.5967762343704e-12,5.72329482055236e-10,204,420,554,770,1068,922,"Olfr531","olfactory receptor 531"
"18","ENSMUSG00000093942",1.4073655642966,3.08369420397253,47.9296970903332,4.41779196708242e-12,8.11401124620804e-10,65,189,209,222,520,507,"Olfr46","olfactory receptor 46"
"30","ENSMUSG00000090894",1.19844422405622,4.45930316317242,38.1221590370271,6.64511662099692e-10,1.0461312166198e-07,342,376,599,1278,1014,855,"Olfr110","olfactory receptor 110"
"42","ENSMUSG00000062037",0.837558653448188,4.42659624287337,31.5969967557422,1.89722771789096e-08,2.6134311813948e-06,343,445,761,729,1059,1027,"Olfr285","olfactory receptor 285"
"51","ENSMUSG00000075068",-0.686019798521591,6.71489071309812,29.9698131240794,4.38824930119687e-08,5.37316747768772e-06,2180,3705,7469,2127,2237,3637,"Olfr140","olfactory receptor 140"
"59","ENSMUSG00000094285",1.20798510442317,5.66265967242158,28.0168567900123,1.20263273349501e-07,1.3253012723115e-05,574,1102,1391,2662,2822,1719,"Olfr743","olfactory receptor 743"
"226","ENSMUSG00000068431",0.590711324987607,4.76090897419251,14.537680261595,0.000137384054741586,0.0137633843932025,543,750,811,1213,1275,865,"Olfr742","olfactory receptor 742"
"270","ENSMUSG00000095917",0.537570402811285,5.13051944128904,13.3765685828326,0.000254787450190258,0.023397980842472,622,1076,1123,1387,1646,1201,"Olfr740","olfactory receptor 740"
"620","ENSMUSG00000069998",-1.03412490629265,0.733741530548542,9.2251174958017,0.00238717374124937,0.202358881758216,46,44,124,18,28,65,"Olfr372","olfactory receptor 372"
"645","ENSMUSG00000046493",0.820462858886016,2.34021126305891,8.98529500293746,0.00272160848374779,0.214229467792147,55,164,152,173,229,239,"Olfr1352","olfactory receptor 1352"
"678","ENSMUSG00000110947",1.12375036973215,0.705616763834397,8.80868787008353,0.00299799555985665,0.220252740464135,28,49,20,50,86,83,"Olfr1333","olfactory receptor 1333"
"770","ENSMUSG00000045030",0.66186257378864,3.46942875232444,8.33964883902516,0.00387890944336902,0.267159887912041,132,418,326,354,461,533,"Olfr1443","olfactory receptor 1443"
"884","ENSMUSG00000095706",0.879736908577762,1.31267757795253,7.80559184716956,0.00520848041901371,0.337632083632536,37,62,69,125,103,94,"Olfr209","olfactory receptor 209"
