"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000044798",2.96018082922799,4.4701100040029,68.4718267241214,1.28703278348329e-16,1.41831012739859e-13,79,141,175,1682,1478,441,"Olfr923","olfactory receptor 923"
"5","ENSMUSG00000044205",1.83843108301371,2.76095778809683,47.277437835528,6.16173966474834e-12,3.39511855527634e-09,52,111,77,293,460,182,"Olfr983","olfactory receptor 983"
"21","ENSMUSG00000067525",0.818242069130666,5.33235034890896,24.3148723696621,8.18050042950437e-07,0.000300497049110461,774,979,565,2425,1523,759,"Olfr1427","olfactory receptor 1427"
"28","ENSMUSG00000052058",1.43527867506572,2.62970398573017,19.215906688091,1.16736611591373e-05,0.00312411768132667,75,145,51,154,411,213,"Olfr901","olfactory receptor 901"
"30","ENSMUSG00000096477",-1.46542852936942,2.1940239196538,18.8454661161873,1.41747626194495e-05,0.00312411768132667,135,262,130,33,149,49,"Olfr92","olfactory receptor 92"
"34","ENSMUSG00000075064",-6.35386157737301,-1.91274501264004,17.3798305682059,3.06056587413466e-05,0.00562123932216066,1,16,16,0,0,0,"Olfr1506","olfactory receptor 1506"
"44","ENSMUSG00000075141",1.52978380238628,0.883443084704859,15.6841262618383,7.48497207003416e-05,0.0117834846016823,35,21,13,134,86,22,"Olfr1160","olfactory receptor 1160"
"48","ENSMUSG00000073964",-1.31159960661456,1.57154184262996,15.1024191779123,0.000101832705867319,0.0140274552332232,108,140,83,38,94,26,"Olfr570","olfactory receptor 570"
"71","ENSMUSG00000044560",1.6373546655433,0.58423817084096,13.0953738843955,0.000296025912306825,0.036246728373569,21,15,12,137,48,18,"Olfr1302","olfactory receptor 1302"
"80","ENSMUSG00000059610",-0.812664788379946,4.63959380455865,12.6226844613869,0.000381093654963698,0.0419965207769995,1221,737,636,495,664,382,"Olfr222","olfactory receptor 222"
"96","ENSMUSG00000096806",2.29360790750768,-0.0766108326036211,12.0089893392165,0.00052944560260175,0.0530408230970117,2,9,13,63,48,18,"Olfr312","olfactory receptor 312"
"103","ENSMUSG00000075387",-1.43794542107845,0.433552505950326,11.4908656818459,0.000699390543814484,0.0642273649402968,33,50,72,11,24,25,"Olfr341","olfactory receptor 341"
"114","ENSMUSG00000075072",-1.40347945346494,2.44775110948494,10.6400460874291,0.00110664915985173,0.0884562962028491,311,240,91,52,133,61,"Olfr48","olfactory receptor 48"
"115","ENSMUSG00000049149",-0.570022247782676,4.35761404349336,10.6116655492247,0.00112376419858429,0.0884562962028491,498,1024,450,331,894,281,"Olfr1258","olfactory receptor 1258"
"140","ENSMUSG00000096151",-0.73678634772391,3.97245818285284,9.67113718039859,0.00187185414793854,0.137518884735218,646,640,308,291,513,221,"Olfr477","olfactory receptor 477"
"150","ENSMUSG00000075091",-0.970523411637146,1.53740183181878,9.4018808992702,0.00216762957223338,0.143365090118739,57,159,88,31,111,35,"Olfr1233","olfactory receptor 1233"
"153","ENSMUSG00000047969",1.27452663856325,1.73216706229917,9.31417536207534,0.00227387698025285,0.143365090118739,45,59,23,326,92,33,"Olfr1093","olfactory receptor 1093"
"157","ENSMUSG00000058251",-1.98616235648775,-0.796972114305211,9.26032350666274,0.0023417165355148,0.143365090118739,11,31,26,4,5,8,"Olfr822","olfactory receptor 822"
"167","ENSMUSG00000096009",-1.72600958764001,-0.504572530933654,9.09059567830274,0.00256927177241037,0.149017762799801,25,28,27,14,8,5,"Olfr134","olfactory receptor 134"
"184","ENSMUSG00000047716",1.02149050991537,1.37056312079221,8.70078375246517,0.00318073260600247,0.173119731058792,36,69,33,128,101,66,"Olfr736","olfactory receptor 736"
"187","ENSMUSG00000095527",2.57916371951213,-0.433672384655115,8.63424748740066,0.00329901483868841,0.173119731058792,1,5,3,89,16,4,"Olfr888","olfactory receptor 888"
"197","ENSMUSG00000062712",0.831061321048408,4.67480910162865,8.43028339175279,0.00369022827393625,0.184093510552779,429,472,396,2181,637,396,"Olfr531","olfactory receptor 531"
"203","ENSMUSG00000074996",1.533060007553,0.308276294510621,8.29289238899562,0.00398005452470275,0.184093510552779,11,15,16,106,36,20,"Olfr199","olfactory receptor 199"
"208","ENSMUSG00000094200",-0.853986597817304,2.06272478280449,8.27959998823794,0.00400929605559592,0.184093510552779,124,166,139,65,134,65,"Olfr237","olfactory receptor 237"
"236","ENSMUSG00000049334",1.98628092725552,-0.0430128995452768,7.85068265708186,0.00508015210806975,0.221834393122611,4,14,5,101,23,11,"Olfr902","olfactory receptor 902"
"238","ENSMUSG00000096356",1.34445625107899,0.898473666506693,7.79681453417128,0.00523384230597811,0.221834393122611,18,24,31,153,61,28,"Olfr889","olfactory receptor 889"
