"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000059279",3.45273781246413,5.0849790423816,284.726037632998,7.01036822238849e-64,7.72542578107212e-61,92,124,162,1473,2131,1341,"Olfr224","olfactory receptor 224"
"2","ENSMUSG00000050818",3.20575483197601,4.35749812944784,214.975536551315,1.12824566566452e-48,6.21663361781151e-46,82,61,133,878,1082,967,"Olfr330","olfactory receptor 330"
"3","ENSMUSG00000056959",2.90412251738282,3.80046006853315,172.809606630047,1.80114655780603e-39,6.61621168900748e-37,73,54,92,648,652,618,"Olfr315","olfactory receptor 315"
"5","ENSMUSG00000060765",2.9353365167158,3.40534401690872,126.256315829694,2.70226960513799e-29,7.44475276215516e-27,44,51,65,473,589,405,"Olfr325","olfactory receptor 325"
"8","ENSMUSG00000062757",2.44060958250861,2.73912749062724,71.0921745342269,3.40919594373292e-17,7.51386785998736e-15,45,39,45,378,252,222,"Olfr1206","olfactory receptor 1206"
"9","ENSMUSG00000050158",2.81445023365366,2.00956164422306,64.9445978026053,7.70337288266453e-16,1.41485281944939e-13,17,11,44,149,190,206,"Olfr165","olfactory receptor 165"
"11","ENSMUSG00000040328",1.72406851811352,3.40497049021433,49.7454846846884,1.75040559299704e-12,2.75563851926105e-10,131,76,114,442,281,546,"Olfr56","olfactory receptor 56"
"12","ENSMUSG00000057654",2.38355772469475,4.27356139636746,49.3618428565729,2.12845630890384e-12,2.93194856551504e-10,120,117,132,741,381,1525,"Olfr328","olfactory receptor 328"
"13","ENSMUSG00000064252",2.31478082404755,3.94400546451196,44.5937202241423,2.42468116313007e-11,2.96888737974371e-09,67,119,146,640,356,1044,"Olfr329","olfactory receptor 329"
"14","ENSMUSG00000048378",2.36926719547779,1.70307450516646,41.3933063781466,1.244829069099e-10,1.3718016341471e-08,35,6,33,102,90,229,"Olfr1394","olfactory receptor 1394"
"22","ENSMUSG00000059504",2.29193165724873,2.49518957073549,30.5886055507061,3.18961480198126e-08,3.19541410162123e-06,29,44,43,224,116,402,"Olfr314","olfactory receptor 314"
"23","ENSMUSG00000075113",1.85187495603597,1.47790509330768,30.3013437225716,3.69869581921563e-08,3.39663566064635e-06,28,13,41,103,113,115,"Olfr1209","olfactory receptor 1209"
"24","ENSMUSG00000089892",1.99108692836976,1.08117541924975,30.0105975974783,4.29691521093439e-08,3.64246197111515e-06,16,16,21,73,116,69,"Olfr1199","olfactory receptor 1199"
"33","ENSMUSG00000052508",0.741239888994339,6.24992537028986,24.4991261752015,7.43435459909886e-07,5.85189912014782e-05,987,1305,1569,2244,2805,2541,"Olfr536","olfactory receptor 536"
"45","ENSMUSG00000049372",1.70253585869724,1.89763942177617,19.5449361269742,9.82608538719883e-06,0.000721889739779541,21,43,49,177,121,133,"Olfr1183","olfactory receptor 1183"
"57","ENSMUSG00000057149",1.08691995223676,3.06504729772544,17.3317165985346,3.13903750949494e-05,0.00216201208466464,100,97,157,302,211,383,"Olfr1301","olfactory receptor 1301"
"76","ENSMUSG00000073954",-1.14647383405989,1.44723772889161,14.2374605899577,0.000161130822252167,0.0103454108045706,85,60,106,33,40,62,"Olfr594","olfactory receptor 594"
