"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000059279",2.72314879178572,4.46468789992575,101.165954950959,8.4590818892469e-24,9.32190824195008e-21,92,124,162,731,1126,1192,"Olfr224","olfactory receptor 224"
"4","ENSMUSG00000047511",2.29286956704207,4.07271792549785,65.2594328984183,6.56591484631762e-16,3.61781908032101e-13,120,97,156,675,651,904,"Olfr1396","olfactory receptor 1396"
"6","ENSMUSG00000057654",2.87626974948691,4.67209466348001,63.6552593598698,1.48212762338993e-15,5.44434880325234e-13,120,117,132,606,1678,1302,"Olfr328","olfactory receptor 328"
"8","ENSMUSG00000109219",2.62871295765042,2.91139242207829,52.5738526737947,4.14369410940889e-13,1.14158772714215e-10,49,26,66,290,457,300,"Olfr1299","olfactory receptor 1299"
"9","ENSMUSG00000059504",2.39624000776554,2.49798967819945,52.0039298140585,5.5389669034881e-13,1.22078830552878e-10,29,44,43,182,309,261,"Olfr314","olfactory receptor 314"
"10","ENSMUSG00000056959",2.20524558790354,3.27332069052116,40.5097594118994,1.95636424206189e-10,3.59318899125367e-08,73,54,92,285,425,540,"Olfr315","olfactory receptor 315"
"11","ENSMUSG00000049372",2.0684739601556,2.1808514901766,39.8988493023472,2.67460722464998e-10,4.21059594509183e-08,21,43,49,112,279,188,"Olfr1183","olfactory receptor 1183"
"17","ENSMUSG00000093825",1.52604558112262,2.73153525732607,25.6175977359439,4.16226160969488e-07,5.7335153673547e-05,68,52,115,259,285,250,"Olfr723","olfactory receptor 723"
"30","ENSMUSG00000096254",2.25297223348944,0.934256462986567,18.6760774634736,1.54913931872206e-05,0.00189683503247968,13,4,27,41,110,88,"Olfr724","olfactory receptor 724"
"40","ENSMUSG00000068806",1.2511505007393,2.48682253139405,15.9658400190806,6.44958270839377e-05,0.00710744014464993,74,58,86,219,277,155,"Olfr1259","olfactory receptor 1259"
"44","ENSMUSG00000050818",1.50723769101997,3.07673090308082,14.932989127134,0.000111397917664538,0.0111600459333019,82,61,133,156,458,386,"Olfr330","olfactory receptor 330"
"49","ENSMUSG00000064252",1.23424894527123,3.19386480941908,14.11623109742,0.000171854467524456,0.0157819686009959,67,119,146,133,566,354,"Olfr329","olfactory receptor 329"
"61","ENSMUSG00000050158",1.46993217785883,0.983496576344909,12.8774689924122,0.000332561693432841,0.0281909989356147,17,11,44,49,75,94,"Olfr165","olfactory receptor 165"
"66","ENSMUSG00000056822",-0.822064826250754,4.73775077571978,12.3528434487679,0.00044031532204995,0.0346591060642175,506,703,1102,390,506,669,"Olfr166","olfactory receptor 166"
"71","ENSMUSG00000075117",1.23606491130812,1.68705106056936,11.5159294048258,0.000690023232679781,0.0506937068275412,43,30,50,120,175,77,"Olfr1198","olfactory receptor 1198"
"80","ENSMUSG00000075113",1.27459098032209,1.05307724403126,10.6900317903653,0.00107714355052572,0.074188262042459,28,13,41,75,70,81,"Olfr1209","olfactory receptor 1209"
"88","ENSMUSG00000057149",1.21532340062574,3.28079161379843,10.2630575042543,0.00135720562883475,0.087978858998582,100,97,157,173,663,305,"Olfr1301","olfactory receptor 1301"
"111","ENSMUSG00000078080",5.05046865713462,-2.61210033471346,9.07339584131756,0.00259354989552378,0.158782888048178,0,0,0,5,4,4,"Olfr585","olfactory receptor 585"
