"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000111448",3.10495651539068,2.95081792516751,172.171224699268,2.48294171316816e-39,2.73620176791131e-36,73,32,64,656,256,576,"Olfr912","olfactory receptor 912"
"4","ENSMUSG00000060114",2.88022274646069,3.18134018021811,121.754944693312,2.61186018309828e-28,1.43913496088715e-25,88,76,54,932,313,491,"Olfr910","olfactory receptor 910"
"9","ENSMUSG00000049926",1.96239769470902,1.96000310279302,49.4997458022644,1.98397428307727e-12,7.28779886650384e-10,70,53,40,332,146,181,"Olfr921","olfactory receptor 921"
"14","ENSMUSG00000096695",1.79136293081242,1.97810750445211,36.5183992348187,1.51231957493345e-09,4.16644042894166e-07,81,60,44,228,159,253,"Olfr196","olfactory receptor 196"
"19","ENSMUSG00000049674",1.85386491763705,0.825953574490582,30.266397101955,3.76594028751692e-08,8.30013239368729e-06,34,22,22,134,76,77,"Olfr714","olfactory receptor 714"
"28","ENSMUSG00000053391",0.731007781982437,4.63426739624344,24.1642657703755,8.84584661725348e-07,0.000162468716203556,910,633,461,1278,1009,952,"Olfr211","olfactory receptor 211"
"35","ENSMUSG00000042774",1.50412679404639,1.62756743309293,21.9138219353684,2.85172514985934e-06,0.000448943016449285,58,71,38,210,105,165,"Olfr1353","olfactory receptor 1353"
"76","ENSMUSG00000060112",1.02649284061596,3.08502879095477,15.5855494235462,7.88549416759442e-05,0.0108622682158613,305,210,100,521,289,375,"Olfr60","olfactory receptor 60"
"86","ENSMUSG00000094810",2.99767011122865,-1.39566425535232,15.0812046765087,0.000102983583671788,0.01260976768959,4,2,1,39,9,14,"Olfr907","olfactory receptor 907"
"155","ENSMUSG00000046493",0.958334316898078,2.30691794055069,12.3801147168399,0.000433930489289345,0.0478191399196858,171,131,56,370,161,159,"Olfr1352","olfactory receptor 1352"
"247","ENSMUSG00000073937",0.847573270790398,2.06908757035854,10.5570099395179,0.00115748280796707,0.115958732216337,115,141,61,241,182,134,"Olfr633","olfactory receptor 633"
"306","ENSMUSG00000061489",0.823017111619658,2.27317576744975,10.0635729360372,0.00151229658519518,0.138879236407091,196,105,68,311,218,115,"Olfr525","olfactory receptor 525"
"329","ENSMUSG00000094745",1.86056437839473,-0.927049366616497,9.76080656594504,0.00178271680844379,0.151119532531158,12,5,4,47,16,16,"Olfr954","olfactory receptor 954"
"351","ENSMUSG00000052508",0.430082345865527,5.71735523765037,9.51701967158174,0.00203574929789564,0.160242551877214,2876,1306,800,2998,1949,1272,"Olfr536","olfactory receptor 536"
"504","ENSMUSG00000054141",0.644759469474904,3.63741625532613,8.3248058817394,0.00391073170515813,0.287308422605617,397,345,263,739,305,606,"Olfr24","olfactory receptor 24"
"626","ENSMUSG00000059610",0.42474216081206,5.04530100359286,7.69584592474462,0.00553480629332242,0.381209783452582,1183,717,990,2277,758,1172,"Olfr222","olfactory receptor 222"
"686","ENSMUSG00000062868",2.664421953525,-2.16743638186689,7.46063652229958,0.00630627039941656,0.408794704715121,2,1,1,5,7,19,"Olfr830","olfactory receptor 830"
"724","ENSMUSG00000036647",0.517835333189636,3.40347645620432,7.33309629164532,0.00676963383601146,0.414452027071368,443,315,172,641,369,302,"Olfr6","olfactory receptor 6"
"928","ENSMUSG00000093980",-3.05831431389632,-2.59263855626844,6.62055054782542,0.0100808666955514,0.558804947880479,10,2,9,1,1,0,"Olfr493","olfactory receptor 493"
"954","ENSMUSG00000094669",0.747747708628185,1.301993343122,6.55241561941108,0.0104741860168732,0.558804947880479,73,77,37,149,117,55,"Olfr441","olfactory receptor 441"
