"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"27","ENSMUSG00000070423",1.39252238951528,2.0133136627206,27.5179365311419,1.55644344094488e-07,0.000119711745100935,43,66,79,89,142,278,"Olfr558","olfactory receptor 558"
"29","ENSMUSG00000067064",1.69308714203246,1.46285649272651,26.8730929492614,2.17262695283003e-07,0.000119711745100935,27,46,35,74,87,201,"Olfr1416","olfactory receptor 1416"
"61","ENSMUSG00000059043",0.615655996383039,4.63775338155367,18.2954345528758,1.89159958122201e-05,0.00694847579502218,421,718,572,557,973,1008,"Olfr15","olfactory receptor 15"
"66","ENSMUSG00000094422",1.4338491328435,0.901567579560249,17.3256786159413,3.14902692946327e-05,0.00867556919067131,18,29,39,59,63,101,"Olfr205","olfactory receptor 205"
"86","ENSMUSG00000054498",1.10699573807325,1.62474007586868,15.3275957444278,9.03864681987526e-05,0.0199211775910051,30,79,60,62,124,168,"Olfr308","olfactory receptor 308"
"111","ENSMUSG00000094285",0.521367506130053,5.90800802435839,14.4211495765439,0.000146151653219567,0.0247144981009722,2713,1063,518,2966,1151,1150,"Olfr743","olfactory receptor 743"
"118","ENSMUSG00000109058",1.09492142512991,1.40005454959594,14.2864771695569,0.000156988644924506,0.0247144981009722,31,42,67,48,83,182,"Olfr705","olfactory receptor 705"
"187","ENSMUSG00000059488",0.590548940082048,4.64205231392333,11.9878921899085,0.00053547321780733,0.0737614357529597,505,695,503,465,1021,1101,"Olfr727","olfactory receptor 727"
"203","ENSMUSG00000048173",0.873119204389591,2.05905293775288,11.7508066834042,0.000608168736916551,0.0744668831202266,56,70,130,93,123,245,"Olfr1324","olfactory receptor 1324"
"249","ENSMUSG00000046790",0.768801812129544,2.98172193422126,10.7789800511655,0.00102659234175098,0.112026444953132,139,184,169,139,322,408,"Olfr1341","olfactory receptor 1341"
"267","ENSMUSG00000043892",0.526590290922574,4.07631540250888,10.6207922119022,0.00111823130171003,0.112026444953132,423,419,349,502,537,601,"Olfr1018","olfactory receptor 1018"
"286","ENSMUSG00000071494",0.556599355057661,4.45399510166431,10.383828146865,0.00127123845303998,0.116742064604171,380,719,456,462,763,988,"Olfr455","olfactory receptor 455"
"332","ENSMUSG00000053815",1.20758596916218,1.17077108628351,9.89127342473328,0.0016606440944185,0.130791231086731,19,64,38,75,67,110,"Olfr744","olfactory receptor 744"
"350","ENSMUSG00000073897",0.621081418809714,3.51699929401064,9.70482684443879,0.00183784639958173,0.130791231086731,162,395,239,227,456,477,"Olfr17","olfactory receptor 17"
"357","ENSMUSG00000069390",0.901004989161637,1.23941468065359,9.5989377016808,0.00194689968440167,0.130791231086731,46,52,41,76,86,86,"Olfr707","olfactory receptor 707"
"363","ENSMUSG00000068808",1.16993295125526,0.550156535675343,9.54579045729689,0.00200408501427295,0.130791231086731,20,34,21,35,60,69,"Olfr1189","olfactory receptor 1189"
"366","ENSMUSG00000094846",0.932006982797352,1.40235347042376,9.53340849581991,0.00201765057030348,0.130791231086731,21,37,91,25,72,218,"Olfr1487","olfactory receptor 1487"
"392","ENSMUSG00000050763",0.657980691812564,3.19778201564351,9.24264151636259,0.00236443627856424,0.136386324317156,131,249,227,152,309,535,"Olfr1395","olfactory receptor 1395"
"398","ENSMUSG00000061972",0.776493626321991,2.40625798995601,9.18072791342016,0.00244576733434733,0.136386324317156,97,91,150,125,200,236,"Olfr99","olfactory receptor 99"
"410","ENSMUSG00000069823",0.834532009276238,2.35867108852257,9.09052158872489,0.00256937585597896,0.136386324317156,80,152,87,112,176,269,"Olfr1","olfactory receptor 1"
"414","ENSMUSG00000061561",0.986429414560627,1.11934617033588,9.06691316246316,0.00260276071869536,0.136386324317156,14,36,80,35,66,140,"Olfr373","olfactory receptor 373"
"429","ENSMUSG00000060765",1.11565913456367,0.87052321786208,8.91373695513863,0.00283033495225366,0.136386324317156,19,46,33,50,52,104,"Olfr325","olfactory receptor 325"
"430","ENSMUSG00000052508",0.67624458687899,5.75733894023357,8.9033122293536,0.00284653852930543,0.136386324317156,898,1707,981,1051,1535,3358,"Olfr536","olfactory receptor 536"
"448","ENSMUSG00000045030",1.03496590384084,3.12060921033113,8.70706371648938,0.00316979362456882,0.145546357261452,131,270,101,402,212,311,"Olfr1443","olfactory receptor 1443"
"457","ENSMUSG00000073969",0.808837355965105,1.49699198549373,8.6191316749874,0.00332650383911019,0.146632289227977,54,52,67,81,75,145,"Olfr556","olfactory receptor 556"
"468","ENSMUSG00000096858",0.667817411136319,2.51276370241269,8.5096237241509,0.00353273104647211,0.14973344666201,94,139,145,117,213,266,"Olfr805","olfactory receptor 805"
"512","ENSMUSG00000093866",2.23700030194767,-1.45865475540501,8.25764904128419,0.00405806467862763,0.16349012053493,2,5,2,9,20,12,"Olfr802","olfactory receptor 802"
"531","ENSMUSG00000060017",0.88891322031964,1.05020102210774,8.1755583797521,0.00424585970479781,0.16349012053493,34,40,47,44,79,101,"Olfr121","olfactory receptor 121"
"535","ENSMUSG00000032987",0.587072249159694,3.55328808373181,8.14659832126348,0.00431420127842802,0.16349012053493,138,277,373,148,335,831,"Olfr281","olfactory receptor 281"
"545","ENSMUSG00000066671",0.621656127123542,3.11386554435294,8.09011686079872,0.00445072923416324,0.16349012053493,127,212,259,194,326,358,"Olfr220","olfactory receptor 220"
"571","ENSMUSG00000090129",0.852631553699488,2.33370323686696,7.97123350005493,0.00475265417061029,0.164474424904592,85,189,53,112,210,197,"Olfr287","olfactory receptor 287"
"573","ENSMUSG00000048745",0.764117790515893,2.18844335163414,7.9386185582526,0.00483907623016978,0.164474424904592,64,130,101,128,152,191,"Olfr820","olfactory receptor 820"
"593","ENSMUSG00000096679",1.92444377285378,-1.00614307610137,7.81778928976712,0.00517344396405553,0.164474424904592,4,4,7,11,28,19,"Olfr498","olfactory receptor 498"
"596","ENSMUSG00000059136",0.603763613587605,2.88841729788271,7.7963369942709,0.00523522575405442,0.164474424904592,158,208,141,189,268,282,"Olfr539","olfactory receptor 539"
"608","ENSMUSG00000055838",0.837933549562738,1.33140346174252,7.74461591759265,0.00538729174375759,0.164474424904592,25,60,65,37,78,167,"Olfr357","olfactory receptor 357"
"613","ENSMUSG00000071522",0.678482037985888,2.77143665404895,7.71748109903799,0.0054688647175681,0.164474424904592,80,216,169,135,238,336,"Olfr263","olfactory receptor 263"
"629","ENSMUSG00000044039",1.1491445253233,0.495000727705078,7.64043706981268,0.005707408614807,0.164474424904592,18,22,28,18,59,89,"Olfr1288","olfactory receptor 1288"
"649","ENSMUSG00000070459",0.663913698104815,2.47563017820457,7.53310033169504,0.00605755747865554,0.164474424904592,62,68,254,81,115,412,"Olfr290","olfactory receptor 290"
"655","ENSMUSG00000051156",0.795003766979857,1.56559515137354,7.5096197552029,0.00613703262568129,0.164474424904592,42,91,55,76,105,125,"Olfr1491","olfactory receptor 1491"
