"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000050763",2.90343625765353,5.71245334482355,255.011999695238,2.09807474270885e-57,2.31207836646515e-54,329,246,439,2368,1918,3296,"Olfr1395","olfactory receptor 1395"
"4","ENSMUSG00000094858",3.2703195120368,3.03614347867034,129.159275054435,6.25888965564887e-30,3.44864820026253e-27,39,43,40,367,303,545,"Olfr1297","olfactory receptor 1297"
"5","ENSMUSG00000050158",3.17747238132685,2.29761203909145,95.6565839389834,1.36644501421785e-22,5.01940801889357e-20,28,18,30,179,172,371,"Olfr165","olfactory receptor 165"
"7","ENSMUSG00000047960",2.84448502486219,2.53708762315896,67.903719182727,1.71677043390805e-16,4.72970254541668e-14,45,50,22,275,212,339,"Olfr186","olfactory receptor 186"
"9","ENSMUSG00000050742",2.7790521163429,1.77252853724777,59.064178033796,1.52612363816985e-14,3.36357649852635e-12,23,23,19,88,158,234,"Olfr164","olfactory receptor 164"
"10","ENSMUSG00000062712",1.32215522041802,4.68136776640517,55.262028888556,1.05486782555716e-13,1.93744057293998e-11,403,397,385,956,824,1220,"Olfr531","olfactory receptor 531"
"16","ENSMUSG00000096695",1.91316683030782,1.8715909854332,34.7072048514356,3.83210708640185e-09,6.03283144173548e-07,40,33,47,193,91,187,"Olfr196","olfactory receptor 196"
"23","ENSMUSG00000096069",1.64708365425364,2.47267442336896,27.1834689265961,1.85034049287181e-07,2.54884402893092e-05,59,99,54,142,212,327,"Olfr61","olfactory receptor 61"
"25","ENSMUSG00000046493",1.39565451848905,2.21287799294717,23.8240835613618,1.05553488415886e-06,0.000129244382482563,89,40,76,208,96,247,"Olfr1352","olfactory receptor 1352"
"29","ENSMUSG00000063137",1.77737909436457,1.04460520182454,20.4035085048768,6.27147116002286e-06,0.000691116121834519,22,22,28,108,58,88,"Olfr177","olfactory receptor 177"
"33","ENSMUSG00000090894",0.961460862337588,3.85544901407872,18.8303004529361,1.42879146110576e-05,0.00135600139077072,225,287,277,470,422,666,"Olfr110","olfactory receptor 110"
"34","ENSMUSG00000062782",0.914286634847622,4.2088336756238,18.7675407791042,1.47658953622946e-05,0.00135600139077072,364,373,290,489,609,884,"Olfr527","olfactory receptor 527"
"58","ENSMUSG00000100923",5.83839342483265,-2.26867245933791,14.7090844878533,0.000125440503439437,0.0106334949838661,0,0,0,6,5,11,"Olfr10","olfactory receptor 10"
"64","ENSMUSG00000072707",1.07485785666253,2.47575494692761,14.0587016452139,0.00017719207617103,0.0139475477100339,81,93,108,192,137,288,"Olfr31","olfactory receptor 31"
"71","ENSMUSG00000063881",1.14278547500726,2.70305856881454,13.4508367213303,0.000244896936827204,0.0179917616255719,89,123,109,257,152,327,"Olfr376","olfactory receptor 376"
"105","ENSMUSG00000042774",1.22101163691101,1.13896301035165,10.9733797744753,0.000924300316513157,0.0617753138489462,29,41,34,91,68,84,"Olfr1353","olfactory receptor 1353"
"107","ENSMUSG00000063844",-1.19271085392388,1.91417536048987,10.9167690081678,0.000952976710918408,0.0617753138489462,183,92,130,112,17,80,"Olfr1276","olfactory receptor 1276"
"114","ENSMUSG00000049168",0.65979948744774,4.79098101738982,10.6454857228545,0.00110339899406308,0.0675525384143063,425,627,690,835,837,1043,"Olfr449","olfactory receptor 449"
"118","ENSMUSG00000040328",0.811274178824615,3.13093238089801,10.49773672114,0.00119520855365774,0.0693220961121489,196,184,137,368,240,301,"Olfr56","olfactory receptor 56"
"131","ENSMUSG00000066671",0.710329198217923,3.64349747543686,10.0824248721316,0.00149690211717547,0.0824793066563684,277,224,264,400,338,530,"Olfr220","olfactory receptor 220"
"132","ENSMUSG00000062037",-0.89126505130461,4.19308999729443,9.95473920039888,0.00160435852927824,0.0841906237745057,745,666,489,327,193,597,"Olfr285","olfactory receptor 285"
"145","ENSMUSG00000096840",0.761173016073012,3.13322040443783,9.69214247672553,0.00185057640719633,0.0920061194414828,196,196,138,270,292,328,"Olfr136","olfactory receptor 136"
"146","ENSMUSG00000032987",-0.765335374270353,3.89379705629359,9.62422665716744,0.00192027291030318,0.0920061194414828,692,358,448,445,122,400,"Olfr281","olfactory receptor 281"
"149","ENSMUSG00000073975",-0.929036339087129,1.806033582821,9.52999656234584,0.00202140498758383,0.0928161790132242,109,100,149,57,40,101,"Olfr550","olfactory receptor 550"
"159","ENSMUSG00000110804",3.66596864889108,-2.06406261916662,9.23736445980952,0.00237126005454517,0.104525143204351,2,0,0,8,12,5,"Olfr1084","olfactory receptor 1084"
"169","ENSMUSG00000062629",-3.30835861359189,-2.14250010818935,8.88919072705763,0.00286863852133957,0.121586140404469,6,12,5,0,1,1,"Olfr114","olfactory receptor 114"
"196","ENSMUSG00000093920",0.705005353340399,3.12503049463747,8.2008481035393,0.00418708129503289,0.170894947671342,154,168,206,265,217,401,"Olfr463","olfactory receptor 463"
"237","ENSMUSG00000049149",-0.586840112115328,4.30960582465508,7.57181676280829,0.00592879936502614,0.233340603580672,455,574,882,385,325,547,"Olfr1258","olfactory receptor 1258"
"275","ENSMUSG00000057903",0.774275807385121,2.12663076782646,7.09170809163146,0.0077441403663692,0.29427733392203,112,72,76,151,107,190,"Olfr739","olfactory receptor 739"
"414","ENSMUSG00000050818",0.717729232115101,2.28239746098199,5.91722667116526,0.0149935411166952,0.550762743686604,92,100,95,135,114,250,"Olfr330","olfactory receptor 330"
"437","ENSMUSG00000096708",4.28516365250588,-3.03594878208384,5.80515252947882,0.0159792816721055,0.568037690408396,0,0,0,3,0,5,"Olfr1475","olfactory receptor 1475"
"487","ENSMUSG00000069390",-0.872001790873508,1.34278421696896,5.53971929982815,0.018589564226096,0.608628928515486,162,42,73,48,33,54,"Olfr707","olfactory receptor 707"
"494","ENSMUSG00000048810",0.998854434210619,0.427084439827299,5.5076287515395,0.0189336996754998,0.608628928515486,22,25,22,48,44,46,"Olfr202","olfactory receptor 202"
"495","ENSMUSG00000044170",-0.614563034149881,4.64346846988483,5.50559505332814,0.0189557293856798,0.608628928515486,863,796,714,963,355,400,"Olfr1384","olfactory receptor 1384"
"499","ENSMUSG00000075064",2.57395549082196,-0.804138167893798,5.47138327813726,0.0193303198711815,0.608628928515486,0,0,16,0,32,32,"Olfr1506","olfactory receptor 1506"
"539","ENSMUSG00000047702",0.711678966591758,1.77042056032948,5.31382554001634,0.0211568501931797,0.647634692024556,68,55,78,76,101,166,"Olfr1388","olfactory receptor 1388"
"559","ENSMUSG00000073927",0.854194294544604,0.844414465484149,5.20757599134,0.0224886677139898,0.668643707642958,33,24,42,59,40,84,"Olfr652","olfactory receptor 652"
"565","ENSMUSG00000061195",2.0486929993685,-1.28154757251467,5.16422976414387,0.0230566795738951,0.668643707642958,1,12,1,8,15,18,"Olfr1289","olfactory receptor 1289"
"591","ENSMUSG00000051046",-0.947432045307618,1.67911869147851,5.08867560253761,0.0240825765998963,0.680487164438095,221,73,65,46,36,88,"Olfr214","olfactory receptor 214"
"620","ENSMUSG00000057050",0.8221922556491,2.86679980540598,4.95765302868936,0.0259754389870317,0.715623344092723,154,227,65,173,233,332,"Olfr397","olfactory receptor 397"
"647","ENSMUSG00000043698",0.690563092050156,1.72118210077159,4.86058924030163,0.0274769503039307,0.738526810608089,65,57,71,74,82,179,"Olfr62","olfactory receptor 62"
"663","ENSMUSG00000110012",0.684195135523382,1.99341218706996,4.78996855043179,0.028625949256835,0.751090382881718,85,73,79,144,71,193,"Olfr644","olfactory receptor 644"
"690","ENSMUSG00000064110",1.50193806386472,-0.703667312014384,4.70555388359891,0.0300653124719525,0.770511031257946,1,17,8,13,29,19,"Olfr963","olfactory receptor 963"
"766","ENSMUSG00000054236",0.826122506364952,0.787331054438546,4.55217463563275,0.0328769650118244,0.823418532796147,37,34,26,51,48,75,"Olfr481","olfactory receptor 481"
"901","ENSMUSG00000051392",1.57052246628701,-1.32840932239288,4.32234618238345,0.0376150254704362,0.921150179298238,4,8,2,11,14,14,"Olfr1402","olfactory receptor 1402"
"1018","ENSMUSG00000052182",-0.759282581624677,0.953856182177627,4.1479939892565,0.0416838785800339,0.987313827195168,69,63,58,31,47,35,"Olfr849","olfactory receptor 849"
"1069","ENSMUSG00000068818",1.12826176432429,-0.407242997185813,4.0688118316144,0.0436819901733318,0.987313827195168,15,6,14,30,14,33,"Olfr1132","olfactory receptor 1132"
"1070","ENSMUSG00000101750",-0.493330252021681,4.29897253722071,4.06840915725293,0.0436924050335351,0.987313827195168,528,473,856,530,313,462,"Olfr1392","olfactory receptor 1392"
"1121","ENSMUSG00000069823",-0.562946210811594,2.31211905105412,4.01794149981469,0.0450186290683383,0.987313827195168,199,156,127,102,99,121,"Olfr1","olfactory receptor 1"
"1125","ENSMUSG00000095239",1.62846913532441,-1.10049172753304,4.00699209536037,0.045311920690417,0.987313827195168,12,2,3,11,10,27,"Olfr497","olfactory receptor 497"
"1148","ENSMUSG00000096228",0.782546563098025,0.895544288071446,3.94712247531127,0.0469515892650244,0.987313827195168,36,46,26,77,46,62,"Olfr5","olfactory receptor 5"
"1179","ENSMUSG00000044029",1.18317493741851,-0.568597032594438,3.92504874260509,0.0475718113095703,0.987313827195168,8,10,10,11,22,37,"Olfr178","olfactory receptor 178"
"1192","ENSMUSG00000069430",0.708320011649983,1.57402551622949,3.91392033926485,0.0478877655201131,0.987313827195168,43,81,53,79,67,152,"Olfr9","olfactory receptor 9"
"1209","ENSMUSG00000050251",1.02021408439874,0.280777783765539,3.89673063597041,0.0483801693906888,0.987313827195168,17,18,23,34,65,26,"Olfr809","olfactory receptor 809"
"1268","ENSMUSG00000096554",3.4327996267793,-3.34990637064121,3.81414440227919,0.050821554888376,1,0,0,0,0,4,0,"Olfr1282","olfactory receptor 1282"
"1283","ENSMUSG00000075181",1.89546701322478,-2.0988021453389,3.78976327082481,0.0515669411403548,1,2,2,1,3,12,6,"Olfr1066","olfactory receptor 1066"
