Gene,CID,Responsive,Reference,DOI,,
hOR10A2,454,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,460,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,878,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,998,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,1183,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,2758,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,4133,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,6549,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,6569,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,7967,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,8130,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,8159,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,8164,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,8186,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,8461,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,9261,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,10430,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,12348,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,12587,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,16666,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,82229,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,91497,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,106997,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,5281167,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2,5283345,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,454,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,460,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,878,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,1183,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,2758,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,3314,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,4133,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,6569,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,6590,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,7144,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,7150,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,7410,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,7967,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,8051,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,8130,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,8159,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,8164,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,8461,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
hOR10A2_H43R_H207R_K258T,8467,no,Mainland_2015_Sci_Data,10.1038/sdata.2015.2,,
