"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000062712",2.01444210833396,4.76311033999132,74.7500753884382,5.3423734372254e-18,4.65879970926401e-15,219,229,134,878,1148,1190,"Olfr531","olfactory receptor 531"
"3","ENSMUSG00000059136",2.27746402595906,3.98293972185566,73.84374941105,8.45517188614158e-18,4.65879970926401e-15,102,130,59,444,813,677,"Olfr539","olfactory receptor 539"
"9","ENSMUSG00000063881",2.36306599334491,4.26146293093711,63.7037715867168,1.44607463241408e-15,5.31191414973439e-13,155,99,79,533,962,872,"Olfr376","olfactory receptor 376"
"12","ENSMUSG00000058244",2.61834333314233,2.82792125626295,49.240735387185,2.26400086291746e-12,6.2373223773376e-10,51,30,22,204,277,394,"Olfr506","olfactory receptor 506"
"13","ENSMUSG00000111306",2.3662192474754,2.90499249254068,48.5779353929851,3.17420459000615e-12,6.99594691637355e-10,51,29,43,200,315,384,"Olfr1065","olfactory receptor 1065"
"14","ENSMUSG00000094858",2.25674726119248,2.71762088504797,47.6348576232075,5.13473183426278e-12,9.43079080226264e-10,50,37,31,207,263,315,"Olfr1297","olfactory receptor 1297"
"16","ENSMUSG00000062128",2.18461322457784,2.80597497586752,42.9117393018143,5.7265987980779e-11,9.01530267925978e-09,53,30,42,188,229,399,"Olfr20","olfactory receptor 20"
"17","ENSMUSG00000050763",1.54647864225379,4.82778480219217,41.7417914513636,1.04158629945394e-10,1.4347851274978e-08,244,254,244,671,1407,1068,"Olfr1395","olfactory receptor 1395"
"20","ENSMUSG00000064121",1.6760600315662,3.86512838192862,38.5003193621774,5.4744725671563e-10,6.70318752111805e-08,115,132,98,306,568,747,"Olfr96","olfactory receptor 96"
"21","ENSMUSG00000096365",1.53876419013147,3.92792834317782,38.234798613655,6.27238095988577e-10,6.91216381779412e-08,121,108,160,350,525,750,"Olfr1463","olfactory receptor 1463"
"23","ENSMUSG00000071629",2.21701039590111,2.0206965707923,36.0043484689129,1.96877674184889e-09,1.97235633592498e-07,28,20,23,104,172,198,"Olfr1477","olfactory receptor 1477"
"30","ENSMUSG00000043314",1.69486570833252,5.20610824042365,33.7833291775289,6.16045138793921e-09,5.65734785792417e-07,500,290,186,1011,1428,1706,"Olfr30","olfactory receptor 30"
"32","ENSMUSG00000075174",2.31402323834081,1.95857452065133,32.7950644114574,1.02404521462405e-08,8.68075251165925e-07,24,15,24,86,197,177,"Olfr1087","olfactory receptor 1087"
